date,competition,stage,home_team,away_team,home_goals,away_goals,status
2023-09-19,CL,GROUP_STAGE,Milan,Newcastle,0,0,FINISHED
2023-09-19,CL,GROUP_STAGE,Young Boys,RB Leipzig,1,3,FINISHED
2023-09-19,CL,GROUP_STAGE,Lazio,Ath Madrid,1,1,FINISHED
2023-09-19,CL,GROUP_STAGE,Feyenoord,Celtic,2,0,FINISHED
2023-09-19,CL,GROUP_STAGE,Paris SG,Dortmund,2,0,FINISHED
2023-09-19,CL,GROUP_STAGE,Man City,Crvena Zvedza,3,1,FINISHED
2023-09-19,CL,GROUP_STAGE,Barcelona,Antwerp FC,5,0,FINISHED
2023-09-19,CL,GROUP_STAGE,Shaktar,Porto,1,3,FINISHED
2023-09-20,CL,GROUP_STAGE,Arsenal,PSV,4,0,FINISHED
2023-09-20,CL,GROUP_STAGE,Bayern Munich,Man United,4,3,FINISHED
2023-09-20,CL,GROUP_STAGE,Sociedad,Inter,1,1,FINISHED
2023-09-20,CL,GROUP_STAGE,SL Benfica,RB Salzburg,0,2,FINISHED
2023-09-20,CL,GROUP_STAGE,Sevilla,Lens,1,1,FINISHED
2023-09-20,CL,GROUP_STAGE,Galatasaray,København,2,2,FINISHED
2023-09-20,CL,GROUP_STAGE,Real Madrid,Union Berlin,1,0,FINISHED
2023-09-20,CL,GROUP_STAGE,Braga,Napoli,1,2,FINISHED
2023-10-03,CL,GROUP_STAGE,Union Berlin,Braga,2,3,FINISHED
2023-10-03,CL,GROUP_STAGE,RB Salzburg,Sociedad,0,2,FINISHED
2023-10-03,CL,GROUP_STAGE,Napoli,Real Madrid,2,3,FINISHED
2023-10-03,CL,GROUP_STAGE,Inter,SL Benfica,1,0,FINISHED
2023-10-03,CL,GROUP_STAGE,København,Bayern Munich,1,2,FINISHED
2023-10-03,CL,GROUP_STAGE,Man United,Galatasaray,2,3,FINISHED
2023-10-03,CL,GROUP_STAGE,Lens,Arsenal,2,1,FINISHED
2023-10-03,CL,GROUP_STAGE,PSV,Sevilla,2,2,FINISHED
2023-10-04,CL,GROUP_STAGE,RB Leipzig,Man City,1,3,FINISHED
2023-10-04,CL,GROUP_STAGE,Porto,Barcelona,0,1,FINISHED
2023-10-04,CL,GROUP_STAGE,Newcastle,Paris SG,4,1,FINISHED
2023-10-04,CL,GROUP_STAGE,Crvena Zvedza,Young Boys,2,2,FINISHED
2023-10-04,CL,GROUP_STAGE,Celtic,Lazio,1,2,FINISHED
2023-10-04,CL,GROUP_STAGE,Antwerp FC,Shaktar,2,3,FINISHED
2023-10-04,CL,GROUP_STAGE,Ath Madrid,Feyenoord,3,2,FINISHED
2023-10-04,CL,GROUP_STAGE,Dortmund,Milan,0,0,FINISHED
2023-10-24,CL,GROUP_STAGE,Inter,RB Salzburg,2,1,FINISHED
