Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2018-08-17,Skenderbeu Korce,Partizani,1,0,H
2018-08-18,Luftetari Gjirokaster,Kastrioti Kruje,0,1,A
2018-08-18,Tirana,Kamza,0,1,A
2018-08-19,FK Kukesi,Laci,1,1,D
2018-08-19,Teuta Durres,Flamurtari,0,0,D
2018-08-24,Tirana,Teuta Durres,0,0,D
2018-08-25,Laci,Luftetari Gjirokaster,2,1,H
2018-08-25,Kamza,Partizani,0,1,A
2018-08-26,Kastrioti Kruje,Skenderbeu Korce,0,3,A
2018-08-26,Flamurtari,FK Kukesi,1,0,H
2018-08-31,Skenderbeu Korce,Laci,1,1,D
2018-09-01,Luftetari Gjirokaster,Flamurtari,0,1,A
2018-09-01,Partizani,Kastrioti Kruje,1,0,H
2018-09-02,FK Kukesi,Tirana,3,1,H
2018-09-02,Teuta Durres,Kamza,1,0,H
2018-09-15,Kamza,Kastrioti Kruje,2,0,H
2018-09-15,Teuta Durres,FK Kukesi,0,1,A
2018-09-16,Laci,Partizani,0,0,D
2018-09-16,Tirana,Luftetari Gjirokaster,3,1,H
2018-09-17,Flamurtari,Skenderbeu Korce,0,2,A
2018-09-21,Partizani,Flamurtari,2,0,H
2018-09-22,Luftetari Gjirokaster,Teuta Durres,3,1,H
2018-09-22,Skenderbeu Korce,Tirana,1,1,D
2018-09-23,Kastrioti Kruje,Laci,1,1,D
2018-09-23,FK Kukesi,Kamza,1,0,H
2018-09-28,Tirana,Partizani,0,1,A
2018-09-29,FK Kukesi,Luftetari Gjirokaster,1,0,H
2018-09-29,Kamza,Laci,0,1,A
2018-09-29,Flamurtari,Kastrioti Kruje,4,0,H
2018-09-29,Teuta Durres,Skenderbeu Korce,2,0,H
2018-10-03,Laci,Flamurtari,1,0,H
2018-10-03,Luftetari Gjirokaster,Kamza,1,0,H
2018-10-03,Kastrioti Kruje,Tirana,2,3,A
2018-10-03,Partizani,Teuta Durres,3,0,H
2018-10-04,Skenderbeu Korce,FK Kukesi,1,0,H
2018-10-07,Luftetari Gjirokaster,Skenderbeu Korce,0,2,A
2018-10-07,Kamza,Flamurtari,2,2,D
2018-10-07,Tirana,Laci,0,1,A
2018-10-07,Teuta Durres,Kastrioti Kruje,2,0,H
2018-10-08,FK Kukesi,Partizani,0,1,A
2018-10-20,Laci,Teuta Durres,0,3,A
2018-10-20,Kastrioti Kruje,FK Kukesi,1,2,A
2018-10-21,Skenderbeu Korce,Kamza,2,0,H
2018-10-21,Partizani,Luftetari Gjirokaster,2,1,H
2018-10-22,Flamurtari,Tirana,1,0,H
2018-10-27,Kamza,Tirana,1,1,D
2018-10-27,Flamurtari,Teuta Durres,1,1,D
2018-10-28,Laci,FK Kukesi,0,1,A
2018-10-28,Kastrioti Kruje,Luftetari Gjirokaster,0,2,A
2018-10-29,Partizani,Skenderbeu Korce,0,2,A
2018-11-02,FK Kukesi,Flamurtari,1,2,A
2018-11-02,Teuta Durres,Tirana,2,1,H
2018-11-03,Luftetari Gjirokaster,Laci,0,1,A
2018-11-03,Skenderbeu Korce,Kastrioti Kruje,1,0,H
2018-11-03,Partizani,Kamza,1,0,H
2018-11-06,Tirana,FK Kukesi,0,0,D
2018-11-07,Laci,Skenderbeu Korce,2,0,H
2018-11-07,Kamza,Teuta Durres,1,3,A
2018-11-07,Kastrioti Kruje,Partizani,1,2,A
2018-11-07,Flamurtari,Luftetari Gjirokaster,0,0,D
2018-11-11,Luftetari Gjirokaster,Tirana,2,1,H
2018-11-11,Kastrioti Kruje,Kamza,3,0,H
2018-11-11,Skenderbeu Korce,Flamurtari,1,0,H
2018-11-11,Partizani,Laci,1,0,H
2018-11-12,FK Kukesi,Teuta Durres,1,1,D
2018-11-23,Flamurtari,Partizani,1,0,H
2018-11-24,Tirana,Skenderbeu Korce,1,1,D
2018-11-24,Teuta Durres,Luftetari Gjirokaster,1,0,H
2018-11-25,Laci,Kastrioti Kruje,2,1,H
2018-11-25,Kamza,FK Kukesi,0,2,A
2018-11-30,Partizani,Tirana,2,1,H
2018-12-01,Luftetari Gjirokaster,FK Kukesi,0,1,A
2018-12-01,Skenderbeu Korce,Teuta Durres,0,1,A
2018-12-02,Laci,Kamza,0,0,D
2018-12-02,Kastrioti Kruje,Flamurtari,1,0,H
2018-12-07,FK Kukesi,Skenderbeu Korce,1,0,H
2018-12-08,Tirana,Kastrioti Kruje,4,0,H
2018-12-08,Teuta Durres,Partizani,1,1,D
2018-12-09,Kamza,Luftetari Gjirokaster,1,0,H
2018-12-09,Flamurtari,Laci,1,0,H
2018-12-14,Partizani,FK Kukesi,0,0,D
2018-12-15,Laci,Tirana,2,1,H
2018-12-15,Flamurtari,Kamza,1,0,H
2018-12-16,Kastrioti Kruje,Teuta Durres,0,4,A
2018-12-16,Skenderbeu Korce,Luftetari Gjirokaster,2,3,A
2018-12-21,Kamza,Skenderbeu Korce,1,0,H
2018-12-21,Tirana,Flamurtari,1,0,H
2018-12-22,Teuta Durres,Laci,1,1,D
