Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
21/07/2012,Sturm Graz,Salzburg,0,2,A,3.26,3.34,2.4
21/07/2012,Mattersburg,Neustadt,2,0,H,1.79,3.81,5
21/07/2012,SK Rapid,Wacker Innsbruck,4,0,H,1.5,4.46,7.72
22/07/2012,Admira,Ried,0,2,A,2.18,3.51,3.61
25/07/2012,Wolfsberger AC,Austria Vienna,0,1,A,3.83,3.62,2.06
28/07/2012,Austria Vienna,Sturm Graz,0,1,A,2.12,3.42,3.91
28/07/2012,Neustadt,SK Rapid,0,1,A,6.38,4.13,1.61
28/07/2012,Salzburg,Mattersburg,3,2,H,1.4,4.84,9.51
29/07/2012,Wacker Innsbruck,Admira,1,2,A,2.44,3.52,3.08
29/07/2012,Ried,Wolfsberger AC,0,2,A,1.51,4.37,7.78
04/08/2012,Wolfsberger AC,Salzburg,0,2,A,5.78,3.82,1.71
04/08/2012,Mattersburg,Sturm Graz,3,1,H,2.64,3.27,2.96
05/08/2012,SK Rapid,Austria Vienna,0,3,A,1.92,3.46,4.79
05/08/2012,Ried,Wacker Innsbruck,2,0,H,1.83,3.6,5.11
05/08/2012,Admira,Neustadt,4,0,H,1.51,4.29,7.85
11/08/2012,Sturm Graz,Wolfsberger AC,4,1,H,1.57,4.2,6.61
11/08/2012,Wacker Innsbruck,Mattersburg,2,1,H,2.22,3.31,3.66
12/08/2012,Neustadt,Ried,2,3,A,3.45,3.28,2.35
12/08/2012,Salzburg,SK Rapid,0,2,A,1.85,3.6,4.88
12/08/2012,Austria Vienna,Admira,1,0,H,1.71,3.94,5.46
18/08/2012,Wolfsberger AC,Mattersburg,0,1,A,2.74,3.46,2.7
18/08/2012,Admira,Salzburg,4,4,D,3.19,3.37,2.4
18/08/2012,SK Rapid,Sturm Graz,3,0,H,1.66,3.96,5.76
18/08/2012,Wacker Innsbruck,Neustadt,2,3,A,1.51,4.26,7.79
19/08/2012,Ried,Austria Vienna,0,1,A,2.6,3.24,3.02
25/08/2012,Austria Vienna,Wacker Innsbruck,2,0,H,1.5,4.43,7.5
25/08/2012,Mattersburg,Ried,2,1,H,2.39,3.35,3.24
25/08/2012,Salzburg,Neustadt,1,1,D,1.21,7.26,15.74
25/08/2012,Sturm Graz,Admira,3,2,H,2.02,3.63,3.96
26/08/2012,Wolfsberger AC,SK Rapid,1,0,H,4.88,3.66,1.83
01/09/2012,Admira,Wolfsberger AC,1,1,D,1.56,4.73,5.8
01/09/2012,Neustadt,Austria Vienna,0,2,A,5.25,3.76,1.76
01/09/2012,Ried,Sturm Graz,0,1,A,2.49,3.24,3.16
01/09/2012,Wacker Innsbruck,Salzburg,0,4,A,3.85,3.57,2.04
02/09/2012,SK Rapid,Mattersburg,3,0,H,1.53,4.5,6.75
15/09/2012,Wolfsberger AC,Neustadt,6,0,H,1.78,3.83,4.93
15/09/2012,SK Rapid,Admira,0,0,D,1.44,4.8,8.09
15/09/2012,Salzburg,Ried,1,1,D,1.56,4.37,6.5
15/09/2012,Sturm Graz,Wacker Innsbruck,3,0,H,1.52,4.25,7.67
16/09/2012,Mattersburg,Austria Vienna,2,4,A,3.59,3.31,2.25
22/09/2012,Admira,Mattersburg,5,1,H,1.96,3.62,4.18
22/09/2012,Austria Vienna,Salzburg,0,1,A,2.59,3.38,2.9
22/09/2012,Neustadt,Sturm Graz,1,1,D,5.57,3.83,1.71
22/09/2012,Wacker Innsbruck,Wolfsberger AC,0,1,A,2.31,3.45,3.29
23/09/2012,Ried,SK Rapid,0,2,A,2.99,3.28,2.59
29/09/2012,Austria Vienna,Wolfsberger AC,1,1,D,1.43,4.73,8.27
29/09/2012,Neustadt,Mattersburg,0,0,D,3.31,3.45,2.27
29/09/2012,Ried,Admira,1,1,D,2.1,3.65,3.54
29/09/2012,Wacker Innsbruck,SK Rapid,0,2,A,4.36,3.85,1.85
30/09/2012,Salzburg,Sturm Graz,3,2,H,1.6,4.33,6.17
06/10/2012,Wolfsberger AC,Ried,2,5,A,2.19,3.51,3.52
06/10/2012,Admira,Wacker Innsbruck,4,1,H,1.52,4.72,6.43
06/10/2012,Mattersburg,Salzburg,1,3,A,4.7,3.87,1.81
07/10/2012,Sturm Graz,Austria Vienna,1,1,D,2.44,3.39,3.12
07/10/2012,SK Rapid,Neustadt,1,1,D,1.27,5.95,13.9
20/10/2012,Salzburg,Wolfsberger AC,4,1,H,1.29,5.65,12.22
20/10/2012,Neustadt,Admira,2,1,H,4.12,3.67,1.96
20/10/2012,Sturm Graz,Mattersburg,0,0,D,1.58,4.33,6.1
20/10/2012,Wacker Innsbruck,Ried,1,0,H,3.23,3.3,2.42
21/10/2012,Austria Vienna,SK Rapid,2,0,H,2.36,3.24,3.42
27/10/2012,Ried,Neustadt,3,1,H,1.6,4.19,6.19
27/10/2012,Admira,Austria Vienna,4,6,A,2.97,3.48,2.49
27/10/2012,Mattersburg,Wacker Innsbruck,1,2,A,1.89,3.64,4.5
28/10/2012,SK Rapid,Salzburg,2,0,H,3.1,3.3,2.5
03/11/2012,Neustadt,Wacker Innsbruck,0,1,A,2.7,3.12,3.01
03/11/2012,Mattersburg,Wolfsberger AC,1,1,D,2.18,3.61,3.47
03/11/2012,Salzburg,Admira,5,0,H,1.42,5.24,7.76
03/11/2012,Sturm Graz,SK Rapid,2,1,H,2.33,3.33,3.29
04/11/2012,Austria Vienna,Ried,6,1,H,1.51,4.46,7.2
10/11/2012,Admira,Sturm Graz,1,2,A,2.48,3.66,2.89
10/11/2012,Ried,Mattersburg,6,1,H,1.71,3.97,5.2
10/11/2012,Wacker Innsbruck,Austria Vienna,0,3,A,4.72,3.56,1.88
11/11/2012,Neustadt,Salzburg,0,3,A,8.65,4.91,1.42
11/11/2012,SK Rapid,Wolfsberger AC,0,2,A,1.47,4.73,7.59
17/11/2012,Austria Vienna,Neustadt,3,0,H,1.28,6.18,11.83
17/11/2012,Wolfsberger AC,Admira,1,1,D,2.61,3.43,2.87
17/11/2012,Mattersburg,SK Rapid,0,3,A,3.68,3.34,2.21
17/11/2012,Sturm Graz,Ried,3,1,H,1.9,3.69,4.34
18/11/2012,Salzburg,Wacker Innsbruck,2,0,H,1.21,7.34,15.54
24/11/2012,Wacker Innsbruck,Sturm Graz,0,3,A,3.35,3.3,2.37
24/11/2012,Austria Vienna,Mattersburg,3,1,H,1.29,6.17,11.73
24/11/2012,Neustadt,Wolfsberger AC,2,1,H,2.99,3.49,2.47
24/11/2012,Ried,Salzburg,3,1,H,5.43,3.94,1.7
25/11/2012,Admira,SK Rapid,0,2,A,2.79,3.58,2.57
27/11/2012,Wolfsberger AC,Sturm Graz,1,1,D,3.57,3.56,2.15
01/12/2012,Wolfsberger AC,Wacker Innsbruck,2,2,D,2.16,3.26,3.86
01/12/2012,Mattersburg,Admira,3,0,H,3.42,3.48,2.25
01/12/2012,SK Rapid,Ried,4,3,H,1.74,4.01,4.95
01/12/2012,Sturm Graz,Neustadt,3,1,H,1.56,4.48,6.2
02/12/2012,Salzburg,Austria Vienna,0,0,D,2.02,3.68,3.88
08/12/2012,Admira,Ried,0,3,A,2.31,3.66,3.1
08/12/2012,Wolfsberger AC,Austria Vienna,3,6,A,5.11,3.73,1.78
08/12/2012,Mattersburg,Neustadt,1,0,H,2.22,3.5,3.44
08/12/2012,Sturm Graz,Salzburg,1,1,D,3.25,3.45,2.33
