Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2015-08-09,Zira,Suvlan,1,0,H
2015-08-09,Neftchi Baku,Kapaz,0,0,D
2015-08-09,Khazar Lankaran,Inter Bak,2,0,H
2015-08-10,Qabala,Qarabag,2,2,D
2015-08-10,Rvan,Sumqayt,0,0,D
2015-08-15,Suvlan,Qabala,0,2,A
2015-08-15,Rvan,Qarabag,1,2,A
2015-08-16,Kapaz,Zira,1,1,D
2015-08-16,Sumqayt,Khazar Lankaran,1,1,D
2015-08-17,Inter Bak,Neftchi Baku,1,0,H
2015-08-22,Khazar Lankaran,Rvan,1,1,D
2015-08-23,Neftchi Baku,Sumqayt,2,1,H
2015-08-23,Qabala,Kapaz,1,0,H
2015-08-23,Suvlan,Qarabag,0,2,A
2015-08-24,Zira,Inter Bak,0,0,D
2015-09-12,Kapaz,Suvlan,1,0,H
2015-09-12,Inter Bak,Qabala,2,1,H
2015-09-12,Qarabag,Khazar Lankaran,1,0,H
2015-09-13,Sumqayt,Zira,0,0,D
2015-09-13,Rvan,Neftchi Baku,1,3,A
2015-09-19,Zira,Rvan,2,1,H
2015-09-19,Suvlan,Inter Bak,0,1,A
2015-09-20,Kapaz,Qarabag,2,3,A
2015-09-20,Neftchi Baku,Khazar Lankaran,1,1,D
2015-09-21,Qabala,Sumqayt,1,0,H
2015-09-25,Inter Bak,Kapaz,1,0,H
2015-09-25,Rvan,Qabala,0,3,A
2015-09-26,Qarabag,Neftchi Baku,1,1,D
2015-09-26,Sumqayt,Suvlan,1,1,D
2015-09-27,Khazar Lankaran,Zira,0,1,A
2015-10-02,Suvlan,Rvan,1,0,H
2015-10-03,Zira,Neftchi Baku,2,0,H
2015-10-04,Kapaz,Sumqayt,3,1,H
2015-10-04,Inter Bak,Qarabag,0,2,A
2015-10-04,Qabala,Khazar Lankaran,6,0,H
2015-10-16,Rvan,Kapaz,0,2,A
2015-10-17,Neftchi Baku,Qabala,0,1,A
2015-10-17,Qarabag,Zira,4,1,H
