Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2018-03-30,Fc Luch Minsk,FC Minsk,0,0,D
2018-03-30,Neman,FC Vitebsk,1,1,D
2018-03-31,FC Gomel,FC Slutsk,0,0,D
2018-03-31,Shakhter Soligorsk,Dinamo Brest,0,0,D
2018-03-31,Dinamo Minsk,Torpedo Zhodino,2,1,H
2018-04-01,FC Isloch Minsk R.,Torpedo Minsk,1,1,D
2018-04-01,Gorodeya,FC Dnepr Mogilev,1,2,A
2018-04-01,Bate Borisov,Smolevichi-Sti,1,0,H
2018-04-05,Dinamo Brest,Fc Luch Minsk,2,1,H
2018-04-05,FC Slutsk,Neman,1,1,D
2018-04-06,FC Minsk,Bate Borisov,0,2,A
2018-04-06,Torpedo Zhodino,Smolevichi-Sti,1,0,H
2018-04-06,FC Dnepr Mogilev,FC Gomel,1,0,H
2018-04-07,Torpedo Minsk,Gorodeya,1,0,H
2018-04-07,FC Vitebsk,Shakhter Soligorsk,2,1,H
2018-04-07,Dinamo Minsk,FC Isloch Minsk R.,0,0,D
2018-04-13,Fc Luch Minsk,FC Vitebsk,0,2,A
2018-04-13,Shakhter Soligorsk,FC Slutsk,0,1,A
2018-04-14,Neman,FC Dnepr Mogilev,0,0,D
2018-04-14,Bate Borisov,Dinamo Brest,2,0,H
2018-04-14,FC Isloch Minsk R.,Torpedo Zhodino,0,0,D
2018-04-15,Smolevichi-Sti,FC Minsk,1,1,D
2018-04-15,FC Gomel,Torpedo Minsk,0,0,D
2018-04-15,Gorodeya,Dinamo Minsk,0,2,A
2018-04-21,Fc Luch Minsk,FC Slutsk,0,3,A
2018-04-21,Dinamo Minsk,FC Gomel,2,1,H
2018-04-21,Torpedo Zhodino,FC Minsk,2,1,H
2018-04-22,Torpedo Minsk,Neman,0,1,A
2018-04-22,FC Isloch Minsk R.,Gorodeya,0,0,D
2018-04-22,Dinamo Brest,Smolevichi-Sti,2,2,D
2018-04-23,FC Dnepr Mogilev,Shakhter Soligorsk,1,1,D
2018-04-23,FC Vitebsk,Bate Borisov,0,1,A
2018-04-27,FC Minsk,Dinamo Brest,3,3,D
2018-04-27,FC Gomel,FC Isloch Minsk R.,1,2,A
2018-04-28,Shakhter Soligorsk,Torpedo Minsk,1,0,H
2018-04-28,Bate Borisov,FC Slutsk,3,1,H
