Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2018-07-21,GOSK Gabela,Zeljeznicar Sarajevo,0,1,A
2018-07-21,Krupa na Vrbasu,Celik,3,1,H
2018-07-21,Mladost Doboj Kakanj,Zvijezda 09,0,0,D
2018-07-21,Sloboda Tuzla,Zrinjski,0,1,A
2018-07-22,Radnik Bijeljina,FK Sarajevo,2,1,H
2018-07-22,Siroki Brijeg,Tuzla City,1,0,H
2018-07-28,Tuzla City,Radnik Bijeljina,0,0,D
2018-07-28,Krupa na Vrbasu,Siroki Brijeg,2,2,D
2018-07-28,Zvijezda 09,Sloboda Tuzla,1,1,D
2018-07-29,FK Sarajevo,Mladost Doboj Kakanj,4,0,H
2018-07-29,Zrinjski,GOSK Gabela,3,1,H
2018-07-29,Celik,Zeljeznicar Sarajevo,1,0,H
2018-08-04,Radnik Bijeljina,Krupa na Vrbasu,2,2,D
2018-08-04,Mladost Doboj Kakanj,Tuzla City,0,1,A
2018-08-05,GOSK Gabela,Zvijezda 09,2,2,D
2018-08-05,Sloboda Tuzla,FK Sarajevo,0,1,A
2018-08-05,Siroki Brijeg,Celik,6,0,H
2018-08-05,Zeljeznicar Sarajevo,Zrinjski,2,0,H
2018-08-11,Krupa na Vrbasu,Mladost Doboj Kakanj,2,2,D
2018-08-11,FK Sarajevo,GOSK Gabela,1,1,D
2018-08-11,Tuzla City,Sloboda Tuzla,0,1,A
2018-08-12,Zvijezda 09,Zeljeznicar Sarajevo,1,3,A
2018-08-12,Celik,Zrinjski,1,0,H
2018-08-12,Siroki Brijeg,Radnik Bijeljina,0,0,D
2018-08-15,Mladost Doboj Kakanj,Siroki Brijeg,0,1,A
2018-08-15,GOSK Gabela,Tuzla City,3,2,H
2018-08-15,Radnik Bijeljina,Celik,0,0,D
2018-08-15,Sloboda Tuzla,Krupa na Vrbasu,1,0,H
2018-08-15,Zeljeznicar Sarajevo,FK Sarajevo,2,2,D
2018-08-18,Krupa na Vrbasu,GOSK Gabela,3,0,H
2018-08-18,Radnik Bijeljina,Mladost Doboj Kakanj,3,1,H
2018-08-18,Celik,Zvijezda 09,2,0,H
2018-08-19,Tuzla City,Zeljeznicar Sarajevo,0,2,A
2018-08-19,FK Sarajevo,Zrinjski,4,2,H
2018-08-20,Siroki Brijeg,Sloboda Tuzla,0,0,D
2018-08-25,Mladost Doboj Kakanj,Celik,1,1,D
2018-08-25,Zvijezda 09,FK Sarajevo,0,4,A
2018-08-25,Sloboda Tuzla,Radnik Bijeljina,2,0,H
2018-08-25,Zrinjski,Tuzla City,1,0,H
2018-08-26,GOSK Gabela,Siroki Brijeg,0,0,D
2018-08-26,Zeljeznicar Sarajevo,Krupa na Vrbasu,1,1,D
2018-08-29,Zrinjski,Zvijezda 09,5,2,H
2018-09-01,Krupa na Vrbasu,Zrinjski,1,2,A
2018-09-01,Mladost Doboj Kakanj,Sloboda Tuzla,1,0,H
2018-09-01,Radnik Bijeljina,GOSK Gabela,1,0,H
2018-09-01,Tuzla City,Zvijezda 09,3,1,H
2018-09-01,Celik,FK Sarajevo,0,0,D
2018-09-02,Siroki Brijeg,Zeljeznicar Sarajevo,0,3,A
2018-09-14,Sloboda Tuzla,Celik,1,0,H
2018-09-15,Zvijezda 09,Krupa na Vrbasu,0,0,D
2018-09-15,FK Sarajevo,Tuzla City,2,0,H
2018-09-15,Zrinjski,Siroki Brijeg,0,0,D
2018-09-16,GOSK Gabela,Mladost Doboj Kakanj,1,3,A
2018-09-16,Zeljeznicar Sarajevo,Radnik Bijeljina,1,0,H
2018-09-22,Krupa na Vrbasu,FK Sarajevo,1,4,A
2018-09-22,Radnik Bijeljina,Zrinjski,0,1,A
2018-09-22,Sloboda Tuzla,GOSK Gabela,2,0,H
2018-09-23,Mladost Doboj Kakanj,Zeljeznicar Sarajevo,2,2,D
2018-09-23,Siroki Brijeg,Zvijezda 09,2,0,H
2018-09-23,Celik,Tuzla City,1,1,D
2018-09-26,GOSK Gabela,Celik,0,0,D
2018-09-26,Tuzla City,Krupa na Vrbasu,2,1,H
2018-09-26,Zvijezda 09,Radnik Bijeljina,0,0,D
2018-09-26,Zrinjski,Mladost Doboj Kakanj,1,0,H
2018-09-26,FK Sarajevo,Siroki Brijeg,1,0,H
2018-09-26,Zeljeznicar Sarajevo,Sloboda Tuzla,0,0,D
2018-09-29,Zrinjski,Sloboda Tuzla,2,0,H
2018-09-29,Tuzla City,Siroki Brijeg,0,0,D
2018-09-29,Zvijezda 09,Mladost Doboj Kakanj,0,2,A
2018-09-29,Celik,Krupa na Vrbasu,3,1,H
2018-09-29,FK Sarajevo,Radnik Bijeljina,2,1,H
2018-09-30,Zeljeznicar Sarajevo,GOSK Gabela,1,2,A
2018-10-05,Zeljeznicar Sarajevo,Celik,3,2,H
2018-10-06,GOSK Gabela,Zrinjski,0,4,A
2018-10-06,Mladost Doboj Kakanj,FK Sarajevo,0,6,A
2018-10-06,Radnik Bijeljina,Tuzla City,3,1,H
2018-10-06,Sloboda Tuzla,Zvijezda 09,0,3,A
2018-10-06,Siroki Brijeg,Krupa na Vrbasu,2,0,H
2018-10-20,Zrinjski,Zeljeznicar Sarajevo,0,1,A
2018-10-20,Tuzla City,Mladost Doboj Kakanj,0,1,A
2018-10-20,Zvijezda 09,GOSK Gabela,1,0,H
2018-10-20,FK Sarajevo,Sloboda Tuzla,1,0,H
2018-10-21,Krupa na Vrbasu,Radnik Bijeljina,0,0,D
