Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
14/05/2016,Flamengo RJ,Sport Recife,1,0,H,1.6,4.15,6.33
14/05/2016,Palmeiras,Athletico-PR,4,0,H,1.81,3.72,4.94
14/05/2016,Atletico-MG,Santos,1,0,H,3.17,3.25,2.49
15/05/2016,Coritiba,Cruzeiro,1,0,H,2.68,3.25,2.91
15/05/2016,Botafogo RJ,Sao Paulo,0,1,A,1.95,3.46,4.45
15/05/2016,Santa Cruz,Vitoria,4,1,H,1.83,3.62,4.9
15/05/2016,America MG,Fluminense,0,1,A,2.63,3.33,2.91
15/05/2016,Corinthians,Gremio,0,0,D,1.85,3.44,5.2
15/05/2016,Figueirense,Ponte Preta,0,0,D,2.33,3.19,3.53
15/05/2016,Internacional,Chapecoense-SC,0,0,D,1.67,3.7,6.41
21/05/2016,Ponte Preta,Palmeiras,2,1,H,2.64,3.25,2.95
21/05/2016,Fluminense,Santa Cruz,2,2,D,1.63,3.9,5.2
22/05/2016,Cruzeiro,Figueirense,2,2,D,1.41,4.48,10.69
22/05/2016,Athletico-PR,Atletico-MG,1,1,D,2.27,3.45,3.4
22/05/2016,Santos,Coritiba,2,1,H,1.57,4.03,7.06
22/05/2016,Chapecoense-SC,America MG,3,1,H,1.66,3.78,6.31
22/05/2016,Gremio,Flamengo RJ,1,0,H,2.17,3.39,3.71
22/05/2016,Sao Paulo,Internacional,1,2,A,2,3.39,4.34
22/05/2016,Vitoria,Corinthians,3,2,H,2.88,3.28,2.44
22/05/2016,Sport Recife,Botafogo RJ,1,1,D,1.88,3.61,4.67
25/05/2016,Botafogo RJ,Athletico-PR,2,1,H,2.21,3.38,3.62
25/05/2016,Figueirense,Santos,2,2,D,2.53,3.16,3.19
26/05/2016,America MG,Vitoria,1,1,D,2.18,3.44,3.62
26/05/2016,Flamengo RJ,Chapecoense-SC,2,2,D,1.68,3.75,6.11
26/05/2016,Coritiba,Sao Paulo,1,1,D,2.27,3.25,3.61
26/05/2016,Palmeiras,Fluminense,2,0,H,1.95,3.56,4.31
26/05/2016,Santa Cruz,Cruzeiro,4,1,H,2.54,3.31,3.03
26/05/2016,Corinthians,Ponte Preta,3,0,H,1.6,4.12,6.46
