Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2019-04-26,Brasil DE Pelotas,Bragantino,0,1,A
2019-04-26,Operario-PR,America Mineiro,1,0,H
2019-04-27,Sport Recife,Oeste,1,1,D
2019-04-27,Sao Bento,Atletico Goianiense,1,3,A
2019-04-27,Botafogo SP,Vitoria,3,1,H
2019-04-27,Guarani Campinas,Figueirense,0,0,D
2019-04-27,Criciuma,Cuiaba,0,1,A
2019-04-28,Vila Nova,Parana,1,1,D
2019-04-28,CRB,Londrina,1,2,A
2019-04-29,Coritiba,Ponte Preta,2,0,H
2019-05-01,America Mineiro,Botafogo SP,0,1,A
2019-05-01,Oeste,Guarani Campinas,2,0,H
2019-05-03,Ponte Preta,Criciuma,1,1,D
2019-05-03,Londrina,Brasil DE Pelotas,1,0,H
2019-05-04,Atletico Goianiense,Coritiba,1,1,D
2019-05-04,Figueirense,Sao Bento,2,2,D
2019-05-04,Vitoria,Vila Nova,2,1,H
2019-05-04,Parana,CRB,1,0,H
2019-05-04,Cuiaba,Operario-PR,2,1,H
2019-05-06,Bragantino,Sport Recife,1,1,D
2019-05-09,Sao Bento,Botafogo SP,0,1,A
2019-05-10,Coritiba,Londrina,0,0,D
2019-05-10,Bragantino,Atletico Goianiense,3,0,H
2019-05-11,Vila Nova,Ponte Preta,0,0,D
2019-05-11,Criciuma,America Mineiro,0,0,D
2019-05-11,Sport Recife,Figueirense,0,0,D
2019-05-11,Brasil DE Pelotas,CRB,0,2,A
2019-05-11,Cuiaba,Parana,1,1,D
2019-05-11,Operario-PR,Oeste,0,0,D
2019-05-13,Guarani Campinas,Vitoria,3,2,H
2019-05-14,Oeste,Cuiaba,1,1,D
2019-05-15,Figueirense,Brasil DE Pelotas,1,0,H
2019-05-17,Atletico Goianiense,Criciuma,3,1,H
2019-05-18,Ponte Preta,Operario-PR,1,0,H
2019-05-18,Londrina,Bragantino,1,0,H
2019-05-18,Parana,Guarani Campinas,0,0,D
