Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2018-07-20,Vitosha Bistritsa,Dunav Ruse,2,1,H
2018-07-20,Cherno More Varna,Botev Vratsa,2,1,H
2018-07-21,Ludogorets,Etar Veliko Tarnovo,1,0,H
2018-07-21,Botev Plovdiv,Levski Sofia,0,1,A
2018-07-22,Slavia Sofia,Beroe,1,1,D
2018-07-22,CSKA Sofia,Lokomotiv Plovdiv,2,0,H
2018-07-23,Vereya Stara Zagora,Septemvri Sofia,0,0,D
2018-07-27,Etar Veliko Tarnovo,Vereya Stara Zagora,1,0,H
2018-07-27,Dunav Ruse,Botev Vratsa,3,1,H
2018-07-28,Septemvri Sofia,Botev Plovdiv,0,2,A
2018-07-28,Beroe,Ludogorets,1,1,D
2018-07-29,Lokomotiv Plovdiv,Slavia Sofia,2,4,A
2018-07-29,Vitosha Bistritsa,CSKA Sofia,0,2,A
2018-07-30,Levski Sofia,Cherno More Varna,2,2,D
2018-08-03,Botev Plovdiv,Etar Veliko Tarnovo,2,0,H
2018-08-03,Vereya Stara Zagora,Beroe,0,2,A
2018-08-04,Cherno More Varna,Septemvri Sofia,1,5,A
2018-08-04,Ludogorets,Lokomotiv Plovdiv,0,1,A
2018-08-05,Botev Vratsa,Levski Sofia,0,2,A
2018-08-05,CSKA Sofia,Dunav Ruse,3,0,H
2018-08-06,Slavia Sofia,Vitosha Bistritsa,0,2,A
2018-08-10,Etar Veliko Tarnovo,Cherno More Varna,1,1,D
2018-08-10,Lokomotiv Plovdiv,Vereya Stara Zagora,3,0,H
2018-08-11,Beroe,Botev Plovdiv,2,1,H
2018-08-11,Dunav Ruse,Levski Sofia,1,2,A
2018-08-12,Vitosha Bistritsa,Ludogorets,0,2,A
2018-08-12,CSKA Sofia,Slavia Sofia,2,1,H
2018-08-13,Septemvri Sofia,Botev Vratsa,1,2,A
2018-08-17,Slavia Sofia,Dunav Ruse,2,0,H
2018-08-17,Cherno More Varna,Beroe,0,0,D
2018-08-18,Botev Plovdiv,Lokomotiv Plovdiv,0,1,A
2018-08-18,Botev Vratsa,Etar Veliko Tarnovo,2,0,H
2018-08-19,Levski Sofia,Septemvri Sofia,2,0,H
2018-08-19,Ludogorets,CSKA Sofia,1,0,H
2018-08-20,Vereya Stara Zagora,Vitosha Bistritsa,0,1,A
2018-08-24,Dunav Ruse,Septemvri Sofia,2,0,H
2018-08-24,Lokomotiv Plovdiv,Cherno More Varna,0,2,A
2018-08-25,Etar Veliko Tarnovo,Levski Sofia,1,2,A
2018-08-25,Vitosha Bistritsa,Botev Plovdiv,0,2,A
2018-08-26,Slavia Sofia,Ludogorets,0,0,D
2018-08-26,CSKA Sofia,Vereya Stara Zagora,4,0,H
2018-08-27,Beroe,Botev Vratsa,4,0,H
2018-08-31,Vereya Stara Zagora,Slavia Sofia,0,0,D
2018-08-31,Cherno More Varna,Vitosha Bistritsa,1,0,H
2018-09-01,Septemvri Sofia,Etar Veliko Tarnovo,0,2,A
2018-09-01,Botev Plovdiv,CSKA Sofia,0,0,D
2018-09-01,Levski Sofia,Beroe,1,0,H
2018-09-02,Botev Vratsa,Lokomotiv Plovdiv,0,0,D
2018-09-02,Ludogorets,Dunav Ruse,3,1,H
2018-09-14,Vitosha Bistritsa,Botev Vratsa,1,1,D
2018-09-14,Ludogorets,Vereya Stara Zagora,2,1,H
2018-09-15,Dunav Ruse,Etar Veliko Tarnovo,2,4,A
2018-09-15,Beroe,Septemvri Sofia,1,0,H
2018-09-15,CSKA Sofia,Cherno More Varna,3,1,H
2018-09-16,Slavia Sofia,Botev Plovdiv,0,0,D
2018-09-16,Lokomotiv Plovdiv,Levski Sofia,1,0,H
2018-09-21,Etar Veliko Tarnovo,Beroe,1,1,D
2018-09-21,Levski Sofia,Vitosha Bistritsa,4,1,H
2018-09-22,Septemvri Sofia,Lokomotiv Plovdiv,1,3,A
2018-09-22,Botev Vratsa,CSKA Sofia,0,2,A
2018-09-23,Vereya Stara Zagora,Dunav Ruse,1,1,D
2018-09-23,Cherno More Varna,Slavia Sofia,1,2,A
2018-09-23,Botev Plovdiv,Ludogorets,2,3,A
2018-09-28,Vitosha Bistritsa,Septemvri Sofia,2,1,H
2018-09-29,CSKA Sofia,Levski Sofia,0,1,A
2018-09-29,Ludogorets,Cherno More Varna,5,1,H
2018-09-30,Dunav Ruse,Beroe,1,1,D
2018-09-30,Vereya Stara Zagora,Botev Plovdiv,1,2,A
2018-09-30,Lokomotiv Plovdiv,Etar Veliko Tarnovo,0,0,D
2018-10-01,Slavia Sofia,Botev Vratsa,0,1,A
2018-10-05,Cherno More Varna,Vereya Stara Zagora,4,2,H
2018-10-06,Botev Plovdiv,Dunav Ruse,4,1,H
2018-10-06,Septemvri Sofia,CSKA Sofia,0,3,A
2018-10-06,Beroe,Lokomotiv Plovdiv,1,0,H
2018-10-07,Etar Veliko Tarnovo,Vitosha Bistritsa,1,0,H
2018-10-07,Botev Vratsa,Ludogorets,1,4,A
2018-10-07,Levski Sofia,Slavia Sofia,2,0,H
2018-10-19,Vereya Stara Zagora,Botev Vratsa,2,2,D
2018-10-20,Slavia Sofia,Septemvri Sofia,3,1,H
2018-10-20,Botev Plovdiv,Cherno More Varna,2,1,H
2018-10-20,Ludogorets,Levski Sofia,2,1,H
2018-10-21,Dunav Ruse,Lokomotiv Plovdiv,1,0,H
2018-10-21,CSKA Sofia,Etar Veliko Tarnovo,3,0,H
2018-10-22,Vitosha Bistritsa,Beroe,1,2,A
2018-10-26,Cherno More Varna,Dunav Ruse,3,2,H
2018-10-26,Levski Sofia,Vereya Stara Zagora,7,0,H
2018-10-27,Lokomotiv Plovdiv,Vitosha Bistritsa,2,1,H
2018-10-27,Beroe,CSKA Sofia,1,1,D
2018-10-27,Botev Vratsa,Botev Plovdiv,0,1,A
2018-10-28,Etar Veliko Tarnovo,Slavia Sofia,3,0,H
2018-10-28,Septemvri Sofia,Ludogorets,1,4,A
2018-11-03,Dunav Ruse,Vitosha Bistritsa,3,0,H
2018-11-03,Lokomotiv Plovdiv,CSKA Sofia,0,1,A
2018-11-03,Septemvri Sofia,Vereya Stara Zagora,1,0,H
2018-11-04,Botev Vratsa,Cherno More Varna,2,1,H
2018-11-04,Levski Sofia,Botev Plovdiv,4,1,H
2018-11-04,Etar Veliko Tarnovo,Ludogorets,1,4,A
2018-11-05,Beroe,Slavia Sofia,2,0,H
2018-11-09,CSKA Sofia,Vitosha Bistritsa,3,0,H
2018-11-10,Botev Plovdiv,Septemvri Sofia,2,0,H
2018-11-10,Cherno More Varna,Levski Sofia,1,0,H
2018-11-10,Vereya Stara Zagora,Etar Veliko Tarnovo,0,1,A
2018-11-11,Botev Vratsa,Dunav Ruse,1,0,H
2018-11-11,Slavia Sofia,Lokomotiv Plovdiv,1,1,D
2018-11-11,Ludogorets,Beroe,1,0,H
2018-11-23,Vitosha Bistritsa,Slavia Sofia,1,0,H
2018-11-24,Septemvri Sofia,Cherno More Varna,2,1,H
2018-11-24,Dunav Ruse,CSKA Sofia,0,2,A
2018-11-24,Lokomotiv Plovdiv,Ludogorets,0,1,A
2018-11-25,Etar Veliko Tarnovo,Botev Plovdiv,1,0,H
2018-11-25,Beroe,Vereya Stara Zagora,6,0,H
2018-11-25,Levski Sofia,Botev Vratsa,1,3,A
