Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2018-07-27,Dinamo Zagreb,Rudes,1,1,D
2018-07-28,NK Lokomotiva Zagreb,Inter Zapresic,4,0,H
2018-07-28,HNK Rijeka,HNK Gorica,2,0,H
2018-07-29,Istra 1961,NK Slaven Belupo,1,1,D
2018-07-29,NK Osijek,HNK Hajduk Split,4,1,H
2018-08-03,HNK Rijeka,Inter Zapresic,4,0,H
2018-08-03,Dinamo Zagreb,Istra 1961,3,0,H
2018-08-04,HNK Gorica,NK Slaven Belupo,3,3,D
2018-08-05,NK Osijek,Rudes,3,2,H
2018-08-05,HNK Hajduk Split,NK Lokomotiva Zagreb,1,1,D
2018-08-10,Dinamo Zagreb,NK Slaven Belupo,2,1,H
2018-08-11,HNK Gorica,Inter Zapresic,2,3,A
2018-08-11,NK Lokomotiva Zagreb,Rudes,1,0,H
2018-08-12,NK Osijek,Istra 1961,3,0,H
2018-08-12,HNK Rijeka,HNK Hajduk Split,1,1,D
2018-08-17,Dinamo Zagreb,NK Osijek,2,1,H
2018-08-18,Istra 1961,NK Lokomotiva Zagreb,1,2,A
2018-08-19,Rudes,HNK Rijeka,1,2,A
2018-08-19,HNK Hajduk Split,HNK Gorica,0,2,A
2018-08-24,NK Osijek,NK Slaven Belupo,1,1,D
2018-08-25,HNK Gorica,Rudes,2,0,H
2018-08-25,Dinamo Zagreb,NK Lokomotiva Zagreb,1,0,H
2018-08-26,Inter Zapresic,HNK Hajduk Split,2,2,D
2018-08-26,HNK Rijeka,Istra 1961,3,3,D
2018-08-31,Inter Zapresic,Rudes,3,0,H
2018-09-01,NK Slaven Belupo,HNK Hajduk Split,1,1,D
2018-09-01,NK Osijek,NK Lokomotiva Zagreb,2,1,H
2018-09-02,Istra 1961,HNK Gorica,0,2,A
2018-09-02,Dinamo Zagreb,HNK Rijeka,1,1,D
2018-09-08,NK Slaven Belupo,Inter Zapresic,2,1,H
2018-09-14,Inter Zapresic,Istra 1961,1,2,A
2018-09-15,HNK Gorica,Dinamo Zagreb,0,1,A
2018-09-15,HNK Hajduk Split,Rudes,3,1,H
2018-09-16,NK Slaven Belupo,NK Lokomotiva Zagreb,2,5,A
2018-09-16,HNK Rijeka,NK Osijek,1,1,D
2018-09-21,NK Slaven Belupo,Rudes,1,1,D
2018-09-22,NK Osijek,HNK Gorica,0,1,A
2018-09-22,NK Lokomotiva Zagreb,HNK Rijeka,2,0,H
2018-09-23,Dinamo Zagreb,Inter Zapresic,5,3,H
2018-09-23,Istra 1961,HNK Hajduk Split,2,4,A
2018-09-29,HNK Hajduk Split,Dinamo Zagreb,0,0,D
2018-09-29,Inter Zapresic,NK Osijek,0,3,A
2018-09-30,HNK Gorica,NK Lokomotiva Zagreb,0,3,A
2018-09-30,HNK Rijeka,NK Slaven Belupo,0,0,D
2018-10-01,Rudes,Istra 1961,0,3,A
2018-10-05,Inter Zapresic,NK Lokomotiva Zagreb,2,1,H
2018-10-06,HNK Gorica,HNK Rijeka,2,1,H
2018-10-06,NK Slaven Belupo,Istra 1961,3,1,H
2018-10-07,Rudes,Dinamo Zagreb,0,3,A
2018-10-07,HNK Hajduk Split,NK Osijek,0,2,A
2018-10-19,Inter Zapresic,HNK Rijeka,1,2,A
2018-10-20,Rudes,NK Osijek,1,4,A
2018-10-20,Istra 1961,Dinamo Zagreb,1,4,A
2018-10-21,NK Slaven Belupo,HNK Gorica,0,1,A
2018-10-21,NK Lokomotiva Zagreb,HNK Hajduk Split,2,0,H
2018-10-26,Rudes,NK Lokomotiva Zagreb,0,4,A
2018-10-27,Inter Zapresic,HNK Gorica,1,3,A
2018-10-27,Istra 1961,NK Osijek,1,1,D
2018-10-28,HNK Hajduk Split,HNK Rijeka,1,1,D
2018-10-28,NK Slaven Belupo,Dinamo Zagreb,0,2,A
2018-11-03,NK Lokomotiva Zagreb,Istra 1961,1,0,H
2018-11-04,HNK Gorica,HNK Hajduk Split,1,1,D
2018-11-04,NK Osijek,Dinamo Zagreb,0,2,A
2018-11-05,Inter Zapresic,NK Slaven Belupo,0,0,D
2018-11-05,HNK Rijeka,Rudes,5,1,H
2018-11-09,Rudes,HNK Gorica,0,1,A
2018-11-10,NK Slaven Belupo,NK Osijek,0,2,A
2018-11-10,HNK Hajduk Split,Inter Zapresic,3,0,H
2018-11-11,Istra 1961,HNK Rijeka,1,2,A
2018-11-11,NK Lokomotiva Zagreb,Dinamo Zagreb,0,1,A
2018-11-23,Rudes,Inter Zapresic,0,1,A
2018-11-24,HNK Rijeka,Dinamo Zagreb,1,0,H
2018-11-24,HNK Gorica,Istra 1961,0,2,A
2018-11-25,HNK Hajduk Split,NK Slaven Belupo,2,2,D
2018-11-25,NK Lokomotiva Zagreb,NK Osijek,2,2,D
2018-11-30,Istra 1961,Inter Zapresic,0,2,A
2018-11-30,NK Lokomotiva Zagreb,NK Slaven Belupo,1,1,D
2018-12-01,NK Osijek,HNK Rijeka,1,2,A
2018-12-01,Rudes,HNK Hajduk Split,1,4,A
2018-12-02,Dinamo Zagreb,HNK Gorica,1,0,H
2018-12-08,HNK Rijeka,NK Lokomotiva Zagreb,3,0,H
2018-12-08,HNK Hajduk Split,Istra 1961,3,1,H
2018-12-09,Inter Zapresic,Dinamo Zagreb,0,2,A
2018-12-09,HNK Gorica,NK Osijek,1,2,A
2018-12-10,Rudes,NK Slaven Belupo,1,1,D
2018-12-14,NK Lokomotiva Zagreb,HNK Gorica,2,2,D
2018-12-16,NK Osijek,Inter Zapresic,6,0,H
2018-12-16,Dinamo Zagreb,HNK Hajduk Split,1,0,H
2018-12-16,Istra 1961,Rudes,1,0,H
2019-01-30,NK Slaven Belupo,HNK Rijeka,1,1,D
2019-02-01,NK Lokomotiva Zagreb,Inter Zapresic,2,0,H
2019-02-02,Dinamo Zagreb,Rudes,7,2,H
2019-02-02,Istra 1961,NK Slaven Belupo,1,1,D
2019-02-03,NK Osijek,HNK Hajduk Split,0,1,A
2019-02-03,HNK Rijeka,HNK Gorica,1,3,A
2019-02-08,Rudes,NK Osijek,0,1,A
2019-02-09,NK Slaven Belupo,HNK Gorica,2,0,H
2019-02-09,Dinamo Zagreb,Istra 1961,1,0,H
2019-02-10,Inter Zapresic,HNK Rijeka,0,3,A
2019-02-10,HNK Hajduk Split,NK Lokomotiva Zagreb,2,1,H
2019-02-15,NK Lokomotiva Zagreb,Rudes,0,0,D
2019-02-16,HNK Rijeka,HNK Hajduk Split,0,0,D
2019-02-16,HNK Gorica,Inter Zapresic,2,2,D
2019-02-17,NK Osijek,Istra 1961,1,0,H
2019-02-17,Dinamo Zagreb,NK Slaven Belupo,3,0,H
2019-02-22,Rudes,HNK Rijeka,2,4,A
2019-02-23,NK Slaven Belupo,Inter Zapresic,0,1,A
2019-02-23,HNK Hajduk Split,HNK Gorica,0,0,D
2019-02-24,Istra 1961,NK Lokomotiva Zagreb,0,0,D
2019-02-24,Dinamo Zagreb,NK Osijek,3,0,H
2019-03-01,HNK Rijeka,Istra 1961,2,0,H
2019-03-02,HNK Gorica,Rudes,3,1,H
2019-03-02,NK Lokomotiva Zagreb,Dinamo Zagreb,1,1,D
2019-03-03,Inter Zapresic,HNK Hajduk Split,1,3,A
2019-03-03,NK Osijek,NK Slaven Belupo,1,1,D
2019-03-08,Rudes,Inter Zapresic,2,0,H
2019-03-09,NK Slaven Belupo,HNK Hajduk Split,1,2,A
2019-03-09,Istra 1961,HNK Gorica,0,3,A
2019-03-10,NK Osijek,NK Lokomotiva Zagreb,1,1,D
2019-03-10,Dinamo Zagreb,HNK Rijeka,3,1,H
2019-03-15,Inter Zapresic,Istra 1961,3,1,H
