Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
13/07/2018,Vejle,Hobro,3,1,H,2.61,3.25,2.93
13/07/2018,Sonderjyske,Aalborg,0,1,A,2.52,3.32,2.99
14/07/2018,Midtjylland,Aarhus,0,0,D,1.57,4.31,6.07
15/07/2018,Nordsjaelland,Esbjerg,1,1,D,1.62,4.2,5.67
15/07/2018,Vendsyssel,Odense,3,2,H,3.99,3.86,1.91
16/07/2018,FC Copenhagen,Horsens,1,2,A,1.39,4.93,8.92
16/07/2018,Randers FC,Brondby,0,2,A,5.54,4.49,1.59
20/07/2018,Aalborg,Midtjylland,2,1,H,3.84,3.39,2.09
21/07/2018,Esbjerg,Vendsyssel,2,3,A,2.08,3.73,3.52
22/07/2018,Horsens,Randers FC,1,1,D,2.32,3.42,3.23
22/07/2018,Odense,Sonderjyske,2,2,D,1.95,3.77,3.92
22/07/2018,Aarhus,Nordsjaelland,1,1,D,2.1,3.84,3.38
22/07/2018,Brondby,Vejle,1,1,D,1.33,5.57,10.11
23/07/2018,Hobro,FC Copenhagen,0,3,A,6.27,4.27,1.56
27/07/2018,Sonderjyske,Horsens,2,0,H,1.88,3.67,4.38
28/07/2018,Midtjylland,Esbjerg,3,1,H,1.52,4.51,6.5
29/07/2018,Nordsjaelland,Vendsyssel,3,0,H,1.56,4.55,5.77
29/07/2018,Randers FC,Odense,1,0,H,2.62,3.51,2.72
29/07/2018,Hobro,Brondby,1,2,A,6.73,4.7,1.49
29/07/2018,FC Copenhagen,Aalborg,4,0,H,1.53,4.34,6.72
30/07/2018,Vejle,Aarhus,1,1,D,2.83,3.33,2.63
03/08/2018,Aarhus,Sonderjyske,1,0,H,2.13,3.59,3.52
04/08/2018,Esbjerg,Randers FC,3,3,D,2.83,3.29,2.66
04/08/2018,Vejle,Midtjylland,1,3,A,3.71,3.53,2.08
05/08/2018,Horsens,Hobro,2,2,D,2.3,3.36,3.34
05/08/2018,Odense,FC Copenhagen,0,1,A,4.63,3.87,1.79
05/08/2018,Brondby,Nordsjaelland,2,0,H,1.42,5.33,7.01
06/08/2018,Vendsyssel,Aalborg,0,1,A,3.36,3.6,2.18
10/08/2018,Vendsyssel,Vejle,1,1,D,3.17,3.51,2.31
11/08/2018,Hobro,Odense,3,2,H,3.1,3.51,2.35
12/08/2018,Aalborg,Nordsjaelland,1,0,H,2.15,3.49,3.54
12/08/2018,FC Copenhagen,Brondby,3,1,H,2.06,3.58,3.72
12/08/2018,Randers FC,Aarhus,0,0,D,2.93,3.24,2.61
12/08/2018,Midtjylland,Horsens,3,0,H,1.47,4.74,7.03
13/08/2018,Esbjerg,Sonderjyske,1,0,H,3.32,3.7,2.17
17/08/2018,Sonderjyske,Vendsyssel,2,1,H,1.84,3.65,4.66
19/08/2018,Nordsjaelland,Vejle,2,0,H,1.86,3.9,4.18
19/08/2018,Randers FC,Hobro,3,0,H,2.02,3.4,4.1
19/08/2018,Aarhus,FC Copenhagen,1,1,D,5.04,3.55,1.81
19/08/2018,Brondby,Esbjerg,0,1,A,1.3,5.97,10.08
19/08/2018,Odense,Midtjylland,1,1,D,2.97,3.47,2.45
20/08/2018,Horsens,Aalborg,0,0,D,2.98,3.09,2.67
24/08/2018,Hobro,Aarhus,0,2,A,3.34,3.33,2.31
26/08/2018,Nordsjaelland,Horsens,0,1,A,1.65,4.11,5.4
26/08/2018,Vejle,Odense,0,2,A,3.56,3.48,2.15
26/08/2018,Vendsyssel,Brondby,1,2,A,6.84,4.82,1.47
26/08/2018,FC Copenhagen,Sonderjyske,3,2,H,1.45,4.37,8.83
26/08/2018,Midtjylland,Randers FC,3,0,H,1.93,3.46,4.46
27/08/2018,Aalborg,Esbjerg,0,1,A,1.97,3.45,4.22
31/08/2018,Horsens,Vejle,0,0,D,2.51,3.18,3.12
01/09/2018,Sonderjyske,Hobro,1,1,D,2.11,3.41,3.76
02/09/2018,Odense,Nordsjaelland,0,0,D,1.97,3.94,3.67
02/09/2018,Randers FC,Aalborg,2,2,D,2.47,3.17,3.2
02/09/2018,Esbjerg,FC Copenhagen,0,2,A,7.03,4.21,1.53
02/09/2018,Aarhus,Vendsyssel,1,1,D,1.65,4.2,5.27
02/09/2018,Brondby,Midtjylland,2,2,D,2.08,3.66,3.58
14/09/2018,Esbjerg,Odense,2,0,H,3.55,3.48,2.14
15/09/2018,Nordsjaelland,Randers FC,4,1,H,1.95,3.87,3.82
16/09/2018,Vendsyssel,Hobro,1,1,D,2.41,3.47,3.02
