Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2016-03-04,Tammeka,Trans Narva,2,2,D
2016-03-05,Kalju Nomme,Sillamae Kalev,2,0,H
2016-03-05,Paide,FCI Tallinn,0,2,A
2016-03-05,Parnu,Rakvere Tarvas,3,0,H
2016-03-05,FC Levadia Tallinn,Flora Tallinn,0,0,D
2016-03-08,FC Levadia Tallinn,Parnu,1,0,H
2016-03-08,Trans Narva,Sillamae Kalev,3,3,D
2016-03-08,Tammeka,Paide,2,0,H
2016-03-08,Flora Tallinn,Rakvere Tarvas,6,0,H
2016-03-09,FCI Tallinn,Kalju Nomme,2,1,H
2016-03-12,Kalju Nomme,Rakvere Tarvas,3,1,H
2016-03-12,Paide,FC Levadia Tallinn,0,1,A
2016-03-12,Sillamae Kalev,Parnu,4,1,H
2016-03-12,Flora Tallinn,Trans Narva,3,0,H
2016-03-12,FCI Tallinn,Tammeka,4,0,H
2016-03-18,Trans Narva,FC Levadia Tallinn,1,1,D
2016-03-19,Tammeka,Rakvere Tarvas,3,1,H
2016-03-19,Parnu,FCI Tallinn,0,2,A
2016-03-19,Sillamae Kalev,Paide,1,1,D
2016-03-19,Kalju Nomme,Flora Tallinn,2,0,H
2016-04-01,Tammeka,Sillamae Kalev,4,0,H
2016-04-01,FCI Tallinn,Flora Tallinn,1,1,D
2016-04-02,Trans Narva,Rakvere Tarvas,2,2,D
2016-04-02,Paide,Parnu,4,0,H
2016-04-02,FC Levadia Tallinn,Kalju Nomme,1,1,D
2016-04-04,Sillamae Kalev,FCI Tallinn,2,2,D
2016-04-04,Flora Tallinn,Tammeka,0,0,D
2016-04-05,Parnu,Kalju Nomme,0,1,A
2016-04-05,FC Levadia Tallinn,Rakvere Tarvas,2,0,H
2016-04-05,Trans Narva,Paide,2,3,A
2016-04-08,Flora Tallinn,Sillamae Kalev,0,0,D
2016-04-09,Rakvere Tarvas,Paide,0,5,A
2016-04-09,Parnu,Tammeka,0,1,A
2016-04-09,Kalju Nomme,Trans Narva,6,0,H
2016-04-09,FC Levadia Tallinn,FCI Tallinn,1,0,H
2016-04-15,Tammeka,Kalju Nomme,0,3,A
2016-04-16,Paide,Flora Tallinn,1,1,D
2016-04-16,FCI Tallinn,Rakvere Tarvas,4,1,H
2016-04-16,Sillamae Kalev,FC Levadia Tallinn,0,2,A
2016-04-16,Trans Narva,Parnu,4,0,H
2016-04-22,FC Levadia Tallinn,Tammeka,1,1,D
2016-04-22,Parnu,Flora Tallinn,0,3,A
2016-04-23,Trans Narva,FCI Tallinn,0,3,A
