Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2023-03-04,07 Vestur,IF II,1,0,H
2023-03-05,Vikingur Gota,B36 Torshavn,0,3,A
2023-03-05,KI Klaksvik,TB,7,1,H
2023-03-05,HB Torshavn,B68,4,1,H
2023-03-05,EB / Streymur,AB,2,0,H
2023-04-01,Vikingur Gota,TB,7,0,H
2023-04-02,KI Klaksvik,EB / Streymur,1,0,H
2023-04-02,07 Vestur,B68,1,1,D
2023-04-02,IF II,AB,2,0,H
2023-04-03,B36 Torshavn,HB Torshavn,0,2,A
2023-04-08,B36 Torshavn,B68,2,0,H
2023-04-08,IF II,Vikingur Gota,0,1,A
2023-04-08,EB / Streymur,TB,2,1,H
2023-04-08,07 Vestur,KI Klaksvik,1,3,A
2023-04-08,HB Torshavn,AB,4,0,H
2023-04-12,TB,HB Torshavn,0,0,D
2023-04-12,AB,KI Klaksvik,0,2,A
2023-04-12,B36 Torshavn,07 Vestur,3,2,H
2023-04-12,B68,Vikingur Gota,3,3,D
2023-04-12,IF II,EB / Streymur,3,0,H
2023-04-16,KI Klaksvik,Vikingur Gota,2,0,H
2023-04-16,HB Torshavn,IF II,4,1,H
2023-04-16,AB,B36 Torshavn,0,2,A
2023-04-16,TB,07 Vestur,2,1,H
2023-04-16,B68,EB / Streymur,0,0,D
2023-04-25,HB Torshavn,Vikingur Gota,1,1,D
2023-04-26,TB,IF II,0,1,A
2023-04-26,EB / Streymur,B36 Torshavn,1,2,A
2023-04-26,AB,07 Vestur,1,2,A
2023-04-26,B68,KI Klaksvik,0,5,A
2023-04-30,B36 Torshavn,KI Klaksvik,2,3,A
2023-04-30,Vikingur Gota,EB / Streymur,1,0,H
2023-04-30,07 Vestur,HB Torshavn,1,3,A
2023-04-30,AB,TB,0,0,D
2023-04-30,IF II,B68,1,3,A
2023-05-05,07 Vestur,Vikingur Gota,1,2,A
2023-05-05,EB / Streymur,HB Torshavn,0,3,A
2023-05-05,B68,AB,1,0,H
2023-05-05,TB,B36 Torshavn,0,4,A
2023-05-06,KI Klaksvik,IF II,1,0,H
2023-05-14,HB Torshavn,KI Klaksvik,0,1,A
2023-05-14,EB / Streymur,07 Vestur,0,5,A
2023-05-14,B68,TB,1,1,D
