Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
07/04/2018,VPS,Inter Turku,2,0,H,2.63,3.22,2.95
07/04/2018,SJK,PS Kemi,0,1,A,1.38,4.86,10.12
08/04/2018,Lahti,TPS,3,2,H,2.1,3.28,4.01
08/04/2018,HJK,Ilves,3,1,H,1.41,4.67,9.32
08/04/2018,KuPS,Honka,1,1,D,2.04,3.51,3.93
08/04/2018,Rovaniemi,Mariehamn,2,0,H,2.66,3.35,2.81
14/04/2018,Mariehamn,HJK,0,1,A,10.06,4.49,1.41
14/04/2018,VPS,Rovaniemi,0,1,A,2.18,3.32,3.7
15/04/2018,Honka,Lahti,0,0,D,2.42,3.26,3.22
15/04/2018,Ilves,KuPS,2,1,H,3.33,3.1,2.46
15/04/2018,PS Kemi,Inter Turku,2,4,A,5.21,3.92,1.71
15/04/2018,TPS,SJK,0,2,A,3.3,3.25,2.38
18/04/2018,KuPS,Rovaniemi,0,1,A,1.76,3.74,5.13
18/04/2018,SJK,HJK,0,1,A,5.58,3.79,1.7
21/04/2018,HJK,KuPS,1,2,A,1.34,5.17,11.26
21/04/2018,Inter Turku,TPS,1,2,A,2.26,3.38,3.43
21/04/2018,Lahti,Ilves,2,0,H,2.46,3.07,3.35
21/04/2018,SJK,Honka,2,0,H,2.58,3.27,2.97
22/04/2018,Mariehamn,VPS,2,2,D,2.33,3.13,3.53
22/04/2018,Rovaniemi,PS Kemi,3,0,H,1.62,4.32,5.56
25/04/2018,Inter Turku,HJK,0,0,D,5.7,4.13,1.63
25/04/2018,Rovaniemi,Lahti,2,0,H,2.54,3.03,3.26
25/04/2018,VPS,Ilves,1,1,D,2.67,2.98,3.12
25/04/2018,Mariehamn,KuPS,1,4,A,3.5,3.26,2.29
28/04/2018,Honka,Inter Turku,2,2,D,2.11,3.47,3.73
28/04/2018,TPS,Rovaniemi,0,0,D,2.47,3.13,3.27
29/04/2018,Ilves,SJK,1,1,D,2.62,3,3.18
29/04/2018,KuPS,Lahti,1,1,D,1.75,3.63,5.43
29/04/2018,VPS,HJK,1,2,A,8.14,4.34,1.48
29/04/2018,PS Kemi,Mariehamn,2,3,A,3.73,3.67,2.04
03/05/2018,HJK,Lahti,1,2,A,1.33,5.14,11.63
03/05/2018,Inter Turku,Ilves,0,1,A,2.22,3.28,3.6
03/05/2018,Rovaniemi,Honka,1,2,A,2.3,3.24,3.45
03/05/2018,SJK,KuPS,1,3,A,3.19,3.34,2.38
03/05/2018,VPS,PS Kemi,3,1,H,1.69,3.72,5.71
03/05/2018,Mariehamn,TPS,3,2,H,2.26,3.31,3.46
07/05/2018,PS Kemi,HJK,1,2,A,15.72,6.47,1.22
07/05/2018,Honka,Mariehamn,1,1,D,1.9,3.57,4.41
07/05/2018,Ilves,Rovaniemi,1,0,H,2.28,3.08,3.72
07/05/2018,KuPS,Inter Turku,5,1,H,1.63,4.19,5.59
07/05/2018,Lahti,SJK,1,0,H,2.14,3.23,3.9
07/05/2018,TPS,VPS,0,1,A,2.19,3.31,3.66
13/05/2018,PS Kemi,TPS,2,2,D,4.19,3.47,1.98
13/05/2018,Rovaniemi,KuPS,2,0,H,3.19,3.36,2.37
13/05/2018,Mariehamn,Ilves,2,0,H,2.89,3.28,2.6
14/05/2018,VPS,Honka,1,1,D,2.98,3.07,2.69
18/05/2018,Honka,PS Kemi,2,1,H,1.36,5.39,8.71
18/05/2018,Ilves,VPS,0,0,D,2.38,2.84,3.82
18/05/2018,KuPS,Mariehamn,2,1,H,1.74,3.84,5.11
18/05/2018,Lahti,Rovaniemi,0,0,D,1.88,3.56,4.58
18/05/2018,TPS,HJK,0,1,A,7.5,4.38,1.49
18/05/2018,SJK,Inter Turku,0,1,A,2.37,3.5,3.08
22/05/2018,HJK,Inter Turku,3,0,H,1.45,4.65,7.85
22/05/2018,PS Kemi,Ilves,0,2,A,3.41,3.25,2.32
22/05/2018,TPS,Honka,0,0,D,2.68,3.33,2.78
22/05/2018,VPS,KuPS,0,2,A,3.5,3.31,2.25
22/05/2018,Mariehamn,Lahti,1,2,A,2.94,3.16,2.65
26/05/2018,HJK,Honka,3,2,H,1.48,4.1,8.91
26/05/2018,Ilves,TPS,2,0,H,2.26,3.01,3.86
26/05/2018,Inter Turku,Rovaniemi,3,3,D,1.88,3.79,4.22
26/05/2018,KuPS,PS Kemi,2,3,A,1.24,6.31,14.48
26/05/2018,Lahti,VPS,1,1,D,1.98,3.15,4.76
26/05/2018,SJK,Mariehamn,1,1,D,2.05,3.46,3.94
29/05/2018,HJK,SJK,4,0,H,1.34,5.16,10.77
01/06/2018,Rovaniemi,HJK,1,2,A,7.08,4.37,1.51
01/06/2018,TPS,KuPS,0,0,D,3.71,3.5,2.09
01/06/2018,VPS,SJK,1,1,D,2.24,3.19,3.65
02/06/2018,Honka,Ilves,4,1,H,2.28,3.23,3.54
02/06/2018,PS Kemi,Lahti,0,0,D,5.49,3.77,1.71
02/06/2018,Mariehamn,Inter Turku,2,3,A,3.1,3.56,2.33
12/06/2018,HJK,Mariehamn,2,0,H,1.23,6.53,15.03
12/06/2018,Inter Turku,PS Kemi,1,0,H,1.44,4.76,7.74
12/06/2018,KuPS,Ilves,3,1,H,1.81,3.54,5.01
12/06/2018,Lahti,Honka,1,1,D,2.63,3.07,3.05
12/06/2018,Rovaniemi,VPS,1,0,H,2.45,2.99,3.45
12/06/2018,SJK,TPS,4,0,H,2.07,3.31,4.04
15/06/2018,TPS,Lahti,1,1,D,3.35,3.37,2.29
16/06/2018,Honka,KuPS,2,1,H,3.05,3.42,2.42
16/06/2018,Ilves,HJK,0,0,D,5.96,3.37,1.76
16/06/2018,Inter Turku,VPS,1,3,A,2.03,3.5,3.93
16/06/2018,PS Kemi,SJK,1,0,H,4.11,3.52,1.98
16/06/2018,Mariehamn,Rovaniemi,1,3,A,2.27,3.3,3.45
20/06/2018,Honka,SJK,3,1,H,2.03,3.49,3.93
20/06/2018,Ilves,Lahti,0,0,D,2.76,2.98,2.98
20/06/2018,KuPS,HJK,2,2,D,3.89,3.43,2.07
20/06/2018,TPS,Inter Turku,1,1,D,3.25,3.39,2.33
20/06/2018,VPS,Mariehamn,4,1,H,2.11,3.44,3.74
21/06/2018,PS Kemi,Rovaniemi,0,1,A,3.58,3.18,2.28
25/06/2018,HJK,VPS,5,0,H,1.34,4.94,11.64
25/06/2018,Lahti,KuPS,1,0,H,2.83,3.34,2.62
25/06/2018,Mariehamn,PS Kemi,2,1,H,1.7,3.8,5.47
26/06/2018,Inter Turku,Honka,2,3,A,2.8,3.45,2.59
26/06/2018,Rovaniemi,TPS,0,0,D,2.11,3.23,4.01
26/06/2018,SJK,Ilves,2,3,A,2.73,3.15,2.86
29/06/2018,TPS,Mariehamn,2,0,H,2.16,3.39,3.65
29/06/2018,Lahti,HJK,2,1,H,5.4,3.51,1.78
30/06/2018,Honka,Rovaniemi,2,2,D,1.65,3.92,5.85
30/06/2018,Ilves,Inter Turku,1,1,D,2,3.57,3.94
30/06/2018,KuPS,SJK,1,1,D,1.65,4.09,5.49
30/06/2018,PS Kemi,VPS,0,1,A,3.85,3.24,2.15
04/07/2018,HJK,PS Kemi,2,0,H,1.12,9.92,23.96
04/07/2018,Inter Turku,KuPS,0,1,A,2.66,3.62,2.63
04/07/2018,Rovaniemi,Ilves,2,0,H,2.63,2.95,3.18
04/07/2018,SJK,Lahti,1,0,H,3.06,3.13,2.58
04/07/2018,VPS,TPS,2,0,H,2.1,3.17,4.15
04/07/2018,Mariehamn,Honka,1,2,A,3.21,3.52,2.29
07/07/2018,TPS,PS Kemi,3,2,H,1.72,3.93,5.1
07/07/2018,Lahti,Inter Turku,1,2,A,1.95,3.6,4.1
08/07/2018,Honka,VPS,0,1,A,1.86,3.43,4.87
09/07/2018,SJK,Rovaniemi,2,1,H,2.32,3.3,3.34
14/07/2018,HJK,TPS,2,1,H,1.28,5.79,13.08
14/07/2018,Inter Turku,SJK,2,0,H,2.33,3.65,3.03
14/07/2018,PS Kemi,Honka,1,1,D,6.11,4.21,1.58
21/07/2018,Honka,TPS,2,0,H,1.63,4.11,5.64
21/07/2018,Rovaniemi,SJK,1,0,H,2.41,3.16,3.31
22/07/2018,Ilves,PS Kemi,2,0,H,1.64,3.73,6.5
22/07/2018,KuPS,VPS,1,2,A,1.9,3.66,4.28
22/07/2018,Lahti,Mariehamn,2,0,H,1.78,3.77,4.91
26/07/2018,Rovaniemi,Inter Turku,0,1,A,2.26,3.37,3.39
28/07/2018,Honka,HJK,1,2,A,3.67,3.53,2.09
29/07/2018,PS Kemi,KuPS,3,2,H,7.87,4.7,1.44
29/07/2018,Mariehamn,SJK,1,0,H,2.43,3.25,3.18
30/07/2018,TPS,Ilves,1,3,A,2.76,3.1,2.87
30/07/2018,VPS,Lahti,2,2,D,2.76,3.11,2.86
03/08/2018,SJK,VPS,0,0,D,2.68,3.05,3.02
04/08/2018,HJK,Rovaniemi,2,2,D,1.45,4.41,8.54
04/08/2018,Inter Turku,Mariehamn,3,0,H,1.96,3.58,4.11
