Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2017-07-28,Nimes,Reims,0,1,A
2017-07-28,Orleans,Nancy,3,1,H
2017-07-28,Valenciennes,Gazelec FC Ajaccio,1,1,D
2017-07-28,Stade Brestois 29,Chateauroux,2,3,A
2017-07-28,Niort,Ajaccio,0,0,D
2017-07-28,Paris FC,Clermont Foot,0,0,D
2017-07-28,Sochaux,Bourg-en-bresse 01,2,0,H
2017-07-28,Tours,Le Havre,0,3,A
2017-07-29,Lorient,Quevilly,1,1,D
2017-07-31,Auxerre,Lens,1,0,H
2017-08-04,Ajaccio,Stade Brestois 29,2,1,H
2017-08-04,Clermont Foot,Tours,2,0,H
2017-08-04,Gazelec FC Ajaccio,Lorient,0,0,D
2017-08-04,Nancy,Niort,0,0,D
2017-08-04,Chateauroux,Valenciennes,0,1,A
2017-08-04,Le Havre,Auxerre,4,1,H
2017-08-04,Lens,Nimes,1,2,A
2017-08-04,Bourg-en-bresse 01,Paris FC,1,2,A
2017-08-04,Quevilly,Sochaux,1,1,D
2017-08-05,Reims,Orleans,2,0,H
2017-08-11,Orleans,Ajaccio,0,0,D
2017-08-11,Valenciennes,Clermont Foot,0,0,D
2017-08-11,Stade Brestois 29,Gazelec FC Ajaccio,0,0,D
2017-08-11,Niort,Auxerre,2,0,H
2017-08-11,Paris FC,Le Havre,0,3,A
2017-08-11,Quevilly,Bourg-en-bresse 01,1,4,A
2017-08-11,Tours,Reims,0,1,A
2017-08-12,Sochaux,Lens,3,2,H
2017-08-14,Lorient,Chateauroux,3,0,H
2017-08-14,Nimes,Nancy,0,0,D
2017-08-18,Reims,Bourg-en-bresse 01,3,0,H
2017-08-18,Ajaccio,Paris FC,2,0,H
2017-08-18,Clermont Foot,Lorient,0,2,A
2017-08-18,Gazelec FC Ajaccio,Quevilly,1,0,H
2017-08-18,Nancy,Sochaux,2,2,D
2017-08-18,Auxerre,Orleans,1,3,A
2017-08-18,Le Havre,Valenciennes,1,0,H
2017-08-18,Niort,Tours,2,1,H
2017-08-19,Lens,Stade Brestois 29,2,4,A
2017-08-21,Chateauroux,Nimes,1,0,H
2017-08-25,Nimes,Le Havre,1,0,H
2017-08-25,Valenciennes,Niort,4,1,H
2017-08-25,Stade Brestois 29,Nancy,2,1,H
2017-08-25,Paris FC,Auxerre,2,1,H
2017-08-25,Sochaux,Chateauroux,1,5,A
2017-08-25,Bourg-en-bresse 01,Gazelec FC Ajaccio,2,0,H
2017-08-25,Quevilly,Clermont Foot,0,2,A
2017-08-25,Tours,Ajaccio,1,3,A
2017-08-26,Lorient,Reims,2,1,H
2017-08-28,Orleans,Lens,2,0,H
2017-09-08,Ajaccio,Nimes,1,4,A
2017-09-08,Clermont Foot,Bourg-en-bresse 01,4,1,H
2017-09-08,Gazelec FC Ajaccio,Sochaux,0,1,A
2017-09-08,Nancy,Valenciennes,3,0,H
2017-09-08,Chateauroux,Quevilly,3,2,H
2017-09-08,Auxerre,Tours,1,1,D
2017-09-08,Le Havre,Orleans,1,1,D
2017-09-08,Niort,Paris FC,0,2,A
2017-09-09,Lens,Lorient,2,3,A
2017-09-11,Reims,Stade Brestois 29,0,1,A
2017-09-15,Nimes,Auxerre,3,0,H
2017-09-15,Lorient,Ajaccio,2,0,H
2017-09-15,Gazelec FC Ajaccio,Clermont Foot,2,1,H
2017-09-15,Orleans,Niort,3,1,H
2017-09-15,Valenciennes,Lens,1,0,H
2017-09-15,Stade Brestois 29,Le Havre,1,0,H
2017-09-15,Paris FC,Tours,2,0,H
2017-09-15,Bourg-en-bresse 01,Chateauroux,3,0,H
2017-09-15,Quevilly,Nancy,2,0,H
2017-09-16,Sochaux,Reims,2,4,A
2017-09-18,Lens,Quevilly,2,0,H
2017-09-19,Reims,Gazelec FC Ajaccio,5,0,H
2017-09-19,Ajaccio,Valenciennes,3,0,H
2017-09-19,Nancy,Bourg-en-bresse 01,2,1,H
2017-09-19,Chateauroux,Clermont Foot,0,2,A
2017-09-19,Auxerre,Lorient,1,0,H
2017-09-19,Le Havre,Sochaux,1,0,H
2017-09-19,Niort,Stade Brestois 29,0,2,A
2017-09-19,Paris FC,Orleans,1,0,H
2017-09-19,Tours,Nimes,0,4,A
2017-09-22,Nimes,Niort,1,5,A
2017-09-22,Gazelec FC Ajaccio,Chateauroux,2,1,H
2017-09-22,Orleans,Tours,1,1,D
2017-09-22,Valenciennes,Auxerre,0,2,A
2017-09-22,Stade Brestois 29,Paris FC,1,1,D
2017-09-22,Sochaux,Ajaccio,1,6,A
2017-09-22,Bourg-en-bresse 01,Le Havre,2,1,H
2017-09-22,Quevilly,Reims,1,2,A
2017-09-23,Lorient,Nancy,0,0,D
2017-09-25,Clermont Foot,Lens,1,0,H
2017-09-29,Ajaccio,Bourg-en-bresse 01,2,0,H
2017-09-29,Nancy,Chateauroux,4,1,H
2017-09-29,Orleans,Valenciennes,3,4,A
2017-09-29,Auxerre,Sochaux,2,0,H
2017-09-29,Niort,Quevilly,2,1,H
2017-09-29,Paris FC,Nimes,2,1,H
2017-09-29,Lens,Gazelec FC Ajaccio,2,0,H
2017-09-29,Tours,Stade Brestois 29,1,2,A
2017-09-30,Reims,Clermont Foot,1,0,H
2017-10-02,Le Havre,Lorient,3,2,H
2017-10-13,Nimes,Orleans,4,1,H
2017-10-13,Gazelec FC Ajaccio,Nancy,2,1,H
2017-10-13,Valenciennes,Tours,2,0,H
2017-10-13,Stade Brestois 29,Auxerre,1,1,D
2017-10-13,Chateauroux,Reims,3,1,H
2017-10-13,Sochaux,Paris FC,1,0,H
2017-10-13,Bourg-en-bresse 01,Lens,0,6,A
2017-10-13,Quevilly,Ajaccio,0,1,A
