Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2016-05-14,Sioni,Dinamo Tbilisi,1,2,A
2016-05-14,Shukura,Chikhura Sachkhere,0,2,A
2016-05-22,Kolkheti Poti,Guria,0,1,A
2016-05-22,Dinamo Batumi,Merani Martvili,0,0,D
2016-05-22,Dinamo Tbilisi,Shukura,1,0,H
2016-05-22,Samtredia,Sioni,1,2,A
2016-05-22,Torpedo Kutaisi,Saburtalo,5,0,H
2016-05-22,Chikhura Sachkhere,Sapovnela,3,2,H
2016-05-22,Tskhinvali,Lokomotivi Tbilisi,1,1,D
2016-05-22,Dila,Zugdidi,3,0,H
2016-05-08,Tskhinvali,Shukura,5,0,H
2016-05-08,Torpedo Kutaisi,Sapovnela,4,1,H
2016-05-09,Chikhura Sachkhere,Sioni,1,1,D
2016-05-09,Dinamo Tbilisi,Guria,3,2,H
2016-05-13,Lokomotivi Tbilisi,Torpedo Kutaisi,1,2,A
2016-05-14,Merani Martvili,Dila,3,2,H
2016-05-14,Sapovnela,Tskhinvali,2,1,H
2016-05-14,Guria,Samtredia,0,2,A
2016-05-14,Zugdidi,Kolkheti Poti,2,1,H
2016-04-30,Shukura,Torpedo Kutaisi,2,3,A
2016-04-30,Sapovnela,Dinamo Batumi,2,1,H
2016-04-30,Guria,Chikhura Sachkhere,1,3,A
2016-04-30,Samtredia,Dinamo Tbilisi,2,1,H
2016-04-30,Merani Martvili,Kolkheti Poti,1,1,D
2016-04-30,Lokomotivi Tbilisi,Dila,0,2,A
2016-05-08,Dinamo Batumi,Lokomotivi Tbilisi,1,0,H
2016-05-08,Dila,Saburtalo,2,1,H
2016-05-08,Zugdidi,Merani Martvili,3,0,H
2016-05-08,Kolkheti Poti,Samtredia,0,3,A
2016-04-23,Tskhinvali,Guria,0,0,D
2016-04-23,Zugdidi,Lokomotivi Tbilisi,1,1,D
2016-04-23,Merani Martvili,Saburtalo,2,5,A
2016-04-23,Dinamo Batumi,Shukura,2,2,D
2016-04-23,Dila,Sapovnela,3,1,H
2016-04-24,Chikhura Sachkhere,Samtredia,1,1,D
2016-04-24,Kolkheti Poti,Dinamo Tbilisi,1,3,A
2016-04-24,Torpedo Kutaisi,Sioni,1,0,H
2016-04-30,Zugdidi,Saburtalo,0,1,A
2016-04-30,Sioni,Tskhinvali,1,3,A
2016-04-11,Saburtalo,Lokomotivi Tbilisi,0,0,D
2016-04-11,Kolkheti Poti,Chikhura Sachkhere,2,0,H
2016-04-15,Lokomotivi Tbilisi,Merani Martvili,1,1,D
2016-04-16,Chikhura Sachkhere,Dinamo Tbilisi,1,0,H
2016-04-16,Sioni,Dinamo Batumi,1,0,H
2016-04-17,Guria,Torpedo Kutaisi,3,2,H
2016-04-17,Samtredia,Tskhinvali,2,1,H
2016-04-17,Saburtalo,Kolkheti Poti,5,0,H
2016-04-17,Sapovnela,Zugdidi,2,2,D
2016-04-17,Shukura,Dila,1,0,H
2016-04-06,Chikhura Sachkhere,Tskhinvali,2,1,H
2016-04-06,Sioni,Zugdidi,3,1,H
2016-04-06,Lokomotivi Tbilisi,Kolkheti Poti,1,0,H
2016-04-06,Dinamo Tbilisi,Torpedo Kutaisi,2,1,H
2016-04-10,Tskhinvali,Dinamo Tbilisi,2,4,A
2016-04-10,Merani Martvili,Sapovnela,2,0,H
2016-04-10,Dila,Sioni,2,1,H
2016-04-10,Dinamo Batumi,Guria,1,2,A
2016-04-10,Zugdidi,Shukura,3,0,H
2016-04-10,Torpedo Kutaisi,Samtredia,2,1,H
2016-04-02,Merani Martvili,Sioni,1,1,D
2016-04-02,Dila,Samtredia,1,2,A
2016-04-02,Dinamo Batumi,Dinamo Tbilisi,1,2,A
2016-04-02,Saburtalo,Shukura,3,2,H
2016-04-02,Torpedo Kutaisi,Chikhura Sachkhere,0,2,A
2016-04-02,Lokomotivi Tbilisi,Sapovnela,0,0,D
2016-04-06,Sapovnela,Saburtalo,0,0,D
2016-04-06,Samtredia,Dinamo Batumi,2,0,H
2016-04-06,Guria,Dila,0,1,A
2016-04-06,Shukura,Merani Martvili,0,0,D
2016-03-17,Dinamo Tbilisi,Dila,0,1,A
2016-03-18,Shukura,Lokomotivi Tbilisi,2,1,H
2016-03-18,Chikhura Sachkhere,Dinamo Batumi,2,0,H
2016-03-18,Tskhinvali,Torpedo Kutaisi,0,0,D
2016-03-18,Sioni,Saburtalo,0,0,D
2016-03-18,Samtredia,Zugdidi,2,0,H
2016-03-19,Sapovnela,Kolkheti Poti,0,0,D
2016-03-19,Guria,Merani Martvili,0,0,D
2016-04-02,Kolkheti Poti,Tskhinvali,0,0,D
2016-04-02,Zugdidi,Guria,3,2,H
2016-03-06,Dinamo Tbilisi,Merani Martvili,2,0,H
2016-03-07,Samtredia,Saburtalo,8,2,H
2016-03-11,Lokomotivi Tbilisi,Sioni,0,0,D
2016-03-12,Zugdidi,Dinamo Tbilisi,2,3,A
2016-03-12,Dila,Chikhura Sachkhere,1,1,D
2016-03-13,Sapovnela,Shukura,2,0,H
2016-03-13,Saburtalo,Guria,4,2,H
2016-03-13,Merani Martvili,Samtredia,2,3,A
2016-03-13,Dinamo Batumi,Tskhinvali,2,0,H
2016-03-13,Kolkheti Poti,Torpedo Kutaisi,2,0,H
2016-02-27,Merani Martvili,Chikhura Sachkhere,3,2,H
2016-02-27,Dila,Torpedo Kutaisi,0,1,A
2016-02-27,Sapovnela,Guria,0,2,A
2016-02-27,Lokomotivi Tbilisi,Samtredia,0,1,A
2016-03-06,Guria,Lokomotivi Tbilisi,0,0,D
2016-03-06,Torpedo Kutaisi,Dinamo Batumi,1,0,H
2016-03-06,Sioni,Sapovnela,4,1,H
2016-03-06,Tskhinvali,Dila,0,0,D
2016-03-06,Shukura,Kolkheti Poti,1,0,H
2016-03-06,Chikhura Sachkhere,Zugdidi,4,0,H
2016-02-23,Samtredia,Sapovnela,3,0,H
2016-02-23,Torpedo Kutaisi,Zugdidi,2,0,H
2016-02-23,Tskhinvali,Merani Martvili,1,1,D
2016-02-23,Sioni,Kolkheti Poti,3,1,H
2016-02-23,Chikhura Sachkhere,Saburtalo,5,0,H
2016-02-23,Dinamo Tbilisi,Lokomotivi Tbilisi,2,1,H
2016-02-27,Saburtalo,Dinamo Tbilisi,0,4,A
2016-02-27,Zugdidi,Tskhinvali,1,1,D
2016-02-27,Shukura,Sioni,0,0,D
2016-02-27,Kolkheti Poti,Dinamo Batumi,0,1,A
2016-02-19,Sioni,Guria,1,1,D
2016-02-19,Kolkheti Poti,Dila,0,1,A
2016-02-19,Merani Martvili,Torpedo Kutaisi,2,1,H
2016-02-19,Shukura,Samtredia,1,1,D
2016-02-19,Sapovnela,Dinamo Tbilisi,1,2,A
2016-02-19,Zugdidi,Dinamo Batumi,0,1,A
2016-02-19,Saburtalo,Tskhinvali,2,2,D
2016-02-19,Lokomotivi Tbilisi,Chikhura Sachkhere,2,2,D
2016-02-23,Dinamo Batumi,Dila,2,2,D
2016-02-23,Guria,Shukura,0,0,D
2015-12-06,Dinamo Tbilisi,Sioni,5,2,H
2015-12-07,Dila,Merani Martvili,2,0,H
2015-12-11,Guria,Kolkheti Poti,1,1,D
2015-12-11,Lokomotivi Tbilisi,Tskhinvali,0,1,A
2015-12-12,Saburtalo,Torpedo Kutaisi,4,4,D
2015-12-12,Sapovnela,Chikhura Sachkhere,0,2,A
2015-12-12,Shukura,Dinamo Tbilisi,1,3,A
2015-12-12,Zugdidi,Dila,1,1,D
2015-12-12,Merani Martvili,Dinamo Batumi,0,4,A
2015-12-12,Sioni,Samtredia,0,2,A
2015-11-28,Guria,Dinamo Tbilisi,0,2,A
2015-11-28,Samtredia,Kolkheti Poti,1,0,H
2015-11-28,Sioni,Chikhura Sachkhere,4,0,H
2015-11-29,Saburtalo,Dila,1,3,A
2015-12-06,Samtredia,Guria,3,1,H
2015-12-06,Chikhura Sachkhere,Shukura,1,0,H
2015-12-06,Torpedo Kutaisi,Lokomotivi Tbilisi,2,0,H
2015-12-06,Kolkheti Poti,Zugdidi,0,0,D
2015-12-06,Tskhinvali,Sapovnela,3,0,H
2015-12-06,Dinamo Batumi,Saburtalo,2,1,H
2015-11-21,Dila,Lokomotivi Tbilisi,1,0,H
2015-11-21,Kolkheti Poti,Merani Martvili,2,1,H
2015-11-21,Dinamo Tbilisi,Samtredia,3,1,H
2015-11-21,Torpedo Kutaisi,Shukura,0,0,D
2015-11-22,Tskhinvali,Sioni,2,0,H
2015-11-22,Saburtalo,Zugdidi,1,0,H
2015-11-27,Lokomotivi Tbilisi,Dinamo Batumi,1,1,D
2015-11-28,Merani Martvili,Zugdidi,0,0,D
2015-11-28,Sapovnela,Torpedo Kutaisi,1,5,A
2015-11-28,Shukura,Tskhinvali,2,2,D
2015-11-07,Saburtalo,Merani Martvili,4,2,H
2015-11-07,Sapovnela,Dila,1,5,A
2015-11-07,Shukura,Dinamo Batumi,0,1,A
2015-11-08,Guria,Tskhinvali,1,2,A
2015-11-08,Samtredia,Chikhura Sachkhere,0,1,A
2015-11-08,Sioni,Torpedo Kutaisi,6,2,H
2015-11-08,Dinamo Tbilisi,Kolkheti Poti,5,2,H
2015-11-14,Zugdidi,Sioni,1,3,A
2015-11-21,Chikhura Sachkhere,Guria,5,0,H
2015-11-21,Dinamo Batumi,Sapovnela,1,0,H
2015-10-25,Lokomotivi Tbilisi,Saburtalo,3,2,H
2015-10-31,Kolkheti Poti,Saburtalo,1,0,H
2015-11-01,Merani Martvili,Lokomotivi Tbilisi,0,3,A
2015-11-01,Tskhinvali,Samtredia,1,0,H
2015-11-01,Dinamo Batumi,Sioni,3,5,A
2015-11-01,Dila,Shukura,1,3,A
2015-11-01,Zugdidi,Sapovnela,2,1,H
2015-11-01,Dinamo Tbilisi,Chikhura Sachkhere,2,0,H
2015-11-01,Torpedo Kutaisi,Guria,2,1,H
2015-11-06,Lokomotivi Tbilisi,Zugdidi,3,0,H
2015-10-17,Kolkheti Poti,Lokomotivi Tbilisi,4,0,H
2015-10-18,Tskhinvali,Chikhura Sachkhere,1,1,D
2015-10-18,Dila,Guria,5,0,H
2015-10-23,Shukura,Zugdidi,2,1,H
2015-10-23,Samtredia,Torpedo Kutaisi,3,1,H
2015-10-23,Sioni,Dila,0,1,A
2015-10-23,Guria,Dinamo Batumi,1,1,D
2015-10-23,Chikhura Sachkhere,Kolkheti Poti,0,1,A
2015-10-23,Dinamo Tbilisi,Tskhinvali,2,1,H
2015-10-24,Sapovnela,Merani Martvili,2,1,H
2015-10-03,Tskhinvali,Kolkheti Poti,5,1,H
2015-10-03,Dinamo Tbilisi,Dinamo Batumi,1,0,H
2015-10-04,Sioni,Merani Martvili,3,0,H
2015-10-04,Shukura,Saburtalo,1,0,H
2015-10-04,Chikhura Sachkhere,Torpedo Kutaisi,3,0,H
2015-10-10,Guria,Zugdidi,2,0,H
2015-10-16,Saburtalo,Sapovnela,2,1,H
2015-10-17,Torpedo Kutaisi,Dinamo Tbilisi,1,1,D
2015-10-17,Dinamo Batumi,Samtredia,2,0,H
2015-10-17,Merani Martvili,Shukura,1,2,A
2015-09-25,Saburtalo,Sioni,2,3,A
2015-09-25,Lokomotivi Tbilisi,Shukura,0,0,D
2015-09-26,Dinamo Batumi,Chikhura Sachkhere,1,1,D
2015-09-26,Dila,Dinamo Tbilisi,2,0,H
2015-09-26,Zugdidi,Samtredia,3,3,D
2015-09-26,Merani Martvili,Guria,2,0,H
2015-09-26,Kolkheti Poti,Sapovnela,0,0,D
2015-09-26,Torpedo Kutaisi,Tskhinvali,1,3,A
2015-10-03,Samtredia,Dila,5,0,H
2015-10-03,Sapovnela,Lokomotivi Tbilisi,2,1,H
2015-09-12,Sapovnela,Sioni,0,0,D
2015-09-12,Kolkheti Poti,Shukura,1,0,H
2015-09-20,Guria,Saburtalo,0,0,D
2015-09-20,Samtredia,Merani Martvili,4,0,H
2015-09-20,Chikhura Sachkhere,Dila,0,1,A
2015-09-20,Tskhinvali,Dinamo Batumi,3,2,H
2015-09-20,Shukura,Sapovnela,4,0,H
2015-09-20,Sioni,Lokomotivi Tbilisi,1,0,H
2015-09-20,Dinamo Tbilisi,Zugdidi,3,1,H
2015-09-20,Torpedo Kutaisi,Kolkheti Poti,1,0,H
2015-08-30,Chikhura Sachkhere,Merani Martvili,3,0,H
2015-08-30,Tskhinvali,Zugdidi,5,1,H
2015-08-30,Dinamo Batumi,Kolkheti Poti,2,0,H
2015-08-30,Torpedo Kutaisi,Dila,0,2,A
2015-09-11,Merani Martvili,Dinamo Tbilisi,1,4,A
2015-09-11,Lokomotivi Tbilisi,Guria,3,0,H
2015-09-12,Saburtalo,Samtredia,3,2,H
2015-09-12,Dinamo Batumi,Torpedo Kutaisi,1,1,D
2015-09-12,Dila,Tskhinvali,3,0,H
2015-09-12,Zugdidi,Chikhura Sachkhere,1,4,A
2015-08-22,Saburtalo,Chikhura Sachkhere,1,0,H
2015-08-22,Zugdidi,Torpedo Kutaisi,1,1,D
2015-08-22,Merani Martvili,Tskhinvali,2,3,A
2015-08-22,Sapovnela,Samtredia,2,3,A
2015-08-22,Shukura,Guria,2,1,H
2015-08-22,Kolkheti Poti,Sioni,0,1,A
2015-08-29,Dinamo Tbilisi,Saburtalo,4,0,H
2015-08-30,Sioni,Shukura,2,0,H
2015-08-30,Guria,Sapovnela,3,0,H
2015-08-30,Samtredia,Lokomotivi Tbilisi,3,2,H
2015-08-13,Chikhura Sachkhere,Lokomotivi Tbilisi,1,0,H
2015-08-13,Tskhinvali,Saburtalo,1,2,A
2015-08-14,Guria,Sioni,1,1,D
2015-08-14,Samtredia,Shukura,2,0,H
2015-08-14,Dinamo Batumi,Zugdidi,5,0,H
2015-08-14,Dila,Kolkheti Poti,2,0,H
2015-08-14,Torpedo Kutaisi,Merani Martvili,4,0,H
2015-08-14,Dinamo Tbilisi,Sapovnela,4,0,H
2015-08-21,Dila,Dinamo Batumi,1,1,D
2015-08-21,Lokomotivi Tbilisi,Dinamo Tbilisi,1,4,A
