Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2023-07-28,Hamburger SV,FC Schalke 04,5,3,H
2023-07-29,Hannover 96,SV Elversberg,2,2,D
2023-07-29,FC Kaiserslautern,FC St. Pauli,1,2,A
2023-07-29,SV Wehen,FC Magdeburg,1,1,D
2023-07-29,VfL Osnabruck,Karlsruher SC,2,3,A
2023-07-29,Fortuna Dusseldorf,Hertha Berlin,1,0,H
2023-07-30,SpVgg Greuther Furth,SC Paderborn 07,5,0,H
2023-07-30,Eintracht Braunschweig,Holstein Kiel,0,1,A
2023-07-30,Hansa Rostock,FC Nurnberg,2,0,H
2023-08-04,Hertha Berlin,SV Wehen,0,1,A
2023-08-04,SC Paderborn 07,VfL Osnabruck,1,1,D
2023-08-05,FC St. Pauli,Fortuna Dusseldorf,0,0,D
2023-08-05,Holstein Kiel,SpVgg Greuther Furth,2,1,H
2023-08-05,SV Elversberg,Hansa Rostock,1,2,A
2023-08-05,FC Schalke 04,FC Kaiserslautern,3,0,H
2023-08-06,FC Nurnberg,Hannover 96,2,2,D
2023-08-06,FC Magdeburg,Eintracht Braunschweig,2,1,H
2023-08-06,Karlsruher SC,Hamburger SV,2,2,D
2023-08-18,FC Kaiserslautern,SV Elversberg,3,2,H
2023-08-18,SV Wehen,Karlsruher SC,1,0,H
2023-08-19,Fortuna Dusseldorf,SC Paderborn 07,1,2,A
2023-08-19,SpVgg Greuther Furth,FC St. Pauli,0,0,D
2023-08-19,Hansa Rostock,Hannover 96,1,2,A
2023-08-19,Hamburger SV,Hertha Berlin,3,0,H
2023-08-20,Holstein Kiel,FC Magdeburg,2,4,A
2023-08-20,Eintracht Braunschweig,FC Schalke 04,1,0,H
2023-08-20,VfL Osnabruck,FC Nurnberg,2,3,A
2023-08-25,FC Schalke 04,Holstein Kiel,0,2,A
2023-08-25,SC Paderborn 07,FC Kaiserslautern,1,2,A
2023-08-26,Hertha Berlin,SpVgg Greuther Furth,5,0,H
2023-08-26,Hansa Rostock,VfL Osnabruck,2,1,H
2023-08-26,SV Elversberg,Fortuna Dusseldorf,0,5,A
2023-08-26,Hannover 96,Hamburger SV,0,1,A
2023-08-27,FC Nurnberg,SV Wehen,2,1,H
2023-08-27,FC St. Pauli,FC Magdeburg,0,0,D
2023-08-27,Karlsruher SC,Eintracht Braunschweig,2,0,H
2023-09-01,Fortuna Dusseldorf,Karlsruher SC,3,1,H
