Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2023-09-23,Olympiakos Piraeus II,Ilioupoli,0,0,D
2023-09-23,Kallithea,Panachaiki FC,0,0,D
2023-09-23,Makedonikos Neapolis,Iraklis 1908,0,0,D
2023-09-24,Giouchtas,Diagoras,2,0,H
2023-09-24,Larisa,Kampaniakos Chalastra,2,1,H
2023-09-24,Anagennisi Karditsas,AEK Athens II,2,1,H
2023-09-24,Tilikratis,Egaleo,1,0,H
2023-09-24,Kozani,Aiolikos,1,2,A
2023-09-24,Panathinaikos II,Kalamata,1,4,A
2023-09-24,Ionikos,Kissamikos,0,3,A
2023-09-25,PAOK II,Apollon Pontou,4,0,H
2023-09-30,Diagoras,Egaleo,2,1,H
2023-09-30,Panachaiki FC,Panathinaikos II,0,2,A
2023-09-30,AEK Athens II,Larisa,3,0,H
2023-09-30,PAOK II,Kampaniakos Chalastra,2,3,A
2023-10-01,Ilioupoli,Ionikos,0,3,A
2023-10-01,Iraklis 1908,Anagennisi Karditsas,1,1,D
2023-10-01,Kallithea,Olympiakos Piraeus II,3,2,H
2023-10-02,Aiolikos,Makedonikos Neapolis,1,3,A
2023-10-02,Kissamikos,Tilikratis,3,0,H
2023-10-02,Levadiakos,Kozani,1,0,H
2023-10-02,Kalamata,Giouchtas,3,1,H
2023-10-07,PAOK II,AEK Athens II,1,0,H
2023-10-11,Larisa,Iraklis 1908,1,0,H
2023-10-11,Anagennisi Karditsas,Aiolikos,3,1,H
2023-10-11,Niki Volos,Levadiakos,0,1,A
2023-10-11,Kozani,Makedonikos Neapolis,2,0,H
2023-10-14,Egaleo,Kalamata,0,3,A
2023-10-14,Giouchtas,Panachaiki FC,2,1,H
2023-10-14,Olympiakos Piraeus II,Ionikos,1,1,D
2023-10-15,Tilikratis,Ilioupoli,1,2,A
2023-10-15,Levadiakos,Apollon Pontou,1,0,H
2023-10-15,Aiolikos,Larisa,1,1,D
2023-10-15,Niki Volos,Kozani,0,1,A
2023-10-15,Makedonikos Neapolis,Anagennisi Karditsas,0,0,D
2023-10-16,Diagoras,Kissamikos,3,1,H
2023-10-20,Olympiakos Piraeus II,Panathinaikos II,3,1,H
2023-10-21,Kallithea,Giouchtas,1,0,H
2023-10-21,Ionikos,Tilikratis,1,0,H
2023-10-21,PAOK II,Aiolikos,0,0,D
2023-10-22,Kalamata,Kissamikos,0,2,A
2023-10-22,Ilioupoli,Diagoras,1,0,H
2023-10-22,Larisa,Makedonikos Neapolis,1,1,D
2023-10-22,Apollon Pontou,Niki Volos,1,3,A
2023-10-22,Panachaiki FC,Egaleo,0,1,A
2023-10-22,Kozani,Anagennisi Karditsas,1,0,H
2023-10-23,Kampaniakos Chalastra,Levadiakos,0,2,A
2023-10-24,Panathinaikos II,Kallithea,0,1,A
