Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2019-09-28,Ionikos,Trikala,0,0,D
2019-09-29,Egaleo,Kalamata,0,2,A
2019-09-29,Veria,Diagoras,0,0,D
2019-09-29,Kavala,Triglia,4,1,H
2019-09-29,Niki Volos,Thesprotos,2,1,H
2019-09-29,Aspropyrgos Enosis,Olympiakos Volos,2,2,D
2019-09-29,Ialysos,OF Ierapetra,0,0,D
2019-10-05,Kavala,Egaleo,0,0,D
2019-10-06,Kalamata,Ialysos,2,0,H
2019-10-06,OF Ierapetra,Niki Volos,2,1,H
2019-10-06,Olympiakos Volos,Veria,0,2,A
2019-10-06,Thesprotos,Ionikos,0,2,A
2019-10-06,Diagoras,Trikala,1,2,A
2019-10-06,Triglia,Aspropyrgos Enosis,2,0,H
2019-10-12,Aspropyrgos Enosis,Kavala,1,0,H
2019-10-13,Trikala,Olympiakos Volos,1,1,D
2019-10-13,Veria,Triglia,2,1,H
2019-10-13,Niki Volos,Kalamata,1,1,D
2019-10-13,Diagoras,Thesprotos,4,1,H
2019-10-13,Egaleo,Ialysos,1,0,H
2019-10-13,Ionikos,OF Ierapetra,0,1,A
2019-10-19,Kalamata,Ionikos,1,0,H
2019-10-19,Olympiakos Volos,Thesprotos,1,1,D
2019-10-20,Ialysos,Niki Volos,1,0,H
2019-10-20,Kavala,Veria,1,0,H
2019-10-20,OF Ierapetra,Diagoras,0,0,D
2019-10-20,Aspropyrgos Enosis,Egaleo,1,1,D
2019-10-20,Triglia,Trikala,0,1,A
2019-10-26,Veria,Aspropyrgos Enosis,1,1,D
2019-10-26,Trikala,Kavala,0,0,D
2019-10-27,Olympiakos Volos,OF Ierapetra,2,1,H
2019-10-27,Thesprotos,Triglia,3,0,H
2019-10-27,Diagoras,Kalamata,2,0,H
2019-10-27,Egaleo,Niki Volos,2,0,H
2019-10-27,Ionikos,Ialysos,1,0,H
2019-11-02,Niki Volos,Ionikos,1,2,A
2019-11-03,Veria,Egaleo,3,1,H
2019-11-03,Kalamata,Olympiakos Volos,1,2,A
2019-11-03,Kavala,Thesprotos,4,1,H
2019-11-03,Aspropyrgos Enosis,Trikala,1,1,D
2019-11-03,Ialysos,Diagoras,1,1,D
2019-11-03,Triglia,OF Ierapetra,0,2,A
2019-11-09,Trikala,Veria,2,1,H
