Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2026-07-24,Nyiregyhaza,Ujpest,2,1,H
2026-07-25,Kisvarda FC,Budapest Honved,1,1,D
2026-07-26,Vasas,Gyori ETO FC,2,2,D
2026-07-26,Debreceni VSC,Puskas Academy,0,2,A
2026-07-26,Paks,Ferencvarosi TC,4,2,H
2026-07-27,MTK Budapest,Zalaegerszegi TE,3,0,H
2026-07-31,Puskas Academy,Kisvarda FC,0,2,A
2026-08-01,Budapest Honved,MTK Budapest,3,3,D
2026-08-02,Ujpest,Debreceni VSC,4,2,H
2026-08-02,Ferencvarosi TC,Vasas,0,0,D
2026-08-02,Gyori ETO FC,Nyiregyhaza,4,0,H
