Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2022-04-18,Vikingur Reykjavik,FH hafnarfjordur,2,1,H
2022-04-19,Valur Reykjavik,IBV Vestmannaeyjar,2,1,H
2022-04-19,Stjarnan,IA Akranes,2,2,D
2022-04-19,Breidablik,Keflavik,4,1,H
2022-04-20,KA Akureyri,Leiknir R.,1,0,H
2022-04-20,Fram Reykjavik,KR Reykjavik,1,4,A
2022-04-24,IBV Vestmannaeyjar,KA Akureyri,0,3,A
2022-04-24,Leiknir R.,Stjarnan,0,3,A
2022-04-24,Keflavik,Valur Reykjavik,0,1,A
2022-04-24,IA Akranes,Vikingur Reykjavik,3,0,H
2022-04-25,FH hafnarfjordur,Fram Reykjavik,4,2,H
2022-04-25,KR Reykjavik,Breidablik,0,1,A
2022-04-28,Vikingur Reykjavik,Keflavik,4,1,H
2022-04-30,Valur Reykjavik,KR Reykjavik,2,1,H
2022-05-01,IBV Vestmannaeyjar,Leiknir R.,1,1,D
2022-05-01,Breidablik,FH hafnarfjordur,3,0,H
2022-05-02,KA Akureyri,Keflavik,3,2,H
2022-05-02,Vikingur Reykjavik,Stjarnan,4,5,A
2022-05-02,Fram Reykjavik,IA Akranes,1,1,D
2022-05-06,FH hafnarfjordur,Valur Reykjavik,2,2,D
2022-05-07,IA Akranes,Breidablik,1,5,A
2022-05-07,Keflavik,IBV Vestmannaeyjar,3,3,D
2022-05-07,KR Reykjavik,KA Akureyri,0,0,D
2022-05-07,Stjarnan,Fram Reykjavik,1,1,D
2022-05-08,Leiknir R.,Vikingur Reykjavik,0,0,D
2022-05-11,IBV Vestmannaeyjar,KR Reykjavik,1,2,A
2022-05-11,KA Akureyri,FH hafnarfjordur,1,0,H
2022-05-11,Valur Reykjavik,IA Akranes,4,0,H
2022-05-11,Breidablik,Stjarnan,3,2,H
2022-05-12,Keflavik,Leiknir R.,3,0,H
2022-05-12,Vikingur Reykjavik,Fram Reykjavik,4,1,H
2022-05-15,FH hafnarfjordur,IBV Vestmannaeyjar,2,0,H
2022-05-15,IA Akranes,KA Akureyri,0,3,A
2022-05-15,Stjarnan,Valur Reykjavik,1,0,H
2022-05-16,KR Reykjavik,Keflavik,1,0,H
2022-05-16,Vikingur Reykjavik,Breidablik,0,3,A
2022-05-16,Leiknir R.,Fram Reykjavik,1,2,A
2022-05-21,IBV Vestmannaeyjar,IA Akranes,0,0,D
2022-05-21,KR Reykjavik,Leiknir R.,1,1,D
2022-05-21,KA Akureyri,Stjarnan,0,2,A
2022-05-22,Keflavik,FH hafnarfjordur,2,1,H
2022-05-22,Valur Reykjavik,Vikingur Reykjavik,1,3,A
2022-05-22,Breidablik,Fram Reykjavik,4,3,H
2022-05-29,Fram Reykjavik,Valur Reykjavik,3,2,H
2022-05-29,Vikingur Reykjavik,KA Akureyri,2,1,H
2022-05-29,Stjarnan,IBV Vestmannaeyjar,1,0,H
2022-05-29,IA Akranes,Keflavik,0,2,A
2022-05-29,FH hafnarfjordur,KR Reykjavik,2,3,A
2022-05-29,Leiknir R.,Breidablik,1,2,A
2022-06-15,IBV Vestmannaeyjar,Vikingur Reykjavik,0,3,A
