Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
16/02/2018,Bohemians,Shamrock Rovers,3,1,H,3.93,3.28,2.13
16/02/2018,Dundalk,Bray,0,0,D,1.18,7.77,18
16/02/2018,St. Patricks,Cork City,2,3,A,4.51,3.89,1.81
16/02/2018,Waterford,Derry City,2,1,H,3.15,3.34,2.42
17/02/2018,Sligo Rovers,Limerick,0,1,A,2.05,3.38,4.06
23/02/2018,Bray,St. Patricks,1,2,A,4.06,3.79,1.93
23/02/2018,Cork City,Waterford,2,0,H,1.53,4.43,6.72
23/02/2018,Sligo Rovers,Derry City,2,1,H,3,3.25,2.57
23/02/2018,Shamrock Rovers,Dundalk,0,0,D,3.81,3.52,2.07
24/02/2018,Limerick,Bohemians,1,1,D,2.55,3.22,3.06
26/02/2018,Sligo Rovers,Cork City,1,4,A,6.26,4.05,1.6
26/02/2018,Waterford,St. Patricks,2,0,H,2.65,3.45,2.71
26/02/2018,Shamrock Rovers,Bray,6,0,H,1.55,4.13,7.05
27/02/2018,Bohemians,Derry City,0,1,A,2.34,3.16,3.5
27/02/2018,Dundalk,Limerick,8,0,H,1.2,7.21,17.21
09/03/2018,Bohemians,St. Patricks,0,1,A,2.68,3.25,2.86
09/03/2018,Limerick,Bray,1,0,H,2.49,3.53,2.89
09/03/2018,Sligo Rovers,Waterford,1,2,A,3.23,3.37,2.36
09/03/2018,Dundalk,Cork City,1,0,H,2.32,3.33,3.34
09/03/2018,Shamrock Rovers,Derry City,6,1,H,1.69,3.83,5.63
12/03/2018,Bray,Sligo Rovers,1,2,A,3.15,3.37,2.4
12/03/2018,Cork City,Shamrock Rovers,1,0,H,1.95,3.57,4.19
12/03/2018,Derry City,Limerick,5,0,H,1.71,3.89,5.26
12/03/2018,St. Patricks,Dundalk,0,0,D,5.96,4.11,1.62
12/03/2018,Waterford,Bohemians,1,0,H,2.19,3.21,3.81
16/03/2018,Bohemians,Sligo Rovers,2,2,D,2.24,3.1,3.75
16/03/2018,Derry City,Bray,5,1,H,1.42,4.77,8.49
16/03/2018,Dundalk,Waterford,1,0,H,1.36,5.12,9.83
16/03/2018,Limerick,Cork City,1,1,D,10.43,5.45,1.33
16/03/2018,Shamrock Rovers,St. Patricks,1,0,H,1.88,3.5,4.6
19/03/2018,Cork City,Bohemians,3,0,H,1.4,4.63,8.77
19/03/2018,Limerick,Shamrock Rovers,0,1,A,6.74,4.25,1.55
23/03/2018,Bohemians,Bray,2,1,H,1.56,4.2,6.6
23/03/2018,St. Patricks,Limerick,1,0,H,1.59,4,6.57
23/03/2018,Waterford,Shamrock Rovers,2,1,H,4.06,3.09,2.17
24/03/2018,Sligo Rovers,Dundalk,0,2,A,9.61,4.65,1.41
30/03/2018,Derry City,St. Patricks,2,1,H,2.31,3.31,3.39
30/03/2018,Bray,Cork City,0,4,A,13.55,6.05,1.26
30/03/2018,Dundalk,Bohemians,3,0,H,1.29,5.38,15
30/03/2018,Limerick,Waterford,0,2,A,4.45,3.22,2
30/03/2018,Shamrock Rovers,Sligo Rovers,1,0,H,1.49,4.34,7.74
06/04/2018,Dundalk,Shamrock Rovers,2,1,H,1.63,3.83,6.5
06/04/2018,Bohemians,Limerick,0,0,D,2.12,3.15,4.16
06/04/2018,St. Patricks,Bray,5,0,H,1.25,5.99,15.05
06/04/2018,Waterford,Cork City,2,1,H,3.54,3.28,2.25
