Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2020-09-25,Monza,Spal,0,0,D
2020-09-26,Frosinone,Empoli,0,2,A
2020-09-26,Salernitana,Reggina,1,1,D
2020-09-26,Brescia,Ascoli,1,1,D
2020-09-26,Pescara,Chievo,0,0,D
2020-09-26,Lecce,Pordenone,0,0,D
2020-09-26,Nuova Cosenza,Virtus Entella,0,0,D
2020-09-26,Venezia,Vicenza Virtus,1,0,H
2020-09-27,Cremonese,Cittadella,0,2,A
2020-09-27,Reggiana,Pisa,2,2,D
2020-10-03,Chievo,Salernitana,1,2,A
2020-10-03,Spal,Nuova Cosenza,1,1,D
2020-10-03,Ascoli,Lecce,0,2,A
2020-10-03,Empoli,Monza,0,0,D
2020-10-03,Venezia,Frosinone,0,2,A
2020-10-03,Virtus Entella,Reggiana,0,2,A
2020-10-03,Reggina,Pescara,3,1,H
2020-10-03,Vicenza Virtus,Pordenone,1,1,D
2020-10-04,Pisa,Cremonese,1,1,D
2020-10-04,Cittadella,Brescia,3,0,H
2020-10-16,Brescia,Lecce,3,0,H
2020-10-17,Salernitana,Pisa,4,1,H
2020-10-17,Cremonese,Venezia,0,0,D
2020-10-17,Pordenone,Spal,3,3,D
2020-10-17,Reggiana,Chievo,0,1,A
2020-10-17,Nuova Cosenza,Cittadella,1,1,D
2020-10-17,Virtus Entella,Reggina,1,1,D
2020-10-17,Pescara,Empoli,1,2,A
2020-10-17,Frosinone,Ascoli,1,0,H
2020-10-20,Chievo,Brescia,1,0,H
2020-10-20,Ascoli,Reggiana,2,1,H
2020-10-20,Cittadella,Pordenone,2,0,H
2020-10-20,Empoli,Spal,2,1,H
2020-10-20,Frosinone,Virtus Entella,0,0,D
2020-10-20,Venezia,Pescara,4,0,H
2020-10-20,Pisa,Monza,1,1,D
2020-10-20,Vicenza Virtus,Salernitana,1,1,D
2020-10-20,Reggina,Nuova Cosenza,0,0,D
2020-10-21,Lecce,Cremonese,2,2,D
2020-10-23,Empoli,Pisa,3,1,H
2020-10-24,Spal,Vicenza Virtus,3,2,H
2020-10-24,Salernitana,Ascoli,1,0,H
2020-10-24,Pordenone,Reggina,2,2,D
2020-10-24,Monza,Chievo,1,2,A
2020-10-24,Pescara,Frosinone,0,2,A
2020-10-25,Nuova Cosenza,Lecce,1,1,D
2020-10-31,Cittadella,Monza,1,2,A
2020-10-31,Chievo,Nuova Cosenza,2,0,H
2020-10-31,Ascoli,Pordenone,0,1,A
2020-10-31,Salernitana,Reggiana,3,0,H
2020-10-31,Brescia,Virtus Entella,2,2,D
2020-10-31,Vicenza Virtus,Pisa,4,4,D
2020-11-01,Venezia,Empoli,2,0,H
2020-11-01,Reggina,Spal,0,1,A
2020-11-01,Frosinone,Cremonese,1,0,H
2020-11-02,Lecce,Pescara,3,1,H
2020-11-06,Spal,Salernitana,2,0,H
2020-11-07,Pordenone,Chievo,1,1,D
2020-11-07,Monza,Frosinone,2,0,H
2020-11-07,Nuova Cosenza,Brescia,1,2,A
2020-11-07,Empoli,Reggina,3,0,H
2020-11-07,Cremonese,Vicenza Virtus,0,1,A
2020-11-08,Pescara,Cittadella,3,1,H
2020-11-08,Reggiana,Venezia,2,1,H
2020-11-08,Virtus Entella,Lecce,1,5,A
2020-11-14,Virtus Entella,Venezia,0,2,A
2020-11-20,Frosinone,Nuova Cosenza,0,2,A
2020-11-21,Spal,Pescara,2,0,H
2020-11-21,Cittadella,Empoli,2,2,D
2020-11-21,Brescia,Venezia,2,2,D
2020-11-21,Pordenone,Monza,1,1,D
2020-11-21,Lecce,Reggiana,7,1,H
2020-11-22,Ascoli,Virtus Entella,1,1,D
2020-11-22,Reggina,Pisa,1,2,A
2020-11-23,Salernitana,Cremonese,2,1,H
2020-11-27,Chievo,Lecce,1,2,A
2020-11-28,Empoli,Vicenza Virtus,2,2,D
2020-11-28,Venezia,Ascoli,2,1,H
2020-11-28,Brescia,Frosinone,1,2,A
2020-11-28,Pescara,Pordenone,0,2,A
2020-11-28,Pisa,Cittadella,1,4,A
2020-11-28,Monza,Reggina,1,0,H
2020-11-29,Reggiana,Cremonese,1,1,D
2020-11-29,Nuova Cosenza,Salernitana,0,1,A
2020-11-30,Virtus Entella,Spal,0,1,A
2020-12-02,Monza,Vicenza Virtus,1,1,D
2020-12-04,Ascoli,Pescara,0,2,A
2020-12-05,Spal,Pisa,4,0,H
2020-12-05,Frosinone,Chievo,3,2,H
2020-12-05,Salernitana,Cittadella,1,0,H
2020-12-05,Cremonese,Virtus Entella,2,1,H
2020-12-05,Lecce,Venezia,2,2,D
2020-12-05,Reggina,Brescia,2,1,H
2020-12-06,Reggiana,Monza,3,0,H
2020-12-06,Vicenza Virtus,Nuova Cosenza,1,1,D
2020-12-07,Pordenone,Empoli,0,0,D
2020-12-08,Cremonese,Brescia,2,2,D
2020-12-08,Pisa,Ascoli,2,1,H
2020-12-11,Venezia,Monza,0,2,A
2020-12-11,Chievo,Reggina,3,0,H
2020-12-12,Brescia,Salernitana,3,1,H
2020-12-12,Cremonese,Ascoli,3,3,D
2020-12-12,Virtus Entella,Empoli,2,5,A
2020-12-12,Pisa,Pordenone,1,0,H
2020-12-12,Lecce,Frosinone,2,2,D
2020-12-12,Nuova Cosenza,Reggiana,0,1,A
2020-12-12,Pescara,Vicenza Virtus,2,3,A
2020-12-12,Cittadella,Spal,2,0,H
2020-12-14,Reggina,Venezia,1,2,A
2020-12-15,Reggiana,Frosinone,1,2,A
2020-12-15,Spal,Chievo,0,0,D
2020-12-15,Ascoli,Nuova Cosenza,0,3,A
2020-12-15,Cittadella,Vicenza Virtus,3,0,H
2020-12-15,Empoli,Cremonese,1,0,H
2020-12-15,Salernitana,Lecce,1,1,D
2020-12-15,Pisa,Pescara,0,0,D
2020-12-15,Pordenone,Brescia,1,1,D
2020-12-15,Monza,Virtus Entella,5,0,H
2020-12-18,Virtus Entella,Pordenone,0,1,A
2020-12-18,Frosinone,Salernitana,0,0,D
2020-12-19,Chievo,Empoli,1,1,D
2020-12-19,Brescia,Reggiana,3,1,H
2020-12-19,Cremonese,Nuova Cosenza,1,0,H
2020-12-19,Lecce,Pisa,0,3,A
2020-12-19,Vicenza Virtus,Ascoli,2,1,H
2020-12-19,Pescara,Monza,3,2,H
2020-12-19,Venezia,Spal,0,0,D
2020-12-19,Reggina,Cittadella,1,3,A
2020-12-21,Salernitana,Virtus Entella,2,1,H
2020-12-22,Spal,Lecce,1,0,H
2020-12-22,Cittadella,Frosinone,1,0,H
2020-12-22,Pescara,Brescia,1,1,D
2020-12-22,Pisa,Chievo,2,2,D
2020-12-22,Pordenone,Cremonese,1,2,A
2020-12-22,Monza,Ascoli,2,0,H
2020-12-22,Vicenza Virtus,Reggina,1,1,D
2020-12-22,Nuova Cosenza,Venezia,0,0,D
2020-12-22,Empoli,Reggiana,0,0,D
2020-12-27,Reggiana,Reggina,0,1,A
2020-12-27,Ascoli,Spal,2,0,H
2020-12-27,Frosinone,Pordenone,1,1,D
2020-12-27,Venezia,Salernitana,1,2,A
2020-12-27,Virtus Entella,Pescara,3,0,H
2020-12-27,Lecce,Vicenza Virtus,2,1,H
2020-12-27,Nuova Cosenza,Pisa,1,1,D
2020-12-27,Brescia,Empoli,1,3,A
2020-12-27,Cremonese,Monza,0,2,A
2020-12-30,Cittadella,Lecce,2,2,D
2020-12-30,Pescara,Nuova Cosenza,0,0,D
2020-12-30,Pordenone,Reggiana,3,0,H
2020-12-30,Reggina,Cremonese,1,0,H
2020-12-30,Monza,Salernitana,3,0,H
2020-12-30,Spal,Brescia,2,3,A
2020-12-30,Empoli,Ascoli,1,1,D
2020-12-30,Vicenza Virtus,Virtus Entella,0,1,A
2020-12-30,Chievo,Venezia,1,1,D
2021-01-04,Venezia,Pisa,1,1,D
2021-01-04,Nuova Cosenza,Empoli,0,2,A
2021-01-04,Lecce,Monza,0,0,D
2021-01-04,Ascoli,Reggina,2,1,H
2021-01-04,Frosinone,Spal,1,2,A
2021-01-04,Salernitana,Pordenone,0,2,A
2021-01-04,Cremonese,Chievo,0,2,A
2021-01-04,Virtus Entella,Cittadella,1,0,H
2021-01-04,Reggiana,Pescara,0,1,A
2021-01-04,Brescia,Vicenza Virtus,0,3,A
2021-01-09,Reggiana,Cittadella,0,2,A
2021-01-15,Chievo,Virtus Entella,2,1,H
2021-01-15,Vicenza Virtus,Frosinone,0,0,D
2021-01-16,Cittadella,Ascoli,1,0,H
2021-01-16,Pisa,Brescia,1,0,H
2021-01-16,Pordenone,Venezia,2,0,H
2021-01-16,Monza,Nuova Cosenza,2,2,D
2021-01-16,Reggina,Lecce,0,1,A
2021-01-17,Pescara,Cremonese,0,2,A
2021-01-17,Empoli,Salernitana,5,0,H
2021-01-18,Spal,Reggiana,2,0,H
2021-01-19,Vicenza Virtus,Chievo,1,1,D
2021-01-22,Virtus Entella,Pisa,2,1,H
2021-01-23,Ascoli,Chievo,0,0,D
2021-01-23,Frosinone,Reggina,1,1,D
2021-01-23,Venezia,Cittadella,1,0,H
2021-01-23,Reggiana,Vicenza Virtus,2,1,H
2021-01-23,Nuova Cosenza,Pordenone,0,0,D
2021-01-23,Salernitana,Pescara,2,0,H
2021-01-24,Lecce,Empoli,2,2,D
2021-01-24,Cremonese,Spal,1,1,D
2021-01-25,Brescia,Monza,0,1,A
2021-01-27,Chievo,Cittadella,2,1,H
2021-01-29,Vicenza Virtus,Venezia,0,0,D
2021-01-30,Ascoli,Brescia,2,1,H
2021-01-30,Empoli,Frosinone,3,1,H
2021-01-30,Virtus Entella,Nuova Cosenza,1,2,A
2021-01-30,Pordenone,Lecce,1,1,D
2021-01-30,Pisa,Reggiana,1,0,H
2021-01-31,Chievo,Pescara,3,1,H
2021-01-31,Spal,Monza,1,1,D
2021-01-31,Cittadella,Cremonese,1,1,D
2021-02-01,Reggina,Salernitana,0,0,D
2021-02-02,Pisa,Frosinone,0,0,D
2021-02-05,Lecce,Ascoli,1,2,A
2021-02-06,Frosinone,Venezia,1,2,A
2021-02-06,Salernitana,Chievo,1,1,D
2021-02-06,Brescia,Cittadella,3,3,D
2021-02-06,Cremonese,Pisa,2,1,H
2021-02-06,Pescara,Reggina,0,2,A
2021-02-06,Nuova Cosenza,Spal,1,1,D
2021-02-06,Monza,Empoli,1,1,D
2021-02-06,Pordenone,Vicenza Virtus,1,2,A
2021-02-07,Reggiana,Virtus Entella,2,1,H
2021-02-09,Spal,Pordenone,1,3,A
2021-02-09,Cittadella,Nuova Cosenza,1,1,D
2021-02-09,Empoli,Pescara,2,2,D
2021-02-09,Venezia,Cremonese,3,1,H
2021-02-09,Pisa,Salernitana,2,2,D
2021-02-09,Lecce,Brescia,2,2,D
2021-02-09,Vicenza Virtus,Monza,1,2,A
2021-02-09,Ascoli,Frosinone,1,1,D
2021-02-10,Reggina,Virtus Entella,1,0,H
2021-02-10,Chievo,Reggiana,1,0,H
2021-02-12,Monza,Pisa,0,2,A
2021-02-13,Salernitana,Vicenza Virtus,1,1,D
2021-02-13,Cremonese,Lecce,1,2,A
2021-02-13,Pescara,Venezia,0,2,A
2021-02-13,Pordenone,Cittadella,0,1,A
2021-02-13,Spal,Empoli,1,1,D
2021-02-14,Virtus Entella,Frosinone,2,3,A
2021-02-14,Reggiana,Ascoli,1,0,H
2021-02-14,Brescia,Chievo,1,0,H
2021-02-15,Nuova Cosenza,Reggina,2,2,D
2021-02-19,Frosinone,Pescara,0,0,D
2021-02-20,Ascoli,Salernitana,0,2,A
2021-02-20,Cittadella,Reggiana,0,3,A
2021-02-20,Venezia,Virtus Entella,3,2,H
2021-02-20,Brescia,Cremonese,1,2,A
2021-02-20,Vicenza Virtus,Spal,2,2,D
2021-02-20,Chievo,Monza,0,1,A
2021-02-20,Pisa,Empoli,1,1,D
2021-02-21,Reggina,Pordenone,1,0,H
2021-02-21,Lecce,Nuova Cosenza,3,1,H
2021-02-26,Reggiana,Salernitana,0,0,D
2021-02-26,Empoli,Venezia,1,1,D
2021-02-27,Spal,Reggina,1,4,A
2021-02-27,Cremonese,Frosinone,4,0,H
2021-02-27,Pescara,Lecce,1,1,D
2021-02-27,Pisa,Vicenza Virtus,2,2,D
2021-02-27,Pordenone,Ascoli,1,1,D
2021-02-27,Nuova Cosenza,Chievo,1,0,H
2021-02-27,Monza,Cittadella,0,0,D
2021-02-27,Virtus Entella,Brescia,1,1,D
2021-03-01,Venezia,Reggiana,2,1,H
2021-03-02,Frosinone,Monza,2,2,D
2021-03-02,Chievo,Pordenone,3,0,H
2021-03-02,Ascoli,Pisa,0,2,A
2021-03-02,Cittadella,Pescara,0,1,A
2021-03-02,Salernitana,Spal,0,0,D
2021-03-02,Brescia,Nuova Cosenza,2,0,H
2021-03-02,Lecce,Virtus Entella,0,0,D
2021-03-02,Reggina,Empoli,0,3,A
2021-03-02,Vicenza Virtus,Cremonese,3,1,H
2021-03-06,Cremonese,Salernitana,0,1,A
2021-03-06,Pescara,Spal,0,1,A
2021-03-06,Virtus Entella,Ascoli,0,0,D
2021-03-06,Pisa,Reggina,0,0,D
2021-03-06,Nuova Cosenza,Frosinone,1,2,A
2021-03-06,Venezia,Brescia,0,1,A
2021-03-06,Monza,Pordenone,2,0,H
2021-03-07,Empoli,Cittadella,1,1,D
2021-03-07,Reggiana,Lecce,0,4,A
2021-03-08,Chievo,Vicenza Virtus,1,2,A
2021-03-12,Cittadella,Pisa,2,0,H
2021-03-12,Spal,Virtus Entella,0,0,D
2021-03-13,Ascoli,Venezia,1,1,D
2021-03-13,Frosinone,Brescia,0,1,A
2021-03-13,Cremonese,Reggiana,3,0,H
2021-03-13,Pordenone,Pescara,0,0,D
2021-03-13,Lecce,Chievo,4,2,H
2021-03-13,Reggina,Monza,1,0,H
2021-03-13,Salernitana,Nuova Cosenza,0,0,D
2021-03-13,Vicenza Virtus,Empoli,0,2,A
2021-03-15,Pisa,Spal,3,0,H
2021-03-16,Virtus Entella,Cremonese,0,2,A
2021-03-16,Venezia,Lecce,2,3,A
2021-03-16,Nuova Cosenza,Vicenza Virtus,1,1,D
2021-03-16,Chievo,Frosinone,0,0,D
2021-03-16,Cittadella,Salernitana,0,0,D
2021-03-16,Empoli,Pordenone,1,0,H
2021-03-16,Brescia,Reggina,1,0,H
2021-03-16,Monza,Reggiana,2,0,H
2021-03-16,Pescara,Ascoli,2,3,A
2021-03-19,Ascoli,Cremonese,0,0,D
2021-03-20,Empoli,Virtus Entella,1,0,H
2021-03-20,Frosinone,Lecce,0,3,A
2021-03-20,Reggiana,Nuova Cosenza,1,1,D
2021-03-20,Vicenza Virtus,Pescara,1,0,H
2021-03-20,Monza,Venezia,1,4,A
2021-03-20,Spal,Cittadella,1,0,H
2021-03-21,Reggina,Chievo,1,1,D
2021-03-21,Salernitana,Brescia,1,0,H
2021-04-02,Nuova Cosenza,Ascoli,2,1,H
2021-04-02,Frosinone,Reggiana,0,0,D
2021-04-02,Pescara,Pisa,3,1,H
2021-04-02,Chievo,Spal,1,1,D
2021-04-02,Venezia,Reggina,0,2,A
2021-04-02,Brescia,Pordenone,4,1,H
2021-04-02,Virtus Entella,Monza,1,1,D
2021-04-02,Lecce,Salernitana,2,0,H
2021-04-02,Vicenza Virtus,Cittadella,1,0,H
