Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2022-08-13,Trepca'89,Drita,2,2,D
2022-08-13,Gjilani,Ferizaj,3,2,H
2022-08-13,Dukagjini,Prishtina,1,2,A
2022-08-14,Drenica Skenderaj,Llapi,0,1,A
2022-08-20,Drita,Dukagjini,1,0,H
2022-08-20,Llapi,Trepca'89,2,2,D
2022-08-21,Gjilani,Malisheva,1,0,H
2022-08-21,Ferizaj,Prishtina,0,0,D
2022-08-21,Ballkani,Drenica Skenderaj,1,0,H
2022-08-24,Drenica Skenderaj,Gjilani,0,0,D
2022-08-24,Malisheva,Ferizaj,3,1,H
2022-08-25,Dukagjini,Llapi,1,1,D
2022-08-27,Gjilani,Trepca'89,3,1,H
2022-08-27,Malisheva,Drenica Skenderaj,1,2,A
2022-08-28,Ferizaj,Drita,1,1,D
2022-08-28,Llapi,Prishtina,1,2,A
2022-08-28,Ballkani,Dukagjini,1,0,H
2022-09-03,Trepca'89,Malisheva,2,3,A
2022-09-03,Drita,Llapi,4,0,H
2022-09-04,Drenica Skenderaj,Ferizaj,0,0,D
2022-09-04,Dukagjini,Gjilani,0,1,A
2022-09-04,Prishtina,Ballkani,0,1,A
2022-09-10,Drenica Skenderaj,Trepca'89,2,5,A
2022-09-10,Malisheva,Dukagjini,1,1,D
2022-09-11,Ballkani,Drita,0,2,A
2022-09-11,Gjilani,Prishtina,1,1,D
2022-09-11,Ferizaj,Llapi,2,1,H
2022-09-14,Prishtina,Malisheva,4,2,H
2022-09-14,Drita,Gjilani,4,1,H
2022-09-15,Trepca'89,Ferizaj,1,1,D
2022-09-15,Dukagjini,Drenica Skenderaj,1,2,A
2022-09-17,Gjilani,Llapi,0,1,A
2022-09-17,Malisheva,Drita,2,4,A
2022-09-18,Trepca'89,Dukagjini,3,0,H
2022-09-18,Drenica Skenderaj,Prishtina,2,1,H
2022-09-19,Ferizaj,Ballkani,0,3,A
2022-09-28,Malisheva,Ballkani,2,3,A
2022-09-28,Prishtina,Drita,0,0,D
2022-10-01,Drita,Drenica Skenderaj,2,1,H
2022-10-01,Dukagjini,Ferizaj,4,1,H
2022-10-01,Llapi,Malisheva,1,1,D
2022-10-02,Ballkani,Gjilani,2,0,H
2022-10-02,Prishtina,Trepca'89,2,2,D
2022-10-08,Drita,Trepca'89,3,1,H
2022-10-08,Prishtina,Dukagjini,0,1,A
2022-10-09,Ballkani,Malisheva,2,1,H
2022-10-09,Ferizaj,Gjilani,1,1,D
2022-10-09,Llapi,Drenica Skenderaj,3,2,H
2022-10-15,Prishtina,Ferizaj,2,1,H
2022-10-15,Dukagjini,Drita,0,1,A
2022-10-16,Trepca'89,Llapi,3,3,D
2022-10-16,Drenica Skenderaj,Ballkani,1,1,D
2022-10-16,Malisheva,Gjilani,0,1,A
