Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2022-03-11,FK Liepaja,Super Nova,3,1,H
2022-03-12,Riga,Valmiera / BSS,2,1,H
2022-03-12,Spartaks Jurmala,Rigas FS,2,3,A
2022-03-13,BFC Daugavpils,Tukums,2,1,H
2022-03-13,Metta / LU,Auda,0,1,A
2022-03-18,Valmiera / BSS,Spartaks Jurmala,4,1,H
2022-03-19,Tukums,Metta / LU,2,2,D
2022-03-19,FK Liepaja,Riga,1,0,H
2022-03-19,Rigas FS,BFC Daugavpils,4,0,H
2022-03-20,Super Nova,Auda,0,0,D
2022-04-01,Riga,Super Nova,2,0,H
2022-04-01,Spartaks Jurmala,FK Liepaja,0,2,A
2022-04-02,Auda,Tukums,1,0,H
2022-04-02,BFC Daugavpils,Valmiera / BSS,0,0,D
2022-04-02,Metta / LU,Rigas FS,1,1,D
2022-04-05,Riga,Spartaks Jurmala,3,0,H
2022-04-06,FK Liepaja,BFC Daugavpils,5,1,H
2022-04-06,Valmiera / BSS,Metta / LU,1,1,D
2022-04-06,Rigas FS,Auda,0,0,D
2022-04-07,Super Nova,Tukums,0,1,A
2022-04-10,Auda,Valmiera / BSS,1,3,A
2022-04-10,BFC Daugavpils,Riga,0,0,D
2022-04-10,Metta / LU,FK Liepaja,1,5,A
2022-04-11,Tukums,Rigas FS,0,10,A
2022-04-11,Spartaks Jurmala,Super Nova,0,0,D
2022-04-14,Riga,Metta / LU,4,0,H
2022-04-14,FK Liepaja,Auda,1,1,D
2022-04-15,BFC Daugavpils,Spartaks Jurmala,2,0,H
2022-04-15,Valmiera / BSS,Tukums,3,0,H
2022-04-15,Rigas FS,Super Nova,2,0,H
2022-04-18,Auda,Riga,0,1,A
2022-04-19,Tukums,FK Liepaja,1,4,A
2022-04-19,Super Nova,BFC Daugavpils,0,0,D
2022-04-19,Rigas FS,Valmiera / BSS,1,3,A
2022-04-20,Metta / LU,Spartaks Jurmala,2,0,H
2022-04-23,Riga,Tukums,1,0,H
2022-04-23,FK Liepaja,Rigas FS,2,3,A
2022-04-23,Super Nova,Valmiera / BSS,1,5,A
2022-04-24,BFC Daugavpils,Metta / LU,2,0,H
2022-04-24,Spartaks Jurmala,Auda,1,2,A
2022-04-27,Valmiera / BSS,FK Liepaja,3,0,H
2022-04-27,Rigas FS,Riga,2,1,H
2022-04-28,Super Nova,Metta / LU,0,1,A
2022-04-30,Tukums,BFC Daugavpils,0,1,A
2022-05-01,Valmiera / BSS,Riga,3,0,H
2022-05-01,Rigas FS,Spartaks Jurmala,2,0,H
2022-05-02,Auda,Metta / LU,3,2,H
2022-05-02,Super Nova,FK Liepaja,1,3,A
2022-05-05,BFC Daugavpils,Rigas FS,1,4,A
2022-05-05,Spartaks Jurmala,Valmiera / BSS,0,2,A
2022-05-06,Auda,Super Nova,4,1,H
2022-05-06,Riga,FK Liepaja,0,1,A
2022-05-06,Metta / LU,Tukums,3,2,H
2022-05-09,Valmiera / BSS,BFC Daugavpils,1,0,H
2022-05-10,Tukums,Auda,2,1,H
2022-05-10,FK Liepaja,Spartaks Jurmala,0,0,D
2022-05-10,Super Nova,Riga,1,4,A
2022-05-11,Rigas FS,Metta / LU,3,1,H
2022-05-14,BFC Daugavpils,FK Liepaja,0,4,A
2022-05-14,Spartaks Jurmala,Riga,0,4,A
2022-05-14,Tukums,Super Nova,1,1,D
2022-05-15,Auda,Rigas FS,0,1,A
2022-05-15,Metta / LU,Valmiera / BSS,0,3,A
2022-05-18,Super Nova,Spartaks Jurmala,0,3,A
2022-05-18,Riga,BFC Daugavpils,2,0,H
2022-05-19,FK Liepaja,Metta / LU,1,0,H
2022-05-19,Rigas FS,Tukums,3,0,H
2022-05-20,Valmiera / BSS,Auda,2,0,H
2022-05-22,Spartaks Jurmala,BFC Daugavpils,2,0,H
2022-05-23,Metta / LU,Riga,1,4,A
2022-05-23,Super Nova,Rigas FS,0,3,A
2022-05-24,Auda,FK Liepaja,1,2,A
2022-05-24,Tukums,Valmiera / BSS,0,3,A
2022-05-27,Riga,Rigas FS,2,0,H
2022-05-28,FK Liepaja,Valmiera / BSS,1,3,A
2022-05-28,BFC Daugavpils,Auda,1,2,A
2022-05-28,Metta / LU,Super Nova,1,1,D
2022-05-29,Spartaks Jurmala,Tukums,1,3,A
2022-06-17,Auda,Spartaks Jurmala,5,0,H
2022-06-17,Metta / LU,BFC Daugavpils,2,3,A
2022-06-18,Valmiera / BSS,Super Nova,1,0,H
2022-06-18,Tukums,Riga,0,1,A
2022-06-18,Rigas FS,FK Liepaja,2,2,D
2022-06-21,BFC Daugavpils,Super Nova,1,0,H
2022-06-21,Spartaks Jurmala,Metta / LU,4,2,H
2022-06-22,Valmiera / BSS,Rigas FS,4,0,H
2022-06-22,FK Liepaja,Tukums,1,2,A
2022-06-22,Riga,Auda,1,0,H
2022-06-26,Tukums,BFC Daugavpils,0,1,A
2022-06-26,Spartaks Jurmala,Rigas FS,0,2,A
