Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2022-03-04,FK Zalgiris Vilnius,Jonava,6,0,H
2022-03-05,Hegelmann Litauen,Kauno Zalgiris,2,1,H
2022-03-06,Siauliai,Suduva Marijampole,0,0,D
2022-03-06,FK Trakai,Panevezys,0,0,D
2022-03-11,Panevezys,Kauno Zalgiris,1,0,H
2022-03-11,Jonava,Hegelmann Litauen,1,4,A
2022-03-12,Dziugas Telsiai,FK Trakai,0,1,A
2022-03-12,Suduva Marijampole,Banga,3,0,H
2022-03-13,FK Zalgiris Vilnius,Siauliai,0,0,D
2022-03-15,Hegelmann Litauen,Panevezys,0,1,A
2022-03-15,Kauno Zalgiris,Dziugas Telsiai,2,1,H
2022-03-16,Siauliai,Jonava,3,0,H
2022-03-16,Banga,FK Zalgiris Vilnius,0,2,A
2022-03-16,FK Trakai,Suduva Marijampole,2,0,H
2022-03-19,Jonava,Banga,1,3,A
2022-03-19,Suduva Marijampole,Kauno Zalgiris,1,1,D
2022-03-20,Dziugas Telsiai,Panevezys,0,1,A
2022-03-20,Hegelmann Litauen,Siauliai,1,0,H
2022-03-20,FK Zalgiris Vilnius,FK Trakai,2,0,H
2022-03-26,Banga,Dziugas Telsiai,3,3,D
2022-04-01,FK Trakai,Jonava,5,0,H
2022-04-02,Panevezys,Suduva Marijampole,2,1,H
2022-04-02,Dziugas Telsiai,Hegelmann Litauen,1,1,D
2022-04-02,Kauno Zalgiris,FK Zalgiris Vilnius,2,2,D
2022-04-03,Banga,Siauliai,0,0,D
2022-04-05,Jonava,Kauno Zalgiris,0,2,A
2022-04-05,FK Zalgiris Vilnius,Panevezys,0,0,D
2022-04-05,Suduva Marijampole,Dziugas Telsiai,1,1,D
2022-04-06,Hegelmann Litauen,Banga,2,0,H
2022-04-06,Siauliai,FK Trakai,1,0,H
2022-04-09,Panevezys,Jonava,4,0,H
2022-04-10,Kauno Zalgiris,Siauliai,0,0,D
2022-04-10,FK Trakai,Banga,1,0,H
2022-04-10,Suduva Marijampole,Hegelmann Litauen,0,1,A
2022-04-13,Dziugas Telsiai,FK Zalgiris Vilnius,3,5,A
2022-04-15,Banga,Kauno Zalgiris,3,1,H
2022-04-16,Hegelmann Litauen,FK Trakai,1,1,D
2022-04-16,Siauliai,Panevezys,0,3,A
2022-04-16,Jonava,Dziugas Telsiai,0,1,A
2022-04-17,FK Zalgiris Vilnius,Suduva Marijampole,0,0,D
2022-04-22,Kauno Zalgiris,FK Trakai,0,1,A
2022-04-23,Panevezys,Banga,2,0,H
2022-04-23,Dziugas Telsiai,Siauliai,0,0,D
2022-04-23,Hegelmann Litauen,FK Zalgiris Vilnius,2,2,D
2022-04-24,Suduva Marijampole,Jonava,2,0,H
2022-04-26,Dziugas Telsiai,Banga,0,0,D
2022-04-26,Kauno Zalgiris,Hegelmann Litauen,1,3,A
2022-04-27,Jonava,FK Zalgiris Vilnius,0,5,A
2022-04-27,Panevezys,FK Trakai,3,0,H
2022-04-27,Suduva Marijampole,Siauliai,2,0,H
2022-04-30,Hegelmann Litauen,Jonava,4,0,H
2022-04-30,Kauno Zalgiris,Panevezys,2,1,H
2022-04-30,Siauliai,FK Zalgiris Vilnius,0,1,A
2022-05-01,Banga,Suduva Marijampole,0,1,A
2022-05-01,FK Trakai,Dziugas Telsiai,3,0,H
2022-05-03,Jonava,Siauliai,0,3,A
2022-05-03,Panevezys,Hegelmann Litauen,1,1,D
2022-05-04,Dziugas Telsiai,Kauno Zalgiris,1,2,A
2022-05-04,Suduva Marijampole,FK Trakai,1,1,D
2022-05-04,FK Zalgiris Vilnius,Banga,2,1,H
2022-05-14,Kauno Zalgiris,Suduva Marijampole,0,3,A
2022-05-14,FK Trakai,FK Zalgiris Vilnius,0,1,A
2022-05-14,Banga,Jonava,1,1,D
2022-05-15,Panevezys,Dziugas Telsiai,1,0,H
2022-05-15,Siauliai,Hegelmann Litauen,0,0,D
2022-05-21,Hegelmann Litauen,Dziugas Telsiai,2,0,H
2022-05-21,Suduva Marijampole,Panevezys,2,1,H
2022-05-22,Siauliai,Banga,1,1,D
2022-05-22,FK Zalgiris Vilnius,Kauno Zalgiris,1,2,A
2022-05-29,Jonava,FK Trakai,0,1,A
2022-06-17,Banga,Hegelmann Litauen,1,0,H
2022-06-18,Dziugas Telsiai,Suduva Marijampole,2,2,D
2022-06-18,FK Trakai,Siauliai,1,1,D
2022-06-19,Kauno Zalgiris,Jonava,4,0,H
2022-06-19,Panevezys,FK Zalgiris Vilnius,0,2,A
2022-06-21,Hegelmann Litauen,Suduva Marijampole,2,2,D
2022-06-21,Banga,FK Trakai,0,4,A
2022-06-22,Jonava,Panevezys,0,5,A
2022-06-22,Siauliai,Kauno Zalgiris,0,1,A
2022-06-22,FK Zalgiris Vilnius,Dziugas Telsiai,2,1,H
2022-06-25,Panevezys,Siauliai,1,2,A
2022-06-25,FK Trakai,Hegelmann Litauen,0,3,A
2022-06-26,Dziugas Telsiai,Jonava,2,0,H
2022-06-26,Suduva Marijampole,FK Zalgiris Vilnius,0,5,A
2022-06-26,Kauno Zalgiris,Banga,1,1,D
2022-07-01,FK Zalgiris Vilnius,Hegelmann Litauen,2,1,H
2022-07-02,Jonava,Suduva Marijampole,0,4,A
2022-07-02,Banga,Panevezys,1,2,A
2022-07-02,FK Trakai,Kauno Zalgiris,1,1,D
2022-07-03,Siauliai,Dziugas Telsiai,3,2,H
2022-07-09,Hegelmann Litauen,Banga,5,0,H
2022-07-09,Suduva Marijampole,Siauliai,2,1,H
2022-07-10,Dziugas Telsiai,FK Trakai,1,4,A
2022-07-15,Siauliai,FK Trakai,3,2,H
2022-07-16,Hegelmann Litauen,Jonava,6,0,H
2022-07-17,Dziugas Telsiai,Banga,0,1,A
2022-07-22,FK Trakai,Dziugas Telsiai,2,1,H
2022-07-23,Panevezys,Kauno Zalgiris,2,1,H
2022-07-23,Jonava,Siauliai,1,3,A
2022-07-24,Banga,Hegelmann Litauen,1,1,D
2022-07-29,Banga,Dziugas Telsiai,1,1,D
2022-07-30,FK Trakai,Siauliai,3,1,H
2022-07-31,Jonava,Hegelmann Litauen,0,1,A
2022-08-02,Kauno Zalgiris,Suduva Marijampole,2,2,D
2022-08-05,Siauliai,Hegelmann Litauen,0,0,D
2022-08-06,Dziugas Telsiai,Jonava,2,2,D
2022-08-06,FK Zalgiris Vilnius,Banga,2,1,H
2022-08-07,Kauno Zalgiris,FK Trakai,2,0,H
2022-08-07,Suduva Marijampole,Panevezys,4,1,H
2022-08-12,Hegelmann Litauen,Dziugas Telsiai,5,0,H
2022-08-13,Jonava,Kauno Zalgiris,1,2,A
2022-08-13,Panevezys,Siauliai,1,2,A
2022-08-14,FK Trakai,FK Zalgiris Vilnius,1,5,A
2022-08-14,Banga,Suduva Marijampole,0,0,D
2022-08-20,Hegelmann Litauen,Kauno Zalgiris,1,1,D
2022-08-20,Siauliai,Dziugas Telsiai,2,2,D
2022-08-21,Panevezys,Banga,2,1,H
2022-08-21,FK Zalgiris Vilnius,Jonava,3,1,H
2022-08-21,Suduva Marijampole,FK Trakai,2,1,H
2022-08-26,Banga,FK Trakai,0,1,A
2022-08-27,Jonava,Suduva Marijampole,0,2,A
2022-08-27,Panevezys,Dziugas Telsiai,3,2,H
2022-08-28,Siauliai,Kauno Zalgiris,0,3,A
2022-08-28,Hegelmann Litauen,FK Zalgiris Vilnius,1,4,A
2022-09-02,Hegelmann Litauen,Panevezys,1,1,D
2022-09-03,Dziugas Telsiai,FK Zalgiris Vilnius,1,1,D
2022-09-03,FK Trakai,Jonava,2,1,H
2022-09-04,Banga,Kauno Zalgiris,0,1,A
2022-09-06,Suduva Marijampole,Hegelmann Litauen,2,1,H
2022-09-07,Kauno Zalgiris,Dziugas Telsiai,5,1,H
2022-09-07,Jonava,Banga,0,5,A
2022-09-07,Panevezys,FK Trakai,0,1,A
2022-09-10,Dziugas Telsiai,Suduva Marijampole,2,1,H
2022-09-10,Jonava,Panevezys,1,1,D
2022-09-11,Kauno Zalgiris,FK Zalgiris Vilnius,0,2,A
2022-09-11,FK Trakai,Hegelmann Litauen,0,0,D
2022-09-11,Siauliai,Banga,1,1,D
2022-09-16,Kauno Zalgiris,Jonava,2,1,H
2022-09-17,Dziugas Telsiai,Hegelmann Litauen,0,1,A
2022-09-17,Siauliai,Panevezys,1,0,H
2022-09-18,Suduva Marijampole,Banga,2,0,H
2022-09-18,FK Zalgiris Vilnius,FK Trakai,3,1,H
2022-09-27,FK Zalgiris Vilnius,Suduva Marijampole,1,0,H
2022-10-01,Jonava,Dziugas Telsiai,0,1,A
2022-10-01,Hegelmann Litauen,Siauliai,2,1,H
2022-10-02,Panevezys,Suduva Marijampole,2,0,H
2022-10-08,Dziugas Telsiai,Siauliai,1,0,H
2022-10-09,Kauno Zalgiris,Hegelmann Litauen,1,1,D
2022-10-09,Jonava,FK Zalgiris Vilnius,0,4,A
2022-10-09,FK Trakai,Suduva Marijampole,2,3,A
2022-10-09,Banga,Panevezys,1,1,D
2022-10-15,Siauliai,Jonava,2,0,H
2022-10-19,Suduva Marijampole,Kauno Zalgiris,0,2,A
2022-10-19,Panevezys,FK Zalgiris Vilnius,0,1,A
2022-10-21,FK Trakai,Banga,2,2,D
2022-10-23,Dziugas Telsiai,Panevezys,0,0,D
2022-10-23,Suduva Marijampole,Jonava,1,0,H
2022-10-23,Kauno Zalgiris,Siauliai,1,0,H
