Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2016-08-06,F91 Dudelange,Jeunesse Canach,6,1,H
2016-08-07,UN Kaerjeng 97,Fola Esch,0,4,A
2016-08-07,US Mondorf-les-bains,US Rumelange,0,0,D
2016-08-07,Victoria Rosport,FC Differdange 03,1,1,D
2016-08-07,UNA Strassen,RM Hamm Benfica,0,5,A
2016-08-07,Progres Niederkorn,Racing FC Union Luxembourg,2,1,H
2016-08-08,AS Jeunesse Esch,Union Titus Petange,2,1,H
2016-08-12,FC Differdange 03,Progres Niederkorn,2,0,H
2016-08-13,US Rumelange,Victoria Rosport,3,1,H
2016-08-14,Racing FC Union Luxembourg,UNA Strassen,1,0,H
2016-08-14,F91 Dudelange,UN Kaerjeng 97,1,0,H
2016-08-15,Union Titus Petange,Jeunesse Canach,0,0,D
2016-08-15,Fola Esch,US Mondorf-les-bains,1,0,H
2016-08-15,RM Hamm Benfica,AS Jeunesse Esch,1,3,A
2016-08-19,Progres Niederkorn,US Rumelange,4,0,H
2016-08-21,Jeunesse Canach,RM Hamm Benfica,4,1,H
2016-08-21,Union Titus Petange,F91 Dudelange,1,1,D
2016-08-21,AS Jeunesse Esch,Racing FC Union Luxembourg,1,2,A
2016-08-21,US Mondorf-les-bains,UN Kaerjeng 97,2,1,H
2016-08-21,Victoria Rosport,Fola Esch,1,3,A
2016-08-21,UNA Strassen,FC Differdange 03,4,4,D
2016-08-26,Fola Esch,Progres Niederkorn,1,1,D
2016-08-27,US Rumelange,UNA Strassen,0,2,A
2016-08-28,RM Hamm Benfica,Union Titus Petange,0,1,A
2016-08-28,UN Kaerjeng 97,Victoria Rosport,2,3,A
2016-08-28,Racing FC Union Luxembourg,Jeunesse Canach,1,0,H
2016-08-28,F91 Dudelange,US Mondorf-les-bains,1,0,H
2016-08-28,FC Differdange 03,AS Jeunesse Esch,3,1,H
2016-09-11,Jeunesse Canach,FC Differdange 03,0,1,A
2016-09-11,RM Hamm Benfica,F91 Dudelange,0,3,A
2016-09-11,Union Titus Petange,Racing FC Union Luxembourg,1,1,D
2016-09-11,Victoria Rosport,US Mondorf-les-bains,1,3,A
2016-09-11,UNA Strassen,Fola Esch,1,3,A
2016-09-12,Progres Niederkorn,UN Kaerjeng 97,0,2,A
2016-09-12,AS Jeunesse Esch,US Rumelange,3,0,H
2016-09-24,FC Differdange 03,Union Titus Petange,1,0,H
2016-09-25,F91 Dudelange,Victoria Rosport,3,0,H
2016-09-25,Racing FC Union Luxembourg,RM Hamm Benfica,2,1,H
2016-09-25,US Rumelange,Jeunesse Canach,1,1,D
2016-09-25,US Mondorf-les-bains,Progres Niederkorn,2,0,H
2016-09-25,Fola Esch,AS Jeunesse Esch,2,2,D
2016-09-25,UN Kaerjeng 97,UNA Strassen,0,2,A
2016-09-29,Union Titus Petange,US Rumelange,1,2,A
2016-09-29,Progres Niederkorn,Victoria Rosport,3,1,H
2016-09-29,UNA Strassen,US Mondorf-les-bains,3,1,H
2016-10-01,Jeunesse Canach,Fola Esch,3,4,A
2016-10-01,Racing FC Union Luxembourg,F91 Dudelange,1,2,A
2016-10-01,RM Hamm Benfica,FC Differdange 03,1,3,A
2016-10-01,AS Jeunesse Esch,UN Kaerjeng 97,3,1,H
2016-10-16,F91 Dudelange,Progres Niederkorn,4,0,H
2016-10-16,Fola Esch,Union Titus Petange,3,1,H
2016-10-16,FC Differdange 03,Racing FC Union Luxembourg,3,2,H
