Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2026-06-27,CSF Balti,Politehnica UTM,3,0,H
2026-06-27,Milsami Orhei,Zimbru,0,0,D
2026-06-28,Sheriff Tiraspol,Sireti,3,0,H
2026-06-28,Petrocub,Dacia-Buiucani,2,1,H
2026-07-04,Politehnica UTM,Sheriff Tiraspol,0,0,D
2026-07-04,Petrocub,Milsami Orhei,5,0,H
2026-07-05,Dacia-Buiucani,Sireti,3,0,H
2026-07-05,Zimbru,CSF Balti,3,0,H
2026-07-11,Sireti,Politehnica UTM,1,2,A
2026-07-11,CSF Balti,Petrocub,1,1,D
2026-07-12,Sheriff Tiraspol,Zimbru,4,2,H
2026-07-12,Milsami Orhei,Dacia-Buiucani,0,1,A
2026-07-18,Dacia-Buiucani,Politehnica UTM,1,5,A
2026-07-18,Zimbru,Sireti,1,1,D
2026-07-19,Milsami Orhei,CSF Balti,2,1,H
2026-07-19,Petrocub,Sheriff Tiraspol,2,3,A
2026-07-25,CSF Balti,Dacia-Buiucani,1,4,A
2026-07-26,Politehnica UTM,Zimbru,0,2,A
2026-07-26,Sheriff Tiraspol,Milsami Orhei,0,0,D
2026-07-26,Sireti,Petrocub,0,0,D
2026-08-01,Milsami Orhei,Sireti,2,2,D
2026-08-02,Petrocub,Politehnica UTM,3,1,H
2026-08-02,Dacia-Buiucani,Zimbru,0,4,A
2026-08-02,CSF Balti,Sheriff Tiraspol,1,5,A
2026-08-08,Politehnica UTM,Milsami Orhei,1,1,D
2026-08-08,Sireti,CSF Balti,1,1,D
2026-08-09,Sheriff Tiraspol,Dacia-Buiucani,1,0,H
2026-08-09,Zimbru,Petrocub,1,2,A
2026-08-15,Politehnica UTM,CSF Balti,6,0,H
2026-08-15,Dacia-Buiucani,Petrocub,2,1,H
2026-08-16,Zimbru,Milsami Orhei,4,2,H
2026-08-16,Sireti,Sheriff Tiraspol,1,1,D
2026-08-22,CSF Balti,Zimbru,0,4,A
2026-08-22,Milsami Orhei,Petrocub,1,0,H
2026-08-23,Sireti,Dacia-Buiucani,0,0,D
2026-08-23,Sheriff Tiraspol,Politehnica UTM,4,0,H
2026-08-29,Politehnica UTM,Sireti,0,0,D
2026-08-29,Zimbru,Sheriff Tiraspol,2,1,H
2026-08-30,Petrocub,CSF Balti,3,0,H
2026-08-30,Dacia-Buiucani,Milsami Orhei,0,0,D
