Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2026-08-01,Petrovac,Bokelj,0,1,A
2026-08-02,Decic,Arsenal Tivat,0,0,D
2026-08-02,Jezero,Mornar,0,0,D
2026-08-02,Mladost DG,Otrant-Olympic,2,1,H
2026-08-03,Sutjeska,Buducnost Podgorica,0,1,A
2026-08-07,Mornar,Arsenal Tivat,0,0,D
2026-08-08,Buducnost Podgorica,Decic,0,2,A
2026-08-09,Bokelj,Sutjeska,1,0,H
2026-08-09,Jezero,Mladost DG,1,0,H
2026-08-09,Otrant-Olympic,Petrovac,0,0,D
2026-08-15,Sutjeska,Otrant-Olympic,1,4,A
2026-08-16,Petrovac,Jezero,3,0,H
2026-08-16,Arsenal Tivat,Buducnost Podgorica,0,0,D
2026-08-16,Mladost DG,Mornar,2,3,A
2026-08-17,Decic,Bokelj,1,0,H
2026-08-21,Mornar,Buducnost Podgorica,2,1,H
2026-08-22,Jezero,Sutjeska,0,0,D
2026-08-22,Mladost DG,Petrovac,0,0,D
2026-08-23,Otrant-Olympic,Decic,0,3,A
2026-08-23,Bokelj,Arsenal Tivat,0,0,D
2026-08-28,Sutjeska,Mladost DG,5,1,H
2026-08-29,Petrovac,Mornar,1,1,D
2026-08-30,Buducnost Podgorica,Bokelj,0,0,D
2026-08-30,Arsenal Tivat,Otrant-Olympic,1,2,A
2026-08-30,Decic,Jezero,2,1,H
2026-09-03,Mornar,Bokelj,2,0,H
2026-09-04,Petrovac,Sutjeska,0,0,D
