Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2023-08-11,De Graafschap,ADO Den Haag,0,0,D
2023-08-11,Groningen,Jong Ajax,4,1,H
2023-08-11,Dordrecht,NAC Breda,2,2,D
2023-08-11,Roda,Helmond Sport,4,1,H
2023-08-11,Cambuur,Emmen,2,2,D
2023-08-11,Den Bosch,FC OSS,1,0,H
2023-08-13,FC Eindhoven,Willem II,1,1,D
2023-08-13,VVV Venlo,MVV,1,3,A
2023-08-14,Jong PSV U21,Telstar,1,0,H
2023-08-14,Jong AZ,Jong Utrecht,1,0,H
2023-08-18,Willem II,Dordrecht,2,0,H
2023-08-18,ADO Den Haag,Roda,0,3,A
2023-08-18,NAC Breda,Jong AZ,2,1,H
2023-08-18,Emmen,VVV Venlo,2,2,D
2023-08-18,FC OSS,Jong PSV U21,4,1,H
2023-08-18,Helmond Sport,Den Bosch,1,0,H
2023-08-18,Telstar,Cambuur,2,3,A
2023-08-21,Jong Ajax,De Graafschap,1,2,A
2023-08-21,Jong Utrecht,Groningen,1,0,H
2023-08-25,De Graafschap,Emmen,0,1,A
2023-08-25,VVV Venlo,Jong Utrecht,4,1,H
2023-08-25,Dordrecht,MVV,2,2,D
2023-08-25,Roda,FC OSS,2,0,H
2023-08-25,Cambuur,Jong Ajax,4,2,H
2023-08-25,Den Bosch,ADO Den Haag,1,2,A
2023-08-25,FC Eindhoven,NAC Breda,2,0,H
2023-08-27,Groningen,Willem II,0,0,D
2023-08-28,Jong PSV U21,Helmond Sport,2,1,H
2023-08-28,Jong AZ,Telstar,3,1,H
2023-09-01,VVV Venlo,De Graafschap,2,0,H
2023-09-01,Emmen,Dordrecht,2,4,A
2023-09-01,MVV,Jong Ajax,2,1,H
2023-09-01,Den Bosch,Jong PSV U21,1,2,A
2023-09-01,FC OSS,Groningen,0,2,A
2023-09-01,Helmond Sport,Cambuur,2,1,H
2023-09-01,Telstar,FC Eindhoven,0,1,A
2023-09-01,Jong Utrecht,Roda,1,0,H
2023-09-03,ADO Den Haag,Jong AZ,4,1,H
2023-09-05,Willem II,NAC Breda,1,4,A
2023-09-08,Willem II,MVV,2,1,H
2023-09-09,Telstar,VVV Venlo,1,2,A
2023-09-09,Cambuur,Den Bosch,3,1,H
2023-09-09,NAC Breda,Roda,1,3,A
2023-09-15,Groningen,ADO Den Haag,0,1,A
2023-09-15,VVV Venlo,NAC Breda,3,1,H
2023-09-15,Dordrecht,Jong Utrecht,3,3,D
2023-09-15,Jong PSV U21,De Graafschap,1,3,A
2023-09-15,Roda,Telstar,3,0,H
2023-09-15,Jong AZ,FC Eindhoven,0,0,D
2023-09-15,Den Bosch,MVV,3,2,H
2023-09-15,Helmond Sport,FC OSS,1,1,D
2023-09-15,Jong Ajax,Emmen,3,3,D
2023-09-17,Cambuur,Willem II,1,0,H
2023-09-18,De Graafschap,Helmond Sport,2,1,H
2023-09-18,Groningen,Jong PSV U21,4,0,H
2023-09-18,Emmen,Jong Utrecht,2,0,H
2023-09-18,Jong AZ,Jong Ajax,5,2,H
2023-09-18,FC Eindhoven,ADO Den Haag,1,1,D
2023-09-18,FC OSS,Dordrecht,0,1,A
2023-09-22,ADO Den Haag,Telstar,1,1,D
2023-09-22,NAC Breda,Emmen,1,3,A
2023-09-22,Dordrecht,Jong AZ,0,0,D
2023-09-22,Jong PSV U21,VVV Venlo,0,0,D
2023-09-22,Roda,Den Bosch,4,1,H
2023-09-22,Helmond Sport,Groningen,1,2,A
2023-09-22,Jong Utrecht,Cambuur,3,2,H
2023-09-24,MVV,De Graafschap,1,2,A
2023-09-25,Jong Ajax,FC Eindhoven,1,1,D
2023-09-29,De Graafschap,Roda,0,0,D
2023-09-29,Groningen,Den Bosch,0,3,A
2023-09-29,MVV,ADO Den Haag,0,3,A
2023-09-29,Jong AZ,Willem II,0,2,A
2023-09-29,Cambuur,Jong PSV U21,3,4,A
2023-09-29,FC Eindhoven,Dordrecht,1,1,D
2023-09-29,FC OSS,Emmen,0,1,A
2023-09-29,Telstar,Jong Ajax,3,2,H
2023-10-01,VVV Venlo,Helmond Sport,0,4,A
2023-10-02,MVV,FC Eindhoven,0,1,A
2023-10-02,Jong Utrecht,NAC Breda,1,1,D
2023-10-03,Willem II,FC OSS,2,1,H
2023-10-06,Willem II,De Graafschap,4,2,H
2023-10-06,ADO Den Haag,FC OSS,2,1,H
2023-10-06,NAC Breda,Groningen,3,2,H
2023-10-06,Emmen,Telstar,2,0,H
2023-10-06,Dordrecht,Cambuur,5,2,H
2023-10-06,Jong PSV U21,MVV,2,3,A
2023-10-06,Roda,Jong AZ,3,1,H
2023-10-06,Den Bosch,FC Eindhoven,0,1,A
2023-10-06,Helmond Sport,Jong Utrecht,4,0,H
2023-10-06,Jong Ajax,VVV Venlo,3,0,H
2023-10-14,VVV Venlo,Roda,1,1,D
2023-10-14,Telstar,MVV,2,1,H
2023-10-15,Willem II,Den Bosch,3,1,H
2023-10-15,Cambuur,NAC Breda,2,3,A
2023-10-20,De Graafschap,Groningen,2,1,H
2023-10-20,NAC Breda,Telstar,3,1,H
2023-10-20,Emmen,ADO Den Haag,2,3,A
2023-10-20,Dordrecht,Jong Ajax,4,0,H
2023-10-20,MVV,Cambuur,1,1,D
2023-10-20,Jong AZ,FC OSS,3,0,H
2023-10-20,Den Bosch,VVV Venlo,1,2,A
2023-10-20,FC Eindhoven,Helmond Sport,1,2,A
2023-10-21,Roda,Willem II,0,1,A
2023-10-23,Groningen,Emmen,0,0,D
2023-10-23,Jong PSV U21,FC Eindhoven,3,4,A
2023-10-23,Jong AZ,De Graafschap,3,0,H
2023-10-23,FC OSS,Jong Utrecht,2,0,H
2023-10-23,Helmond Sport,Dordrecht,1,1,D
2023-10-23,Jong Ajax,ADO Den Haag,0,0,D
2023-10-27,Willem II,Jong PSV U21,3,0,H
2023-10-27,ADO Den Haag,VVV Venlo,2,2,D
