Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2026-08-07,Cliftonville FC,Crusaders FC,2,1,H
2026-08-08,Linfield,Ballymena United,0,3,A
2026-08-08,Carrick Rangers,Portadown,1,0,H
2026-08-08,Dungannon Swifts,Coleraine FC,1,3,A
2026-08-08,Glentoran,Limavady United,2,0,H
2026-08-15,Linfield,Glentoran,2,1,H
2026-08-15,Coleraine FC,Larne,0,0,D
2026-08-15,Crusaders FC,Ballymena United,2,1,H
2026-08-15,Portadown,Dungannon Swifts,0,1,A
2026-08-15,Bangor,Cliftonville FC,0,3,A
2026-08-15,Limavady United,Carrick Rangers,1,2,A
2026-08-21,Linfield,Cliftonville FC,1,0,H
2026-08-21,Ballymena United,Glentoran,0,2,A
2026-08-22,Carrick Rangers,Coleraine FC,0,2,A
2026-08-22,Dungannon Swifts,Bangor,2,0,H
2026-08-22,Crusaders FC,Portadown,3,2,H
2026-08-28,Portadown,Coleraine FC,0,3,A
2026-08-29,Cliftonville FC,Dungannon Swifts,0,2,A
2026-08-29,Glentoran,Crusaders FC,1,2,A
2026-08-29,Bangor,Carrick Rangers,0,4,A
2026-08-29,Limavady United,Linfield,0,2,A
