Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
29/03/2025,Stromsgodset,Rosenborg,1,2,A,3.31,3.6,2.2
29/03/2025,Fredrikstad,Brann,3,0,H,3.55,3.33,2.22
30/03/2025,Valerenga,Viking,3,1,H,2.51,3.76,2.71
30/03/2025,HamKam,Kristiansund,2,1,H,2.09,3.39,3.85
30/03/2025,KFUM Oslo,Sandefjord,3,1,H,2.26,3.2,3.59
30/03/2025,Molde,Sarpsborg 08,0,2,A,1.5,4.82,6.19
30/03/2025,Tromso,Haugesund,1,0,H,1.46,4.22,8.73
30/03/2025,Bryne,Bodo/Glimt,0,1,A,7.46,4.91,1.43
05/04/2025,Bodo/Glimt,HamKam,3,0,H,1.18,7.75,15.54
05/04/2025,Rosenborg,Fredrikstad,1,0,H,1.65,3.89,5.77
06/04/2025,Brann,Tromso,3,1,H,1.75,3.94,4.77
06/04/2025,Haugesund,Stromsgodset,0,5,A,3.82,3.67,2
06/04/2025,Kristiansund,Bryne,2,1,H,2.24,3.41,3.41
06/04/2025,Sandefjord,Molde,3,0,H,3.63,3.77,2.03
06/04/2025,Sarpsborg 08,Valerenga,1,1,D,2.27,3.61,3.16
06/04/2025,Viking,KFUM Oslo,3,1,H,1.79,3.93,4.49
09/04/2025,Fredrikstad,Valerenga,2,0,H,2.4,3.3,3.19
10/04/2025,Brann,Stromsgodset,2,1,H,1.56,4.21,6.35
10/04/2025,Viking,Kristiansund,3,1,H,1.42,5.19,7.15
20/04/2025,Tromso,Kristiansund,2,3,A,1.63,3.89,5.97
21/04/2025,Valerenga,Rosenborg,0,2,A,2.88,3.71,2.4
21/04/2025,Bryne,Haugesund,3,1,H,1.75,4.02,4.66
21/04/2025,Fredrikstad,Sandefjord,3,1,H,2.08,3.5,3.76
21/04/2025,HamKam,Viking,2,5,A,3.61,3.85,2.01
21/04/2025,KFUM Oslo,Sarpsborg 08,1,3,A,2.52,3.42,2.91
21/04/2025,Stromsgodset,Brann,1,2,A,3.21,3.72,2.2
21/04/2025,Molde,Bodo/Glimt,2,2,D,3.36,3.65,2.17
27/04/2025,Rosenborg,Molde,0,0,D,1.76,4.03,4.56
27/04/2025,Bodo/Glimt,KFUM Oslo,3,0,H,1.3,5.69,10.64
27/04/2025,Brann,Bryne,3,2,H,1.37,5.13,8.73
27/04/2025,Haugesund,Fredrikstad,0,0,D,4.08,3.44,2.01
27/04/2025,Kristiansund,Valerenga,0,2,A,3.49,3.99,2.01
27/04/2025,Sandefjord,HamKam,2,0,H,1.63,4.25,5.37
27/04/2025,Sarpsborg 08,Stromsgodset,2,3,A,1.8,3.88,4.49
27/04/2025,Viking,Tromso,4,4,D,1.73,4.23,4.5
30/04/2025,Viking,Haugesund,5,1,H,1.26,6.68,10
01/05/2025,Rosenborg,Kristiansund,1,1,D,1.32,5.82,9.08
02/05/2025,HamKam,KFUM Oslo,0,0,D,3.21,3.14,2.48
03/05/2025,Valerenga,Brann,2,4,A,2.68,3.8,2.52
04/05/2025,Molde,Haugesund,2,1,H,1.24,6.54,12.13
04/05/2025,Stromsgodset,Kristiansund,1,2,A,1.55,4.64,5.61
04/05/2025,Tromso,Sandefjord,0,1,A,1.78,4.2,4.25
04/05/2025,Viking,Sarpsborg 08,0,0,D,1.67,4.65,4.51
04/05/2025,Rosenborg,Bryne,3,0,H,1.36,5.3,8.86
11/05/2025,Brann,Rosenborg,0,0,D,2.5,3.63,2.8
11/05/2025,Bryne,Molde,0,3,A,3.49,3.47,2.18
11/05/2025,KFUM Oslo,Tromso,1,3,A,2.46,3.01,3.39
11/05/2025,Kristiansund,Fredrikstad,0,1,A,3.28,3.46,2.28
11/05/2025,Sandefjord,Valerenga,2,1,H,2.23,3.73,3.15
11/05/2025,Sarpsborg 08,HamKam,4,0,H,1.55,4.43,5.95
11/05/2025,Haugesund,Viking,1,4,A,5.45,4.82,1.55
16/05/2025,Brann,Sarpsborg 08,2,2,D,1.81,3.98,4.32
16/05/2025,Fredrikstad,KFUM Oslo,1,0,H,2.01,2.99,4.91
16/05/2025,Molde,Kristiansund,0,1,A,1.39,5.29,7.7
16/05/2025,Rosenborg,Haugesund,1,0,H,1.16,8.46,16.61
16/05/2025,Stromsgodset,Bryne,0,2,A,1.65,4.13,5.3
16/05/2025,Tromso,Bodo/Glimt,2,1,H,4.61,4.19,1.72
16/05/2025,Viking,Sandefjord,3,1,H,1.63,4.37,5.07
16/05/2025,Valerenga,HamKam,1,1,D,1.61,4.27,5.5
24/05/2025,Bryne,Fredrikstad,4,3,H,2.78,3.23,2.75
24/05/2025,Bodo/Glimt,Rosenborg,4,0,H,1.64,4.39,5.06
25/05/2025,HamKam,Molde,2,1,H,4.43,3.98,1.79
25/05/2025,Kristiansund,Viking,0,1,A,4.73,4.52,1.65
25/05/2025,Sandefjord,Stromsgodset,3,2,H,2.14,3.8,3.3
25/05/2025,Sarpsborg 08,Tromso,0,1,A,2.29,3.47,3.24
25/05/2025,Haugesund,Brann,0,2,A,7.33,5.15,1.41
26/05/2025,KFUM Oslo,Valerenga,0,1,A,2.33,3.22,3.42
28/05/2025,Fredrikstad,Rosenborg,0,2,A,2.83,3.35,2.62
28/05/2025,Bodo/Glimt,Viking,2,4,A,1.36,5.66,7.73
29/05/2025,Brann,Molde,0,3,A,1.76,4.12,4.43
31/05/2025,Stromsgodset,HamKam,0,3,A,1.85,4,4.08
31/05/2025,Tromso,Valerenga,2,1,H,1.83,3.83,4.41
01/06/2025,Fredrikstad,Sarpsborg 08,1,1,D,2.21,3.45,3.44
01/06/2025,Brann,Kristiansund,4,2,H,1.36,5.61,7.84
01/06/2025,Bryne,Sandefjord,3,2,H,2.54,3.54,2.8
01/06/2025,Haugesund,Bodo/Glimt,0,4,A,14.19,7.05,1.2
01/06/2025,Rosenborg,KFUM Oslo,1,1,D,1.61,4.09,5.78
01/06/2025,Molde,Viking,0,1,A,2.68,3.94,2.46
21/06/2025,Bodo/Glimt,Brann,3,0,H,1.48,5.28,6.23
22/06/2025,Valerenga,Molde,2,3,A,3.02,3.72,2.31
22/06/2025,HamKam,Tromso,1,3,A,3.4,3.48,2.21
22/06/2025,KFUM Oslo,Stromsgodset,5,0,H,1.79,3.9,4.52
22/06/2025,Kristiansund,Rosenborg,4,1,H,3.36,3.78,2.12
22/06/2025,Sandefjord,Haugesund,4,0,H,1.37,5.46,8.14
22/06/2025,Sarpsborg 08,Bryne,1,1,D,1.77,4.18,4.33
22/06/2025,Viking,Fredrikstad,3,0,H,1.51,4.54,6.53
28/06/2025,Rosenborg,Viking,1,1,D,2.42,3.69,2.86
29/06/2025,Haugesund,Kristiansund,0,0,D,3.35,3.81,2.12
29/06/2025,Bodo/Glimt,Sarpsborg 08,1,2,A,1.23,7.41,10.5
29/06/2025,Bryne,HamKam,1,1,D,1.87,3.79,4.27
29/06/2025,Fredrikstad,Tromso,0,1,A,2.45,3.24,3.17
29/06/2025,Molde,KFUM Oslo,2,3,A,1.98,3.53,4.07
29/06/2025,Stromsgodset,Valerenga,0,2,A,2.77,3.77,2.45
30/06/2025,Brann,Sandefjord,1,0,H,1.68,4.52,4.56
05/07/2025,HamKam,Brann,1,1,D,4.03,3.88,1.88
05/07/2025,Viking,Stromsgodset,1,0,H,1.25,7.04,9.92
05/07/2025,Valerenga,Fredrikstad,1,1,D,2.03,3.6,3.79
05/07/2025,Kristiansund,Bodo/Glimt,1,1,D,6.54,5.49,1.43
05/07/2025,Tromso,Molde,1,0,H,2.4,3.49,3.03
06/07/2025,KFUM Oslo,Bryne,1,1,D,1.75,3.65,5.21
06/07/2025,Sandefjord,Rosenborg,2,0,H,2.24,3.73,3.13
06/07/2025,Sarpsborg 08,Haugesund,3,1,H,1.38,5.67,7.48
12/07/2025,Bodo/Glimt,Sandefjord,2,0,H,1.29,6.46,8.83
12/07/2025,Fredrikstad,Molde,4,2,H,2.69,3.21,2.86
13/07/2025,Bryne,Valerenga,1,0,H,2.61,3.53,2.72
