Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2026-07-24,Polonia Bytom,Warta Poznan,4,3,H
2026-07-24,Odra Opole,Arka Gdynia,0,1,A
2026-07-25,Lechia Gdansk,Pogon Grod. Mazowiecki,0,3,A
2026-07-25,Pogon Siedlce,KS odz,1,1,D
2026-07-25,Stal Rzeszow,Chrobry Gogow,1,5,A
2026-07-26,Nieciecza,Ruch Chorzow,2,0,H
2026-07-26,Unia Skierniewice,Stal Mielec,1,2,A
2026-07-26,Puszcza Niepoomice,Polonia Warszawa,0,1,A
2026-07-27,Miedz Legnica,Podbeskidzie,1,1,D
2026-07-31,KS odz,Polonia Bytom,2,1,H
2026-07-31,Lechia Gdansk,Warta Poznan,0,3,A
2026-08-01,Arka Gdynia,Stal Rzeszow,4,0,H
2026-08-01,Pogon Siedlce,Nieciecza,1,2,A
2026-08-01,Polonia Warszawa,Unia Skierniewice,3,1,H
2026-08-02,Ruch Chorzow,Miedz Legnica,0,2,A
2026-08-02,Stal Mielec,Podbeskidzie,3,3,D
2026-08-02,Pogon Grod. Mazowiecki,Puszcza Niepoomice,1,0,H
2026-08-03,Chrobry Gogow,Odra Opole,0,1,A
2026-08-07,Polonia Bytom,Pogon Siedlce,2,2,D
2026-08-07,Polonia Warszawa,Ruch Chorzow,1,1,D
2026-08-08,Miedz Legnica,Pogon Grod. Mazowiecki,0,1,A
2026-08-08,Puszcza Niepoomice,Odra Opole,3,1,H
2026-08-08,Stal Mielec,Stal Rzeszow,1,1,D
2026-08-08,Podbeskidzie,Lechia Gdansk,2,2,D
2026-08-09,KS odz,Chrobry Gogow,1,2,A
2026-08-09,Nieciecza,Warta Poznan,1,2,A
2026-08-10,Unia Skierniewice,Arka Gdynia,2,0,H
2026-08-14,Pogon Grod. Mazowiecki,Stal Rzeszow,1,1,D
2026-08-14,Ruch Chorzow,Lechia Gdansk,1,0,H
2026-08-15,Chrobry Gogow,Podbeskidzie,1,1,D
2026-08-15,Odra Opole,Warta Poznan,3,1,H
2026-08-15,Pogon Siedlce,Polonia Warszawa,1,0,H
2026-08-16,KS odz,Nieciecza,2,1,H
2026-08-16,Stal Mielec,Polonia Bytom,5,2,H
2026-08-16,Unia Skierniewice,Miedz Legnica,0,3,A
2026-08-17,Arka Gdynia,Puszcza Niepoomice,3,0,H
2026-08-21,Chrobry Gogow,Warta Poznan,0,1,A
2026-08-21,Lechia Gdansk,Pogon Siedlce,1,0,H
2026-08-22,Nieciecza,Polonia Warszawa,1,3,A
2026-08-22,Podbeskidzie,Odra Opole,1,1,D
2026-08-22,Polonia Bytom,Pogon Grod. Mazowiecki,2,2,D
2026-08-23,Miedz Legnica,Arka Gdynia,2,0,H
2026-08-23,Puszcza Niepoomice,Unia Skierniewice,0,1,A
2026-08-23,KS odz,Stal Mielec,4,0,H
2026-08-24,Stal Rzeszow,Ruch Chorzow,0,1,A
2026-08-28,Unia Skierniewice,Stal Rzeszow,0,1,A
2026-08-28,Pogon Grod. Mazowiecki,Nieciecza,2,2,D
2026-08-28,Odra Opole,KS odz,0,0,D
2026-08-29,Puszcza Niepoomice,Podbeskidzie,2,0,H
2026-08-29,Pogon Siedlce,Stal Mielec,2,0,H
2026-08-29,Polonia Warszawa,Lechia Gdansk,2,4,A
2026-08-30,Miedz Legnica,Warta Poznan,2,1,H
2026-08-30,Arka Gdynia,Polonia Bytom,1,1,D
2026-08-30,Chrobry Gogow,Ruch Chorzow,2,0,H
2026-09-04,Pogon Grod. Mazowiecki,Warta Poznan,1,0,H
2026-09-04,Nieciecza,Lechia Gdansk,2,1,H
