Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
24/07/2026,Radomiak Radom,Wieczysta Krakow,2,1,H,,,
24/07/2026,Pogon Szczecin,Legia,0,1,A,,,
25/07/2026,Jagiellonia,Korona Kielce,1,0,H,,,
25/07/2026,Gornik Zabrze,Slask Wroclaw,2,1,H,,,
25/07/2026,Lech Poznan,Cracovia,0,0,D,,,
26/07/2026,Rakow,Wisla Plock,1,2,A,,,
26/07/2026,Widzew Lodz,Motor Lublin,2,2,D,,,
26/07/2026,Wisla,GKS Katowice,2,1,H,,,
27/07/2026,Zaglebie,Piast Gliwice,2,0,H,,,
31/07/2026,Wisla Plock,Widzew Lodz,0,0,D,,,
31/07/2026,Motor Lublin,Jagiellonia,1,2,A,,,
01/08/2026,Piast Gliwice,Wisla,4,3,H,,,
01/08/2026,Wieczysta Krakow,Lech Poznan,1,2,A,,,
02/08/2026,Legia,Zaglebie,3,1,H,,,
02/08/2026,Slask Wroclaw,Rakow,2,1,H,,,
02/08/2026,GKS Katowice,Radomiak Radom,3,1,H,,,
03/08/2026,Cracovia,Pogon Szczecin,0,2,A,,,
07/08/2026,Wisla,Wisla Plock,2,1,H,,,
08/08/2026,Radomiak Radom,Gornik Zabrze,1,3,A,,,
08/08/2026,Pogon Szczecin,Motor Lublin,3,1,H,,,
08/08/2026,Korona Kielce,Legia,1,1,D,,,
09/08/2026,Slask Wroclaw,Cracovia,0,0,D,,,
09/08/2026,Lech Poznan,Piast Gliwice,3,0,H,,,
09/08/2026,Jagiellonia,Widzew Lodz,0,2,A,,,
14/08/2026,Legia,Radomiak Radom,5,0,H,,,
15/08/2026,Zaglebie,Slask Wroclaw,2,1,H,,,
15/08/2026,Piast Gliwice,Wieczysta Krakow,3,4,A,,,
15/08/2026,Widzew Lodz,Korona Kielce,1,2,A,,,
16/08/2026,Motor Lublin,GKS Katowice,1,0,H,,,
16/08/2026,Cracovia,Rakow,2,1,H,,,
16/08/2026,Gornik Zabrze,Wisla,2,1,H,,,
