Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2024-08-10,Maritimo,Tondela,2,2,D
2024-08-10,Mafra,Pacos Ferreira,0,1,A
2024-08-10,Leixoes,Benfica B,2,1,H
2024-08-10,Academico Viseu,Chaves,2,1,H
2024-08-11,Penafiel,Oliveirense,4,3,H
2024-08-11,Torreense,Feirense,0,1,A
2024-08-11,FC Porto B,Alverca,1,1,D
2024-08-11,Uniao de Leiria,Vizela,0,2,A
2024-08-12,Felgueiras 1932,Portimonense,0,0,D
2024-08-17,Alverca,Felgueiras 1932,1,1,D
2024-08-17,Oliveirense,Mafra,0,0,D
2024-08-17,Portimonense,Uniao de Leiria,0,3,A
2024-08-18,Pacos Ferreira,Maritimo,1,2,A
2024-08-18,Feirense,Academico Viseu,2,2,D
2024-08-18,Vizela,Penafiel,1,2,A
2024-08-18,Chaves,Leixoes,0,0,D
2024-08-18,Benfica B,Torreense,2,0,H
2024-08-19,Tondela,FC Porto B,2,2,D
2024-08-23,Uniao de Leiria,Alverca,1,1,D
2024-08-24,Felgueiras 1932,Feirense,0,0,D
2024-08-24,Torreense,Oliveirense,3,0,H
2024-08-24,Leixoes,Pacos Ferreira,3,3,D
2024-08-25,Academico Viseu,FC Porto B,2,0,H
2024-08-25,Penafiel,Tondela,2,2,D
2024-08-25,Maritimo,Chaves,1,1,D
2024-08-25,Benfica B,Vizela,1,0,H
2024-08-25,Mafra,Portimonense,2,2,D
2024-08-30,Alverca,Academico Viseu,0,4,A
2024-08-31,Oliveirense,Leixoes,0,1,A
2024-08-31,Tondela,Felgueiras 1932,1,1,D
2024-08-31,Vizela,Torreense,1,2,A
2024-09-01,Portimonense,Maritimo,5,1,H
2024-09-01,Feirense,Benfica B,2,3,A
2024-09-01,Pacos Ferreira,Penafiel,1,3,A
2024-09-01,Chaves,Mafra,0,3,A
2024-09-01,FC Porto B,Uniao de Leiria,1,1,D
2024-09-13,Torreense,Portimonense,3,2,H
2024-09-14,Felgueiras 1932,Chaves,1,2,A
2024-09-14,Academico Viseu,Uniao de Leiria,0,1,A
2024-09-15,Maritimo,Alverca,1,2,A
2024-09-15,Mafra,Tondela,0,4,A
2024-09-15,Penafiel,FC Porto B,1,1,D
2024-09-15,Benfica B,Oliveirense,2,2,D
2024-09-15,Leixoes,Vizela,0,1,A
2024-09-16,Feirense,Pacos Ferreira,2,0,H
2024-09-28,Chaves,Torreense,2,1,H
2024-09-28,Pacos Ferreira,Benfica B,0,3,A
2024-09-28,Portimonense,Penafiel,0,2,A
2024-09-28,Tondela,Academico Viseu,4,1,H
2024-09-29,Oliveirense,Feirense,1,0,H
2024-09-29,FC Porto B,Felgueiras 1932,0,2,A
2024-09-29,Alverca,Leixoes,1,1,D
2024-09-29,Uniao de Leiria,Maritimo,1,1,D
2024-09-30,Vizela,Mafra,3,0,H
2024-10-04,Torreense,Tondela,0,2,A
2024-10-05,Felgueiras 1932,Academico Viseu,1,1,D
2024-10-05,Maritimo,FC Porto B,1,0,H
2024-10-05,Oliveirense,Pacos Ferreira,0,2,A
2024-10-05,Leixoes,Portimonense,3,0,H
2024-10-06,Feirense,Vizela,0,0,D
2024-10-06,Penafiel,Uniao de Leiria,1,0,H
2024-10-06,Benfica B,Chaves,1,0,H
2024-10-06,Mafra,Alverca,1,1,D
2024-10-11,Uniao de Leiria,Felgueiras 1932,1,3,A
2024-10-12,Tondela,Leixoes,2,1,H
2024-10-12,Alverca,Penafiel,2,2,D
2024-10-13,Academico Viseu,Maritimo,0,2,A
2024-10-13,Pacos Ferreira,Torreense,1,0,H
2024-10-13,Chaves,Feirense,0,0,D
2024-10-23,FC Porto B,Mafra,2,1,H
2024-10-25,Pacos Ferreira,Vizela,1,1,D
2024-10-26,Penafiel,Academico Viseu,0,2,A
2024-10-26,Oliveirense,Chaves,0,3,A
2024-10-26,Feirense,Portimonense,1,1,D
2024-10-26,Benfica B,Tondela,1,3,A
2024-10-27,Torreense,Alverca,1,0,H
2024-10-27,Felgueiras 1932,Maritimo,1,3,A
2024-10-27,Leixoes,FC Porto B,3,0,H
2024-10-28,Mafra,Uniao de Leiria,2,1,H
2024-11-01,Alverca,Feirense,1,0,H
2024-11-02,Portimonense,Vizela,1,1,D
2024-11-02,Maritimo,Penafiel,1,2,A
2024-11-02,Chaves,Pacos Ferreira,2,1,H
