Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2026-08-01,Metaloglobus,Metalul Buzau,0,0,D
2026-08-01,CS Afumati,CS Dinamo Bucuresti,2,1,H
2026-08-01,CSM Ramnicu Valcea,Popesti-Leordeni,1,1,D
2026-08-01,CSM Resita,ASA Targu Mures,2,1,H
2026-08-01,Bihor Oradea,Unirea Slobozia,1,1,D
2026-08-01,FC Bacau,Stefanesti,3,0,H
2026-08-01,Gloria Bistrita,Viitorul Selimbar,2,1,H
2026-08-01,Cetatea Suceava,Concordia,1,3,A
2026-08-02,CSA Steaua Bucuresti,Slatina,1,2,A
2026-08-04,FC Politehnica Timisoara,Chindia Targoviste,1,0,H
2026-08-05,Dumbravita,CSM Satu Mare,1,1,D
2026-08-07,Unirea Slobozia,Gloria Bistrita,0,3,A
2026-08-08,Concordia,Bihor Oradea,2,0,H
2026-08-08,ASA Targu Mures,Cetatea Suceava,0,2,A
2026-08-08,Metalul Buzau,CS Afumati,3,1,H
2026-08-08,Popesti-Leordeni,FC Bacau,3,2,H
2026-08-08,Slatina,CS Dinamo Bucuresti,5,1,H
2026-08-08,Viitorul Selimbar,FC Politehnica Timisoara,1,1,D
2026-08-08,CSA Steaua Bucuresti,CSM Ramnicu Valcea,1,2,A
2026-08-08,CSM Satu Mare,CSM Resita,0,2,A
2026-08-08,Stefanesti,Dumbravita,1,0,H
2026-08-09,Chindia Targoviste,Metaloglobus,3,1,H
2026-08-15,Metaloglobus,Viitorul Selimbar,3,1,H
2026-08-15,FC Politehnica Timisoara,Unirea Slobozia,1,0,H
2026-08-15,CSM Ramnicu Valcea,Slatina,0,1,A
2026-08-15,CSM Resita,Stefanesti,2,0,H
2026-08-15,Dumbravita,Popesti-Leordeni,1,1,D
2026-08-15,CS Dinamo Bucuresti,Metalul Buzau,0,1,A
2026-08-15,Bihor Oradea,ASA Targu Mures,1,1,D
2026-08-15,Gloria Bistrita,Concordia,1,2,A
2026-08-15,Cetatea Suceava,CSM Satu Mare,2,0,H
2026-08-15,CS Afumati,Chindia Targoviste,0,3,A
2026-08-16,FC Bacau,CSA Steaua Bucuresti,3,0,H
2026-08-21,Chindia Targoviste,CS Dinamo Bucuresti,1,2,A
2026-08-22,Concordia,FC Politehnica Timisoara,1,5,A
2026-08-22,ASA Targu Mures,Gloria Bistrita,1,0,H
2026-08-22,CSM Ramnicu Valcea,FC Bacau,2,2,D
2026-08-22,Popesti-Leordeni,CSM Resita,4,1,H
2026-08-22,Slatina,Metalul Buzau,2,0,H
2026-08-22,CSM Satu Mare,Bihor Oradea,0,0,D
2026-08-22,Stefanesti,Cetatea Suceava,3,1,H
2026-08-23,Viitorul Selimbar,CS Afumati,1,1,D
2026-08-23,CSA Steaua Bucuresti,Dumbravita,2,2,D
