Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
12/07/2019,FC Voluntari,Sepsi Sf. Gheorghe,0,0,D,2.61,3.06,3.07
13/07/2019,Astra,FC Botosani,2,2,D,2.32,3.14,3.49
13/07/2019,CFR Cluj,Poli Iasi,1,1,D,1.47,4.09,8.64
14/07/2019,U Craiova,Academica Clinceni,3,2,H,1.44,4.46,8.09
14/07/2019,FCSB,FC Hermannstadt,4,3,H,1.48,4.04,8.5
15/07/2019,Gaz Metan Medias,Chindia Targoviste,2,2,D,1.69,3.72,5.59
15/07/2019,Viitorul Constanta,Din. Bucuresti,5,0,H,2.15,3.31,3.73
19/07/2019,FC Hermannstadt,Gaz Metan Medias,0,2,A,3.63,3.37,2.16
19/07/2019,Chindia Targoviste,Viitorul Constanta,0,1,A,5.48,4.05,1.64
20/07/2019,FC Botosani,FC Voluntari,4,1,H,1.99,3.4,4.22
20/07/2019,Academica Clinceni,CFR Cluj,1,4,A,5.76,3.67,1.69
21/07/2019,Poli Iasi,Astra,1,0,H,2.85,3.11,2.76
21/07/2019,Din. Bucuresti,U Craiova,0,2,A,2.85,3.21,2.69
22/07/2019,Sepsi Sf. Gheorghe,FCSB,0,0,D,5.76,3.83,1.66
26/07/2019,Poli Iasi,Academica Clinceni,2,0,H,1.74,3.68,5.25
26/07/2019,FC Voluntari,Astra,1,2,A,2.81,3.32,2.65
27/07/2019,Gaz Metan Medias,Sepsi Sf. Gheorghe,1,1,D,1.76,3.72,4.98
27/07/2019,CFR Cluj,Din. Bucuresti,1,0,H,1.54,3.9,7.37
28/07/2019,U Craiova,Chindia Targoviste,1,0,H,1.48,4.15,8.07
28/07/2019,Viitorul Constanta,FC Hermannstadt,3,2,H,1.57,3.86,7
29/07/2019,FCSB,FC Botosani,0,2,A,1.49,4.31,7.23
02/08/2019,Din. Bucuresti,Academica Clinceni,4,2,H,1.65,3.81,5.85
03/08/2019,FC Botosani,Gaz Metan Medias,1,1,D,2.39,2.99,3.55
03/08/2019,Chindia Targoviste,CFR Cluj,1,4,A,5.8,3.7,1.68
04/08/2019,FC Hermannstadt,U Craiova,2,1,H,3.55,3.29,2.23
04/08/2019,Sepsi Sf. Gheorghe,Viitorul Constanta,2,2,D,3.75,3.36,2.13
05/08/2019,FC Voluntari,Poli Iasi,0,0,D,3.25,3.18,2.42
05/08/2019,Astra,FCSB,2,1,H,3.87,3.42,2.07
09/08/2019,Academica Clinceni,Chindia Targoviste,3,1,H,2.92,3.32,2.56
09/08/2019,Poli Iasi,Din. Bucuresti,2,0,H,2.26,3.2,3.58
10/08/2019,Gaz Metan Medias,Astra,1,0,H,2.17,3.29,3.71
10/08/2019,CFR Cluj,FC Hermannstadt,3,0,H,1.66,3.56,6.42
11/08/2019,U Craiova,Sepsi Sf. Gheorghe,0,1,A,1.76,3.48,5.46
11/08/2019,FCSB,FC Voluntari,1,3,A,1.7,3.98,5.06
12/08/2019,Viitorul Constanta,FC Botosani,2,2,D,1.86,3.61,4.51
16/08/2019,FC Hermannstadt,Academica Clinceni,2,1,H,1.78,3.63,4.99
16/08/2019,Chindia Targoviste,Din. Bucuresti,3,2,H,3.2,3.43,2.32
17/08/2019,Sepsi Sf. Gheorghe,CFR Cluj,1,1,D,3.61,3.32,2.19
18/08/2019,FC Botosani,U Craiova,1,1,D,2.23,3.32,3.5
18/08/2019,FCSB,Poli Iasi,1,2,A,1.81,3.86,4.48
19/08/2019,FC Voluntari,Gaz Metan Medias,0,3,A,3.49,3.29,2.25
19/08/2019,Astra,Viitorul Constanta,1,1,D,3.93,3.52,2.02
23/08/2019,Poli Iasi,Chindia Targoviste,2,2,D,1.65,3.88,5.75
23/08/2019,U Craiova,Astra,1,0,H,1.75,3.8,4.97
24/08/2019,Academica Clinceni,Sepsi Sf. Gheorghe,1,1,D,3.38,3.23,2.33
24/08/2019,CFR Cluj,FC Botosani,4,1,H,2.17,3.23,3.78
25/08/2019,Viitorul Constanta,FC Voluntari,4,0,H,1.42,4.75,8.01
25/08/2019,Gaz Metan Medias,FCSB,4,0,H,2.67,3.31,2.79
26/08/2019,Din. Bucuresti,FC Hermannstadt,3,0,H,2.42,3.23,3.2
30/08/2019,FC Botosani,Academica Clinceni,2,2,D,1.5,4.28,7.18
30/08/2019,FC Voluntari,U Craiova,1,2,A,4.2,3.45,1.98
31/08/2019,Gaz Metan Medias,Poli Iasi,3,2,H,1.83,3.65,4.68
31/08/2019,Astra,CFR Cluj,3,2,H,4.09,3.32,2.05
01/09/2019,FC Hermannstadt,Chindia Targoviste,2,1,H,1.87,3.46,4.75
01/09/2019,FCSB,Viitorul Constanta,2,1,H,2.67,3.46,2.69
02/09/2019,Sepsi Sf. Gheorghe,Din. Bucuresti,0,1,A,2.41,3.08,3.38
13/09/2019,Academica Clinceni,Astra,1,1,D,4.14,3.5,1.97
13/09/2019,CFR Cluj,FC Voluntari,5,0,H,1.32,5.31,10.57
14/09/2019,Chindia Targoviste,Sepsi Sf. Gheorghe,0,0,D,2.72,3.09,2.91
14/09/2019,Din. Bucuresti,FC Botosani,1,1,D,2.49,3.38,2.96
15/09/2019,Poli Iasi,FC Hermannstadt,0,0,D,2.21,3.31,3.57
15/09/2019,U Craiova,FCSB,0,1,A,2.3,3.39,3.28
16/09/2019,Viitorul Constanta,Gaz Metan Medias,4,1,H,1.82,3.75,4.55
20/09/2019,Gaz Metan Medias,U Craiova,2,3,A,2.66,2.93,3.15
21/09/2019,FC Voluntari,Academica Clinceni,1,2,A,2.52,3.31,2.97
21/09/2019,Sepsi Sf. Gheorghe,FC Hermannstadt,3,0,H,2.52,3.06,3.22
21/09/2019,Astra,Din. Bucuresti,3,2,H,2.35,3.18,3.39
22/09/2019,FC Botosani,Chindia Targoviste,0,3,A,1.57,4.2,6.01
22/09/2019,FCSB,CFR Cluj,0,0,D,2.63,3.18,2.95
23/09/2019,Viitorul Constanta,Poli Iasi,2,1,H,1.47,4.84,6.48
27/09/2019,Din. Bucuresti,FC Voluntari,2,1,H,1.52,4.23,6.79
28/09/2019,FC Hermannstadt,FC Botosani,0,1,A,2.55,3.13,3.09
28/09/2019,Chindia Targoviste,Astra,1,0,H,2.7,3.26,2.8
29/09/2019,Academica Clinceni,FCSB,0,3,A,9.29,4.7,1.39
29/09/2019,CFR Cluj,Gaz Metan Medias,3,0,H,1.64,3.94,5.75
30/09/2019,Poli Iasi,Sepsi Sf. Gheorghe,1,1,D,2.34,2.89,3.81
30/09/2019,U Craiova,Viitorul Constanta,3,1,H,2.29,3.35,3.34
04/10/2019,FC Botosani,Sepsi Sf. Gheorghe,1,1,D,2.03,3.1,4.55
04/10/2019,U Craiova,Poli Iasi,1,1,D,1.59,3.92,6.46
05/10/2019,Gaz Metan Medias,Academica Clinceni,2,1,H,1.49,4.4,7
05/10/2019,FCSB,Din. Bucuresti,1,1,D,1.62,4.05,5.74
06/10/2019,Viitorul Constanta,CFR Cluj,3,1,H,2.73,3.23,2.79
07/10/2019,FC Voluntari,Chindia Targoviste,0,1,A,2.85,3.18,2.71
07/10/2019,Astra,FC Hermannstadt,0,0,D,2.2,3.28,3.63
18/10/2019,FC Hermannstadt,FC Voluntari,0,0,D,1.9,3.52,4.48
18/10/2019,Din. Bucuresti,Gaz Metan Medias,2,0,H,2.91,3.12,2.69
19/10/2019,CFR Cluj,U Craiova,2,0,H,1.81,3.53,5
20/10/2019,Academica Clinceni,Viitorul Constanta,0,0,D,6.03,4.25,1.57
20/10/2019,Sepsi Sf. Gheorghe,Astra,2,3,A,2.43,3.07,3.35
20/10/2019,Chindia Targoviste,FCSB,1,2,A,5.21,3.64,1.75
21/10/2019,Poli Iasi,FC Botosani,0,3,A,3.95,3.43,2.04
25/10/2019,Sepsi Sf. Gheorghe,FC Voluntari,0,0,D,1.75,3.72,5.09
26/10/2019,Chindia Targoviste,Gaz Metan Medias,1,1,D,3.54,3.08,2.34
26/10/2019,FC Hermannstadt,FCSB,0,4,A,4.63,3.4,1.91
27/10/2019,Academica Clinceni,U Craiova,0,0,D,5.71,4.07,1.62
27/10/2019,FC Botosani,Astra,1,2,A,1.86,3.77,4.29
27/10/2019,Din. Bucuresti,Viitorul Constanta,3,2,H,3.1,3.69,2.27
28/10/2019,Poli Iasi,CFR Cluj,2,1,H,6.12,4.03,1.6
01/11/2019,Viitorul Constanta,Chindia Targoviste,3,0,H,1.41,4.74,8.13
02/11/2019,Gaz Metan Medias,FC Hermannstadt,1,1,D,2.01,3.31,4.27
02/11/2019,CFR Cluj,Academica Clinceni,3,0,H,1.21,6.54,16.55
03/11/2019,FC Voluntari,FC Botosani,1,2,A,4.38,3.92,1.81
03/11/2019,FCSB,Sepsi Sf. Gheorghe,2,1,H,1.42,4.46,8.78
04/11/2019,Astra,Poli Iasi,4,0,H,2,3.39,4.2
04/11/2019,U Craiova,Din. Bucuresti,4,1,H,1.75,3.78,5.02
08/11/2019,Astra,FC Voluntari,1,0,H,1.6,4.01,6.14
08/11/2019,FC Hermannstadt,Viitorul Constanta,1,1,D,4.18,3.32,2.03
09/11/2019,Academica Clinceni,Poli Iasi,1,0,H,2.87,3.09,2.76
09/11/2019,Chindia Targoviste,U Craiova,1,1,D,4.94,3.8,1.75
09/11/2019,FC Botosani,FCSB,0,2,A,3.21,3.61,2.24
10/11/2019,Sepsi Sf. Gheorghe,Gaz Metan Medias,0,1,A,2.87,3.05,2.79
10/11/2019,Din. Bucuresti,CFR Cluj,0,0,D,4.06,3.61,1.96
22/11/2019,CFR Cluj,Chindia Targoviste,4,0,H,1.25,5.9,13.83
23/11/2019,Poli Iasi,FC Voluntari,2,2,D,2.01,3.36,4.18
23/11/2019,FCSB,Astra,1,3,A,1.44,4.66,7.58
24/11/2019,Academica Clinceni,Din. Bucuresti,2,2,D,3.92,3.41,2.06
24/11/2019,Gaz Metan Medias,FC Botosani,0,0,D,2.61,3.01,3.12
24/11/2019,U Craiova,FC Hermannstadt,3,0,H,1.61,3.66,6.99
25/11/2019,Viitorul Constanta,Sepsi Sf. Gheorghe,4,1,H,1.59,3.94,6.4
29/11/2019,Astra,Gaz Metan Medias,1,0,H,2.22,3.47,3.37
29/11/2019,Din. Bucuresti,Poli Iasi,1,0,H,1.62,3.87,6.11
30/11/2019,Sepsi Sf. Gheorghe,U Craiova,1,0,H,4.43,3.18,2.03
01/12/2019,Chindia Targoviste,Academica Clinceni,2,5,A,2.05,3.46,3.89
01/12/2019,FC Hermannstadt,CFR Cluj,1,1,D,5.74,3.67,1.69
02/12/2019,FC Botosani,Viitorul Constanta,1,0,H,2.46,3.38,3.01
