Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2024-07-19,Radnicki 1923,Zeleznicar Pancevo,2,3,A
2024-07-19,Napredak,FK Partizan,0,1,A
2024-07-20,FK Crvena Zvezda,Jedinstvo Ub,4,0,H
2024-07-20,Mladost Lucani,OFK Beograd,1,2,A
2024-07-20,Cukaricki,Radnicki NIS,2,0,H
2024-07-21,Novi Pazar,FK Spartak Zdrepceva KRV,3,2,H
2024-07-21,TSC Backa Topola,IMT Novi Beograd,1,0,H
2024-07-21,Tekstilac Odzaci,Vojvodina,1,3,A
2024-07-27,FK Crvena Zvezda,Mladost Lucani,2,2,D
2024-07-27,Jedinstvo Ub,FK Partizan,0,4,A
2024-07-27,Zeleznicar Pancevo,Napredak,1,1,D
2024-07-28,FK Spartak Zdrepceva KRV,Cukaricki,1,1,D
2024-07-28,Radnicki NIS,TSC Backa Topola,1,0,H
2024-07-29,OFK Beograd,Tekstilac Odzaci,1,0,H
2024-08-02,Napredak,IMT Novi Beograd,1,1,D
2024-08-03,Novi Pazar,OFK Beograd,0,0,D
2024-08-03,Mladost Lucani,Jedinstvo Ub,2,1,H
2024-08-03,Tekstilac Odzaci,FK Crvena Zvezda,0,4,A
2024-08-04,TSC Backa Topola,FK Spartak Zdrepceva KRV,0,0,D
2024-08-04,FK Partizan,Zeleznicar Pancevo,2,0,H
2024-08-04,Cukaricki,Vojvodina,3,1,H
2024-08-04,Radnicki 1923,Radnicki NIS,4,0,H
2024-08-09,OFK Beograd,Cukaricki,1,2,A
2024-08-09,Radnicki NIS,Napredak,3,1,H
2024-08-10,FK Crvena Zvezda,Novi Pazar,4,1,H
2024-08-10,Mladost Lucani,Tekstilac Odzaci,1,2,A
2024-08-10,FK Spartak Zdrepceva KRV,Radnicki 1923,1,0,H
2024-08-11,Jedinstvo Ub,Zeleznicar Pancevo,0,1,A
2024-08-11,Vojvodina,TSC Backa Topola,1,3,A
2024-08-11,IMT Novi Beograd,FK Partizan,0,0,D
2024-08-15,Cukaricki,FK Crvena Zvezda,1,4,A
2024-08-16,TSC Backa Topola,OFK Beograd,0,1,A
2024-08-17,Novi Pazar,Mladost Lucani,0,1,A
2024-08-17,Napredak,FK Spartak Zdrepceva KRV,2,0,H
2024-08-17,Tekstilac Odzaci,Jedinstvo Ub,1,1,D
2024-08-18,Zeleznicar Pancevo,IMT Novi Beograd,2,1,H
2024-08-19,Radnicki 1923,Vojvodina,2,2,D
2024-08-23,Mladost Lucani,Cukaricki,3,1,H
2024-08-24,Radnicki NIS,Zeleznicar Pancevo,2,1,H
2024-08-24,Tekstilac Odzaci,Novi Pazar,2,1,H
2024-08-24,Jedinstvo Ub,IMT Novi Beograd,2,3,A
2024-08-25,OFK Beograd,Radnicki 1923,3,5,A
2024-08-25,Vojvodina,Napredak,1,2,A
2024-08-30,IMT Novi Beograd,Radnicki NIS,3,1,H
2024-08-30,Cukaricki,Tekstilac Odzaci,3,0,H
2024-08-31,Novi Pazar,Jedinstvo Ub,3,1,H
2024-08-31,Napredak,OFK Beograd,1,3,A
2024-08-31,Zeleznicar Pancevo,FK Spartak Zdrepceva KRV,2,0,H
2024-09-01,Radnicki 1923,FK Crvena Zvezda,0,1,A
2024-09-01,TSC Backa Topola,Mladost Lucani,1,2,A
2024-09-01,FK Partizan,Vojvodina,0,0,D
2024-09-13,FK Spartak Zdrepceva KRV,IMT Novi Beograd,2,0,H
2024-09-14,Vojvodina,Zeleznicar Pancevo,2,0,H
2024-09-14,FK Crvena Zvezda,Napredak,2,0,H
2024-09-14,Mladost Lucani,Radnicki 1923,2,1,H
2024-09-15,Novi Pazar,Cukaricki,2,2,D
2024-09-15,OFK Beograd,FK Partizan,3,2,H
2024-09-15,Tekstilac Odzaci,TSC Backa Topola,2,1,H
2024-09-16,Jedinstvo Ub,Radnicki NIS,0,2,A
2024-09-18,IMT Novi Beograd,Radnicki 1923,0,4,A
2024-09-21,TSC Backa Topola,Novi Pazar,5,2,H
2024-09-21,Cukaricki,Jedinstvo Ub,2,1,H
2024-09-21,Napredak,Mladost Lucani,1,2,A
2024-09-22,Radnicki NIS,FK Spartak Zdrepceva KRV,3,2,H
2024-09-22,IMT Novi Beograd,Vojvodina,0,3,A
2024-09-22,Zeleznicar Pancevo,OFK Beograd,0,1,A
2024-09-23,Radnicki 1923,Tekstilac Odzaci,1,0,H
2024-09-23,FK Partizan,FK Crvena Zvezda,0,4,A
2024-09-27,FK Crvena Zvezda,Zeleznicar Pancevo,2,1,H
2024-09-28,OFK Beograd,IMT Novi Beograd,4,3,H
2024-09-28,Novi Pazar,Radnicki 1923,2,0,H
2024-09-28,Cukaricki,TSC Backa Topola,1,2,A
2024-09-28,Vojvodina,Radnicki NIS,3,3,D
2024-09-29,Tekstilac Odzaci,Napredak,0,0,D
2024-09-29,Mladost Lucani,FK Partizan,1,3,A
2024-09-29,Jedinstvo Ub,FK Spartak Zdrepceva KRV,2,0,H
2024-10-02,Vojvodina,Novi Pazar,0,1,A
2024-10-04,Radnicki NIS,OFK Beograd,1,1,D
2024-10-05,Radnicki 1923,Cukaricki,1,1,D
2024-10-05,Zeleznicar Pancevo,Mladost Lucani,1,2,A
2024-10-05,FK Partizan,Tekstilac Odzaci,4,1,H
2024-10-06,Napredak,Novi Pazar,2,1,H
2024-10-06,FK Spartak Zdrepceva KRV,Vojvodina,0,4,A
2024-10-06,IMT Novi Beograd,FK Crvena Zvezda,1,3,A
2024-10-06,TSC Backa Topola,Jedinstvo Ub,2,0,H
2024-10-18,FK Crvena Zvezda,Radnicki NIS,5,1,H
2024-10-18,Cukaricki,Napredak,0,0,D
