Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2025-07-26,Dunajska Streda,Zemplin Michalovce,1,1,D
2025-07-26,Komarno,AS Trencin,1,2,A
2025-07-26,Tatran Presov,Slovan Bratislava,2,2,D
2025-07-27,Podbrezova,FK Kosice,3,1,H
2025-07-27,Skalica,Zilina,0,0,D
2025-07-27,Spartak Trnava,Ruzomberok,3,0,H
2025-08-02,Zemplin Michalovce,Komarno,3,1,H
2025-08-02,Slovan Bratislava,Podbrezova,4,1,H
2025-08-03,AS Trencin,Spartak Trnava,0,1,A
2025-08-03,Zilina,Tatran Presov,1,0,H
2025-08-09,Zemplin Michalovce,Zilina,2,4,A
2025-08-09,Skalica,Podbrezova,2,2,D
2025-08-09,Dunajska Streda,Ruzomberok,2,0,H
2025-08-10,FK Kosice,AS Trencin,0,1,A
2025-08-10,Spartak Trnava,Tatran Presov,1,0,H
2025-08-12,Ruzomberok,Skalica,1,3,A
2025-08-16,Slovan Bratislava,Skalica,1,0,H
2025-08-16,Podbrezova,Komarno,2,1,H
2025-08-16,Ruzomberok,Zemplin Michalovce,0,1,A
2025-08-16,Tatran Presov,Dunajska Streda,0,0,D
2025-08-17,AS Trencin,Zilina,2,1,H
2025-08-23,FK Kosice,Ruzomberok,3,1,H
2025-08-23,Skalica,Tatran Presov,2,2,D
2025-08-23,Dunajska Streda,AS Trencin,4,1,H
2025-08-24,Komarno,Spartak Trnava,1,4,A
2025-08-24,Zemplin Michalovce,Slovan Bratislava,1,1,D
2025-08-24,Zilina,Podbrezova,3,0,H
2025-08-30,Komarno,Skalica,1,0,H
2025-08-30,Tatran Presov,AS Trencin,2,3,A
2025-08-30,Podbrezova,Zemplin Michalovce,2,2,D
2025-08-31,Slovan Bratislava,FK Kosice,3,2,H
2025-08-31,Ruzomberok,Zilina,3,3,D
2025-08-31,Spartak Trnava,Dunajska Streda,0,3,A
2025-09-13,AS Trencin,Ruzomberok,0,3,A
2025-09-13,FK Kosice,Komarno,2,3,A
2025-09-13,Skalica,Spartak Trnava,0,4,A
2025-09-13,Zilina,Slovan Bratislava,3,3,D
2025-09-14,Zemplin Michalovce,Tatran Presov,1,2,A
2025-09-14,Dunajska Streda,Podbrezova,2,0,H
2025-09-20,Podbrezova,AS Trencin,2,0,H
2025-09-20,Skalica,FK Kosice,1,0,H
2025-09-20,Tatran Presov,Ruzomberok,1,3,A
2025-09-20,Slovan Bratislava,Dunajska Streda,3,2,H
2025-09-21,Komarno,Zilina,1,3,A
2025-09-21,Spartak Trnava,Zemplin Michalovce,0,1,A
2025-09-27,AS Trencin,Slovan Bratislava,1,2,A
2025-09-27,Dunajska Streda,Komarno,1,1,D
2025-09-27,Zemplin Michalovce,Skalica,2,0,H
2025-09-27,FK Kosice,Tatran Presov,2,2,D
2025-09-28,Ruzomberok,Podbrezova,1,0,H
2025-09-28,Zilina,Spartak Trnava,2,2,D
2025-10-01,FK Kosice,Dunajska Streda,0,2,A
