Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2026-07-17,Nafta,Koper,0,2,A
2026-07-17,Celje,Mura,2,2,D
2026-07-18,Radomlje,Brinje-Grosuplje,0,2,A
2026-07-18,Olimpija Ljubljana,Bravo,0,2,A
2026-07-19,Aluminij,Maribor,0,0,D
2026-07-25,Mura,Olimpija Ljubljana,1,0,H
2026-07-25,Maribor,Brinje-Grosuplje,3,0,H
2026-07-26,Bravo,Nafta,0,3,A
2026-07-26,Koper,Radomlje,2,2,D
2026-08-01,Nafta,Mura,5,2,H
2026-08-01,Celje,Maribor,1,1,D
2026-08-02,Radomlje,Bravo,1,2,A
2026-08-02,Olimpija Ljubljana,Aluminij,1,0,H
2026-08-02,Brinje-Grosuplje,Koper,1,1,D
2026-08-08,Celje,Olimpija Ljubljana,1,0,H
2026-08-09,Aluminij,Nafta,1,1,D
2026-08-09,Maribor,Koper,2,0,H
2026-08-09,Bravo,Brinje-Grosuplje,1,1,D
2026-08-10,Mura,Radomlje,1,3,A
2026-08-15,Nafta,Celje,1,3,A
2026-08-15,Olimpija Ljubljana,Maribor,1,1,D
2026-08-16,Radomlje,Aluminij,1,3,A
2026-08-16,Brinje-Grosuplje,Mura,1,2,A
2026-08-16,Koper,Bravo,0,0,D
2026-08-21,Aluminij,Brinje-Grosuplje,4,2,H
2026-08-21,Olimpija Ljubljana,Nafta,1,0,H
2026-08-22,Mura,Koper,0,1,A
2026-08-23,Maribor,Bravo,3,1,H
2026-08-28,Aluminij,Koper,0,1,A
2026-08-29,Radomlje,Olimpija Ljubljana,0,0,D
2026-08-29,Bravo,Mura,2,0,H
2026-08-30,Brinje-Grosuplje,Celje,4,1,H
2026-08-30,Nafta,Maribor,2,3,A
