Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2022-08-12,Levante,Huesca,0,0,D
2022-08-13,Eibar,Tenerife,2,1,H
2022-08-13,Mirandes,Sporting Gijon,1,1,D
2022-08-13,Leganes,Alaves,1,2,A
2022-08-13,Las Palmas,Zaragoza,0,0,D
2022-08-14,Racing Santander,Villarreal II,0,2,A
2022-08-14,Ibiza,Granada CF,0,2,A
2022-08-14,Burgos,Malaga,1,0,H
2022-08-15,Oviedo,FC Andorra,0,1,A
2022-08-15,Lugo,Albacete,1,2,A
2022-08-15,FC Cartagena,Ponferradina,2,3,A
2022-08-19,Villarreal II,Eibar,2,2,D
2022-08-19,Alaves,Mirandes,1,0,H
2022-08-20,Sporting Gijon,FC Andorra,4,1,H
2022-08-20,Albacete,Burgos,0,0,D
2022-08-20,Zaragoza,Levante,0,0,D
2022-08-20,Granada CF,Racing Santander,2,0,H
2022-08-21,Oviedo,Leganes,1,0,H
2022-08-21,Huesca,FC Cartagena,2,3,A
2022-08-21,Tenerife,Lugo,1,1,D
2022-08-22,Ponferradina,Ibiza,2,1,H
2022-08-22,Malaga,Las Palmas,0,4,A
2022-08-26,Albacete,Huesca,2,1,H
2022-08-26,FC Cartagena,Zaragoza,1,0,H
2022-08-27,Sporting Gijon,Burgos,0,0,D
2022-08-27,Lugo,Leganes,1,0,H
2022-08-27,Mirandes,Malaga,1,3,A
2022-08-27,Levante,Tenerife,2,0,H
2022-08-28,Racing Santander,Oviedo,0,1,A
2022-08-28,Eibar,Ponferradina,1,0,H
2022-08-28,Ibiza,Alaves,1,1,D
2022-08-29,Granada CF,Villarreal II,3,0,H
2022-08-29,Las Palmas,FC Andorra,2,0,H
2022-09-02,Leganes,Eibar,2,1,H
2022-09-03,Alaves,Las Palmas,1,1,D
2022-09-03,Villarreal II,Mirandes,3,0,H
2022-09-03,Ponferradina,Sporting Gijon,1,3,A
2022-09-03,Tenerife,Racing Santander,1,0,H
2022-09-04,FC Andorra,Granada CF,1,0,H
2022-09-04,Malaga,Albacete,1,2,A
2022-09-04,Huesca,Ibiza,3,0,H
2022-09-04,Burgos,FC Cartagena,1,0,H
2022-09-04,Zaragoza,Lugo,1,2,A
2022-09-05,Oviedo,Levante,1,1,D
2022-09-09,Las Palmas,Leganes,1,0,H
2022-09-10,Lugo,Alaves,1,2,A
2022-09-10,Burgos,Oviedo,0,0,D
2022-09-10,FC Cartagena,Albacete,2,1,H
2022-09-10,Levante,Villarreal II,4,1,H
2022-09-11,Sporting Gijon,Racing Santander,0,2,A
2022-09-11,Mirandes,FC Andorra,1,1,D
2022-09-11,Ibiza,Tenerife,1,0,H
2022-09-11,Ponferradina,Zaragoza,1,2,A
2022-09-11,Huesca,Malaga,1,0,H
2022-09-12,Eibar,Granada CF,4,0,H
2022-09-16,Levante,FC Cartagena,0,1,A
2022-09-17,Villarreal II,Lugo,3,1,H
2022-09-17,Oviedo,Ibiza,0,1,A
2022-09-17,Granada CF,Mirandes,2,1,H
2022-09-17,FC Andorra,Eibar,2,0,H
2022-09-17,Zaragoza,Sporting Gijon,1,0,H
2022-09-18,Leganes,Burgos,0,0,D
2022-09-18,Alaves,Huesca,2,1,H
2022-09-18,Racing Santander,Las Palmas,0,0,D
2022-09-18,Albacete,Ponferradina,0,1,A
2022-09-19,Tenerife,Malaga,3,1,H
2022-09-23,Sporting Gijon,Ibiza,2,1,H
2022-09-24,Huesca,Leganes,1,0,H
2022-09-24,Mirandes,Zaragoza,2,0,H
2022-09-24,Malaga,Villarreal II,1,1,D
2022-09-24,Ponferradina,Tenerife,2,2,D
2022-09-25,Burgos,Levante,0,0,D
2022-09-25,Lugo,Oviedo,0,0,D
2022-09-25,Eibar,Racing Santander,2,1,H
2022-09-25,Albacete,FC Andorra,1,1,D
2022-09-26,Las Palmas,Granada CF,2,0,H
2022-09-26,FC Cartagena,Alaves,1,1,D
2022-09-30,Tenerife,Sporting Gijon,1,1,D
2022-10-01,Mirandes,Las Palmas,3,3,D
2022-10-01,Racing Santander,Malaga,0,0,D
2022-10-01,FC Andorra,Levante,3,1,H
2022-10-01,Villarreal II,Burgos,0,0,D
2022-10-02,Leganes,Albacete,1,2,A
2022-10-02,Alaves,Ponferradina,3,1,H
2022-10-02,Granada CF,Huesca,0,0,D
2022-10-02,Oviedo,FC Cartagena,1,3,A
2022-10-02,Ibiza,Lugo,3,2,H
