Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2022-04-02,IF Brommapojkarna,Vasteras SK FK,2,1,H
2022-04-02,Jonkopings Sodra,AFC Eskilstuna,2,3,A
2022-04-03,Trelleborg,Utsikten,1,0,H
2022-04-03,Norrby IF,Dalkurd FF,1,0,H
2022-04-03,Ostersunds FK,Skovde AIK,2,3,A
2022-04-04,IK brage,Orebro SK,3,0,H
2022-04-04,Landskrona BoIS,Osters IF,1,3,A
2022-04-05,Orgryte IS,Halmstad,2,2,D
2022-04-09,AFC Eskilstuna,Orgryte IS,4,3,H
2022-04-09,Dalkurd FF,Trelleborg,2,0,H
2022-04-09,Skovde AIK,Landskrona BoIS,2,0,H
2022-04-10,Osters IF,IK brage,1,2,A
2022-04-10,Utsikten,IF Brommapojkarna,3,2,H
2022-04-11,Halmstad,Norrby IF,1,2,A
2022-04-11,Vasteras SK FK,Ostersunds FK,1,1,D
2022-04-12,Orebro SK,Jonkopings Sodra,3,1,H
2022-04-17,Vasteras SK FK,Utsikten,0,3,A
2022-04-17,AFC Eskilstuna,Landskrona BoIS,2,0,H
2022-04-18,IF Brommapojkarna,Skovde AIK,2,2,D
2022-04-18,Norrby IF,Orebro SK,0,2,A
2022-04-18,IK brage,Jonkopings Sodra,1,2,A
2022-04-18,Dalkurd FF,Halmstad,0,1,A
2022-04-18,Orgryte IS,Osters IF,0,1,A
2022-04-19,Trelleborg,Ostersunds FK,1,1,D
2022-04-23,Ostersunds FK,Dalkurd FF,1,0,H
2022-04-23,Jonkopings Sodra,Trelleborg,2,3,A
2022-04-23,Utsikten,AFC Eskilstuna,2,3,A
2022-04-24,Skovde AIK,Norrby IF,2,0,H
2022-04-24,IK brage,IF Brommapojkarna,3,1,H
2022-04-25,Osters IF,Vasteras SK FK,1,1,D
2022-04-25,Landskrona BoIS,Orgryte IS,3,2,H
2022-04-26,Orebro SK,Halmstad,0,2,A
2022-04-30,IF Brommapojkarna,Jonkopings Sodra,2,1,H
2022-04-30,Trelleborg,IK brage,2,2,D
2022-04-30,AFC Eskilstuna,Skovde AIK,1,2,A
2022-05-01,Vasteras SK FK,Orebro SK,2,1,H
2022-05-01,Orgryte IS,Utsikten,0,2,A
2022-05-02,Dalkurd FF,Osters IF,0,3,A
2022-05-02,Norrby IF,Landskrona BoIS,0,0,D
2022-05-03,Halmstad,Ostersunds FK,2,0,H
2022-05-07,IF Brommapojkarna,Trelleborg,4,2,H
2022-05-07,AFC Eskilstuna,Vasteras SK FK,5,2,H
2022-05-07,Osters IF,Norrby IF,2,0,H
2022-05-08,IK brage,Orgryte IS,4,0,H
2022-05-08,Utsikten,Dalkurd FF,3,0,H
2022-05-09,Orebro SK,Ostersunds FK,1,0,H
2022-05-09,Skovde AIK,Halmstad,1,3,A
2022-05-10,Jonkopings Sodra,Landskrona BoIS,2,4,A
2022-05-13,Dalkurd FF,Skovde AIK,3,1,H
2022-05-14,Orebro SK,Osters IF,2,1,H
2022-05-14,Trelleborg,Vasteras SK FK,3,0,H
2022-05-14,Jonkopings Sodra,Utsikten,5,2,H
2022-05-14,Halmstad,AFC Eskilstuna,2,1,H
2022-05-14,Norrby IF,Orgryte IS,1,1,D
2022-05-15,Landskrona BoIS,IF Brommapojkarna,3,3,D
2022-05-15,Ostersunds FK,IK brage,1,3,A
2022-05-18,Orgryte IS,Trelleborg,1,2,A
2022-05-18,Vasteras SK FK,Jonkopings Sodra,2,2,D
2022-05-18,Skovde AIK,Orebro SK,0,0,D
2022-05-18,Utsikten,Landskrona BoIS,2,2,D
