Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
30/03/2024,Norrkoping,Malmo FF,1,5,A,5.84,4.42,1.56
31/03/2024,GAIS,Brommapojkarna,0,4,A,2.51,3.46,2.89
31/03/2024,Hammarby,Kalmar,3,1,H,1.89,3.67,4.28
31/03/2024,Hacken,Mjallby,0,1,A,1.79,3.88,4.59
01/04/2024,Goteborg,Djurgarden,1,4,A,3.49,3.27,2.27
01/04/2024,Sirius,Halmstad,3,0,H,1.74,3.93,4.87
01/04/2024,AIK,Vasteras SK,1,0,H,1.55,4.28,6.25
01/04/2024,Elfsborg,Varnamo,2,2,D,1.49,4.66,6.57
06/04/2024,Brommapojkarna,AIK,2,2,D,3.51,3.46,2.17
06/04/2024,Mjallby,Norrkoping,3,0,H,2.21,3.26,3.63
07/04/2024,Halmstad,Goteborg,1,0,H,2.82,3.33,2.64
07/04/2024,Malmo FF,Hammarby,2,0,H,1.41,4.92,8.07
07/04/2024,Vasteras SK,Elfsborg,0,1,A,3.22,3.45,2.31
08/04/2024,Kalmar,Sirius,1,2,A,2.5,3.41,2.95
08/04/2024,Varnamo,GAIS,1,2,A,2.82,3.39,2.6
08/04/2024,Djurgarden,Hacken,3,3,D,1.86,3.91,4.12
13/04/2024,Mjallby,AIK,1,1,D,2.62,3.1,3.03
13/04/2024,Vasteras SK,Halmstad,0,1,A,1.71,3.89,5.11
14/04/2024,Kalmar,Goteborg,0,1,A,2.66,3.23,2.88
14/04/2024,Norrkoping,GAIS,1,0,H,2.29,3.63,3.12
14/04/2024,Djurgarden,Sirius,2,0,H,1.7,4.19,4.76
15/04/2024,Hacken,Brommapojkarna,4,3,H,1.65,4.6,4.67
15/04/2024,Varnamo,Malmo FF,0,4,A,8.92,5.42,1.35
15/04/2024,Hammarby,Elfsborg,3,0,H,2.54,3.45,2.86
20/04/2024,Goteborg,Norrkoping,1,1,D,1.62,4.15,5.56
20/04/2024,Sirius,Varnamo,0,1,A,1.59,4.31,5.71
20/04/2024,Malmo FF,Vasteras SK,1,0,H,1.24,6.61,12
21/04/2024,AIK,Djurgarden,2,0,H,2.81,3.14,2.79
21/04/2024,GAIS,Mjallby,2,1,H,3.39,3.32,2.29
21/04/2024,Hacken,Hammarby,2,1,H,1.87,4.03,3.95
21/04/2024,Halmstad,Brommapojkarna,0,2,A,3.72,3.67,2.03
22/04/2024,Elfsborg,Kalmar,1,2,A,1.65,3.92,5.62
24/04/2024,AIK,Varnamo,2,0,H,1.56,4.07,6.67
24/04/2024,Brommapojkarna,Sirius,1,1,D,2.32,3.65,3.05
24/04/2024,Goteborg,Hacken,0,1,A,2.56,3.67,2.7
25/04/2024,Djurgarden,Malmo FF,0,1,A,2.83,3.44,2.57
25/04/2024,Halmstad,Hammarby,2,1,H,4,3.72,1.93
25/04/2024,Kalmar,GAIS,2,3,A,2.26,3.31,3.46
