Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSH,PSD,PSA
19/07/2019,Sion,Basel,1,4,A,5.29,4.38,1.61
20/07/2019,St. Gallen,Luzern,0,2,A,3.11,3.78,2.23
20/07/2019,Thun,Xamax,2,2,D,2.26,3.62,3.16
21/07/2019,Young Boys,Servette,1,1,D,1.41,5.35,6.84
21/07/2019,Zurich,Lugano,0,4,A,2.73,3.52,2.6
27/07/2019,Basel,St. Gallen,1,2,A,1.34,5.4,8.83
27/07/2019,Servette,Sion,0,0,D,1.72,4.2,4.6
28/07/2019,Lugano,Thun,0,0,D,1.87,3.62,4.49
28/07/2019,Luzern,Zurich,0,0,D,1.88,3.76,4.18
28/07/2019,Xamax,Young Boys,0,1,A,5.99,4.95,1.49
03/08/2019,Sion,Zurich,3,1,H,2.36,3.44,3.12
03/08/2019,Thun,Basel,2,3,A,5.52,4.51,1.57
04/08/2019,Servette,Luzern,1,0,H,1.94,4,3.71
04/08/2019,Xamax,St. Gallen,1,1,D,2.7,3.56,2.61
04/08/2019,Young Boys,Lugano,2,0,H,1.64,4.01,5.58
10/08/2019,Basel,Servette,3,1,H,2.04,3.92,3.47
10/08/2019,St. Gallen,Young Boys,2,3,A,5.04,4.39,1.63
11/08/2019,Lugano,Sion,0,1,A,2,3.55,3.97
11/08/2019,Luzern,Thun,0,2,A,2.04,3.57,3.78
11/08/2019,Zurich,Xamax,2,2,D,2.03,3.72,3.66
14/08/2019,Zurich,St. Gallen,2,1,H,2.16,3.83,3.22
24/08/2019,Xamax,Basel,0,3,A,5.99,4.67,1.52
24/08/2019,Young Boys,Zurich,4,0,H,1.42,5.12,7.01
25/08/2019,Sion,Luzern,2,1,H,2.57,3.66,2.69
25/08/2019,St. Gallen,Lugano,3,2,H,3.09,3.5,2.35
25/08/2019,Thun,Servette,0,4,A,3.1,3.89,2.2
31/08/2019,Servette,Xamax,2,2,D,1.57,4.48,5.51
01/09/2019,Basel,Lugano,2,1,H,1.56,4.19,6.24
01/09/2019,Luzern,Young Boys,2,2,D,5.6,4.59,1.56
01/09/2019,Thun,Sion,0,1,A,2.6,3.54,2.72
21/09/2019,St. Gallen,Servette,3,1,H,2.76,3.72,2.48
21/09/2019,Xamax,Sion,1,3,A,2.88,3.55,2.47
22/09/2019,Lugano,Luzern,1,1,D,2.35,3.5,3.09
22/09/2019,Young Boys,Basel,1,1,D,1.97,3.95,3.66
22/09/2019,Zurich,Thun,2,0,H,2.02,3.71,3.72
25/09/2019,Basel,Zurich,4,0,H,1.36,5.55,7.98
25/09/2019,Sion,St. Gallen,1,2,A,2.12,3.57,3.53
25/09/2019,Thun,Young Boys,1,1,D,6.19,4.76,1.5
26/09/2019,Luzern,Xamax,1,0,H,1.79,3.81,4.65
26/09/2019,Servette,Lugano,0,0,D,2.2,3.53,3.37
28/09/2019,St. Gallen,Thun,4,0,H,2.19,3.8,3.17
28/09/2019,Young Boys,Sion,3,2,H,1.32,5.63,9.29
29/09/2019,Basel,Luzern,3,0,H,1.44,4.72,7.3
29/09/2019,Lugano,Xamax,0,1,A,1.85,3.55,4.68
29/09/2019,Servette,Zurich,0,1,A,1.98,3.76,3.84
05/10/2019,Thun,Luzern,0,2,A,2.92,3.43,2.5
05/10/2019,Xamax,Servette,2,2,D,2.86,3.48,2.51
06/10/2019,Sion,Lugano,1,2,A,2.74,3.37,2.68
06/10/2019,St. Gallen,Basel,0,0,D,4.15,4.07,1.82
06/10/2019,Zurich,Young Boys,0,4,A,5.02,4.46,1.63
19/10/2019,Basel,Thun,3,1,H,1.36,5.08,8.9
19/10/2019,Young Boys,Xamax,4,1,H,1.23,6.56,12.71
20/10/2019,Lugano,Zurich,0,0,D,1.97,3.66,3.96
20/10/2019,Luzern,Sion,3,1,H,1.88,3.8,4.14
