Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2020-09-11,Menemen FK,Altnordu,0,2,A
2020-09-12,Ankaraspor,Eskisehirspor,1,0,H
2020-09-12,Boluspor,Keciorengucu,0,1,A
2020-09-12,Umraniyespor,Bandrmaspor,2,1,H
2020-09-13,Bursaspor,Adana Demirspor,1,3,A
2020-09-13,Adanaspor,Istanbulspor,1,0,H
2020-09-13,Altay,Samsunspor,0,0,D
2020-09-14,Akhisarspor,Beykoz Anadolu,0,0,D
2020-09-14,Balkesirspor,Giresunspor,3,1,H
2020-09-18,Eskisehirspor,Adanaspor,0,0,D
2020-09-19,Bandrmaspor,Akhisarspor,1,0,H
2020-09-19,Beykoz Anadolu,Balkesirspor,1,0,H
2020-09-19,Altnordu,Bursaspor,0,2,A
2020-09-20,Keciorengucu,Ankaraspor,2,0,H
2020-09-20,Istanbulspor,Altay,2,1,H
2020-09-20,Giresunspor,Menemen FK,1,1,D
2020-09-21,Adana Demirspor,Boluspor,1,1,D
2020-09-21,Samsunspor,Umraniyespor,3,0,H
2020-09-25,Adanaspor,Keciorengucu,0,0,D
2020-09-26,Umraniyespor,Istanbulspor,1,3,A
2020-09-26,Akhisarspor,Balkesirspor,2,0,H
2020-09-26,Bursaspor,Giresunspor,1,2,A
2020-09-27,Bandrmaspor,Samsunspor,2,2,D
2020-09-27,Ankaraspor,Adana Demirspor,1,3,A
2020-09-27,Altay,Eskisehirspor,6,0,H
2020-09-28,Boluspor,Altnordu,1,2,A
2020-09-28,Menemen FK,Beykoz Anadolu,2,5,A
2020-10-02,Istanbulspor,Bandrmaspor,2,1,H
2020-10-03,Keciorengucu,Altay,0,1,A
2020-10-03,Beykoz Anadolu,Bursaspor,3,3,D
2020-10-03,Giresunspor,Boluspor,2,1,H
2020-10-03,Altnordu,Ankaraspor,2,0,H
2020-10-04,Eskisehirspor,Umraniyespor,1,1,D
2020-10-04,Balkesirspor,Menemen FK,2,1,H
2020-10-04,Samsunspor,Akhisarspor,1,0,H
