Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2021-07-23,Lviv,FC Mariupol,1,1,D
2021-07-24,Veres Rivne,Kolos Kovalivka,0,0,D
2021-07-24,Shakhtar Donetsk,Inhulets,2,1,H
2021-07-25,Metalist 1925 Kharkiv,Rukh Vynnyky,2,1,H
2021-07-25,Zorya Luhansk,Oleksandria,0,1,A
2021-07-25,Desna,Chornomorets,3,0,H
2021-07-26,Vorskla Poltava,Dnipro-1,2,2,D
2021-07-30,Lviv,Shakhtar Donetsk,0,3,A
2021-07-30,Kolos Kovalivka,Metalist 1925 Kharkiv,1,0,H
2021-07-31,Minai,Oleksandria,1,0,H
2021-07-31,Chornomorets,Dnipro-1,0,3,A
2021-08-01,FC Mariupol,Desna,1,2,A
2021-08-01,Dynamo Kyiv,Veres Rivne,4,0,H
2021-08-01,Vorskla Poltava,Rukh Vynnyky,2,0,H
2021-08-02,Inhulets,Zorya Luhansk,1,5,A
2021-08-06,Metalist 1925 Kharkiv,Chornomorets,3,2,H
2021-08-07,Rukh Vynnyky,Veres Rivne,2,1,H
2021-08-07,Shakhtar Donetsk,Oleksandria,1,2,A
2021-08-07,Dnipro-1,FC Mariupol,2,1,H
2021-08-08,Zorya Luhansk,Dynamo Kyiv,1,2,A
2021-08-08,Vorskla Poltava,Lviv,4,1,H
2021-08-09,Desna,Inhulets,2,0,H
2021-08-11,Dynamo Kyiv,Minai,2,0,H
2021-08-13,Shakhtar Donetsk,Metalist 1925 Kharkiv,2,0,H
2021-08-14,Veres Rivne,Vorskla Poltava,1,1,D
2021-08-14,Zorya Luhansk,Minai,1,1,D
2021-08-14,Desna,Dnipro-1,2,1,H
2021-08-15,Kolos Kovalivka,Rukh Vynnyky,1,1,D
2021-08-15,Lviv,Oleksandria,1,1,D
2021-08-16,FC Mariupol,Chornomorets,2,3,A
2021-08-18,Inhulets,Dynamo Kyiv,1,1,D
2021-08-20,Vorskla Poltava,Metalist 1925 Kharkiv,2,0,H
2021-08-21,Veres Rivne,Minai,1,0,H
2021-08-21,Chornomorets,Shakhtar Donetsk,0,3,A
2021-08-21,Dnipro-1,Rukh Vynnyky,2,0,H
2021-08-22,FC Mariupol,Zorya Luhansk,3,4,A
2021-08-22,Kolos Kovalivka,Oleksandria,0,1,A
2021-08-22,Dynamo Kyiv,Desna,4,0,H
2021-08-23,Lviv,Inhulets,1,2,A
2021-08-27,Chornomorets,Oleksandria,2,2,D
2021-08-28,Inhulets,FC Mariupol,3,0,H
2021-08-28,Metalist 1925 Kharkiv,Dnipro-1,1,2,A
2021-08-28,Dynamo Kyiv,Kolos Kovalivka,7,0,H
2021-08-29,Desna,Veres Rivne,0,4,A
2021-08-29,Minai,Shakhtar Donetsk,1,1,D
2021-08-29,Zorya Luhansk,Vorskla Poltava,1,0,H
2021-08-29,Rukh Vynnyky,Lviv,1,0,H
2021-09-10,Oleksandria,Inhulets,1,0,H
2021-09-11,Rukh Vynnyky,Zorya Luhansk,1,1,D
