Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2023-08-11,The New Saints,GAP Connah S Quay FC,6,2,H
2023-08-11,Haverfordwest County AFC,Pontypridd Town,0,0,D
2023-08-12,Aberystwyth Town,Cardiff MET,0,1,A
2023-08-12,Bala Town,Barry Town,1,0,H
2023-08-12,Newtown AFC,Penybont,1,3,A
2023-08-13,Colwyn Bay,Caernarfon Town,0,4,A
2023-08-18,Caernarfon Town,Newtown AFC,2,1,H
2023-08-18,GAP Connah S Quay FC,Aberystwyth Town,4,0,H
2023-08-18,Penybont,Haverfordwest County AFC,2,0,H
2023-08-19,Cardiff MET,Bala Town,0,0,D
2023-08-19,Pontypridd Town,The New Saints,0,1,A
2023-08-19,Barry Town,Colwyn Bay,1,1,D
2023-08-25,Bala Town,GAP Connah S Quay FC,1,0,H
2023-08-25,Pontypridd Town,Penybont,0,0,D
2023-08-26,Cardiff MET,Colwyn Bay,1,0,H
2023-08-26,The New Saints,Barry Town,2,2,D
2023-08-26,Haverfordwest County AFC,Caernarfon Town,1,1,D
2023-08-26,Newtown AFC,Aberystwyth Town,0,0,D
2023-08-29,Caernarfon Town,Bala Town,1,1,D
2023-08-29,GAP Connah S Quay FC,Newtown AFC,3,1,H
2023-08-29,Barry Town,Haverfordwest County AFC,2,2,D
2023-08-29,Penybont,Cardiff MET,0,0,D
2023-08-29,Colwyn Bay,The New Saints,0,1,A
2023-08-29,Aberystwyth Town,Pontypridd Town,0,1,A
2023-09-01,The New Saints,Aberystwyth Town,6,0,H
2023-09-01,Caernarfon Town,GAP Connah S Quay FC,0,4,A
2023-09-01,Newtown AFC,Cardiff MET,2,1,H
2023-09-02,Bala Town,Penybont,2,1,H
2023-09-02,Pontypridd Town,Barry Town,1,0,H
2023-09-02,Colwyn Bay,Haverfordwest County AFC,1,2,A
2023-09-08,Cardiff MET,Pontypridd Town,2,0,H
2023-09-09,Aberystwyth Town,Caernarfon Town,2,4,A
2023-09-09,Barry Town,GAP Connah S Quay FC,1,4,A
2023-09-09,Penybont,Colwyn Bay,0,1,A
2023-09-09,Haverfordwest County AFC,Newtown AFC,0,4,A
2023-09-13,Bala Town,The New Saints,0,0,D
2023-09-15,Colwyn Bay,Aberystwyth Town,3,1,H
2023-09-16,The New Saints,Haverfordwest County AFC,5,1,H
2023-09-16,GAP Connah S Quay FC,Cardiff MET,4,0,H
2023-09-16,Newtown AFC,Barry Town,2,0,H
2023-09-16,Penybont,Caernarfon Town,3,2,H
2023-09-16,Pontypridd Town,Bala Town,0,0,D
2023-09-22,Cardiff MET,The New Saints,1,5,A
2023-09-22,Aberystwyth Town,Penybont,1,2,A
2023-09-23,Barry Town,Bala Town,3,1,H
2023-09-23,Haverfordwest County AFC,GAP Connah S Quay FC,1,3,A
2023-09-23,Colwyn Bay,Newtown AFC,2,4,A
2023-09-23,Caernarfon Town,Pontypridd Town,1,0,H
2023-09-26,Cardiff MET,Haverfordwest County AFC,1,1,D
2023-09-26,Caernarfon Town,The New Saints,1,3,A
2023-09-26,GAP Connah S Quay FC,Colwyn Bay,2,1,H
2023-09-26,Penybont,Barry Town,1,0,H
2023-09-26,Pontypridd Town,Newtown AFC,0,1,A
2023-09-27,Bala Town,Aberystwyth Town,0,1,A
2023-09-30,The New Saints,Pontypridd Town,4,0,H
2023-09-30,Newtown AFC,Bala Town,1,0,H
2023-09-30,Barry Town,Caernarfon Town,0,3,A
2023-09-30,Haverfordwest County AFC,Aberystwyth Town,3,0,H
2023-09-30,Colwyn Bay,Cardiff MET,2,2,D
2023-09-30,GAP Connah S Quay FC,Penybont,4,2,H
2023-10-06,Cardiff MET,Barry Town,2,1,H
2023-10-06,Aberystwyth Town,GAP Connah S Quay FC,1,1,D
2023-10-07,Bala Town,Colwyn Bay,2,1,H
2023-10-07,Newtown AFC,Caernarfon Town,4,0,H
2023-10-07,Penybont,The New Saints,1,4,A
2023-10-07,Pontypridd Town,Haverfordwest County AFC,2,0,H
2023-10-17,Cardiff MET,Newtown AFC,2,1,H
2023-10-17,Caernarfon Town,Aberystwyth Town,3,0,H
2023-10-17,Barry Town,Pontypridd Town,2,0,H
2023-10-17,Haverfordwest County AFC,Penybont,3,2,H
2023-10-18,GAP Connah S Quay FC,Bala Town,1,1,D
2023-10-21,Bala Town,Haverfordwest County AFC,2,0,H
2023-10-21,Caernarfon Town,Cardiff MET,5,1,H
2023-10-21,Barry Town,The New Saints,2,6,A
2023-10-21,Pontypridd Town,GAP Connah S Quay FC,0,3,A
2023-10-27,GAP Connah S Quay FC,Caernarfon Town,6,1,H
2023-10-27,Penybont,Aberystwyth Town,0,2,A
2023-10-28,Newtown AFC,Haverfordwest County AFC,1,1,D
2023-10-28,Pontypridd Town,Cardiff MET,1,3,A
2023-10-28,Colwyn Bay,Barry Town,0,1,A
2023-10-28,The New Saints,Bala Town,2,0,H
2023-10-31,The New Saints,Colwyn Bay,6,1,H
2023-11-04,Bala Town,Pontypridd Town,0,0,D
2023-11-04,Cardiff MET,GAP Connah S Quay FC,3,1,H
2023-11-04,Caernarfon Town,Penybont,2,4,A
2023-11-04,Newtown AFC,The New Saints,0,2,A
2023-11-04,Barry Town,Aberystwyth Town,0,1,A
2023-11-04,Haverfordwest County AFC,Colwyn Bay,5,0,H
2023-11-14,Aberystwyth Town,Newtown AFC,0,1,A
2023-11-17,Aberystwyth Town,Bala Town,2,3,A
2023-11-19,Caernarfon Town,Barry Town,2,3,A
2023-11-19,GAP Connah S Quay FC,Haverfordwest County AFC,1,2,A
2023-11-19,Penybont,Newtown AFC,1,1,D
2023-11-19,Pontypridd Town,Colwyn Bay,0,3,A
2023-11-25,Colwyn Bay,Penybont,2,1,H
2023-11-28,Bala Town,Caernarfon Town,1,1,D
2023-11-28,Newtown AFC,Pontypridd Town,3,1,H
2023-11-28,Barry Town,Penybont,1,1,D
2023-11-28,Haverfordwest County AFC,Cardiff MET,1,1,D
2023-11-28,Aberystwyth Town,The New Saints,1,3,A
2023-11-29,Colwyn Bay,GAP Connah S Quay FC,2,3,A
2023-12-02,Cardiff MET,Aberystwyth Town,4,2,H
2023-12-02,GAP Connah S Quay FC,Barry Town,7,0,H
2023-12-02,Newtown AFC,Colwyn Bay,4,2,H
2023-12-02,Pontypridd Town,Caernarfon Town,1,2,A
2023-12-02,Penybont,Bala Town,0,2,A
2023-12-16,The New Saints,Penybont,3,0,H
2023-12-16,Caernarfon Town,Haverfordwest County AFC,0,1,A
2023-12-16,GAP Connah S Quay FC,Pontypridd Town,3,1,H
2023-12-16,Bala Town,Cardiff MET,0,1,A
2023-12-23,Haverfordwest County AFC,The New Saints,0,1,A
2023-12-26,Cardiff MET,Penybont,0,3,A
2023-12-26,The New Saints,Caernarfon Town,2,1,H
2023-12-26,Newtown AFC,GAP Connah S Quay FC,1,2,A
2023-12-26,Pontypridd Town,Aberystwyth Town,2,0,H
2023-12-26,Haverfordwest County AFC,Barry Town,2,0,H
2023-12-26,Colwyn Bay,Bala Town,2,3,A
2023-12-30,Aberystwyth Town,Haverfordwest County AFC,1,1,D
2023-12-30,Bala Town,Newtown AFC,2,1,H
2023-12-30,Barry Town,Cardiff MET,0,0,D
2023-12-31,Caernarfon Town,Colwyn Bay,2,1,H
2023-12-31,GAP Connah S Quay FC,The New Saints,0,4,A
2023-12-31,Penybont,Pontypridd Town,1,0,H
2024-01-05,Aberystwyth Town,Colwyn Bay,1,0,H
2024-01-06,The New Saints,Cardiff MET,8,0,H
2024-01-06,Barry Town,Newtown AFC,4,0,H
2024-01-13,Aberystwyth Town,Barry Town,2,4,A
2024-01-13,Cardiff MET,Caernarfon Town,2,2,D
2024-01-13,The New Saints,Newtown AFC,3,1,H
2024-01-13,Penybont,GAP Connah S Quay FC,0,1,A
2024-01-13,Haverfordwest County AFC,Bala Town,2,3,A
2024-01-13,Colwyn Bay,Pontypridd Town,2,3,A
2024-02-02,GAP Connah S Quay FC,Caernarfon Town,1,1,D
2024-02-02,Aberystwyth Town,Haverfordwest County AFC,1,0,H
2024-02-03,Barry Town,Pontypridd Town,0,3,A
2024-02-03,Bala Town,Cardiff MET,1,1,D
2024-02-03,Colwyn Bay,Penybont,1,2,A
2024-02-06,The New Saints,Newtown AFC,3,0,H
2024-02-09,Bala Town,The New Saints,0,1,A
2024-02-09,Haverfordwest County AFC,Pontypridd Town,1,1,D
2024-02-09,Aberystwyth Town,Colwyn Bay,0,1,A
2024-02-10,Penybont,Barry Town,2,2,D
2024-02-10,Cardiff MET,Caernarfon Town,2,2,D
2024-02-10,Newtown AFC,GAP Connah S Quay FC,2,3,A
2024-02-23,Caernarfon Town,The New Saints,1,8,A
2024-02-23,Barry Town,Haverfordwest County AFC,1,1,D
2024-02-23,Penybont,Aberystwyth Town,1,1,D
2024-02-24,Pontypridd Town,Colwyn Bay,4,0,H
2024-02-24,Newtown AFC,Bala Town,1,5,A
2024-02-24,GAP Connah S Quay FC,Cardiff MET,2,1,H
2024-03-01,Bala Town,GAP Connah S Quay FC,1,0,H
2024-03-01,Caernarfon Town,Newtown AFC,1,0,H
2024-03-02,Colwyn Bay,Haverfordwest County AFC,0,0,D
2024-03-02,The New Saints,Cardiff MET,4,0,H
2024-03-02,Aberystwyth Town,Barry Town,1,1,D
2024-03-02,Penybont,Pontypridd Town,0,1,A
2024-03-08,Bala Town,Caernarfon Town,1,1,D
2024-03-08,GAP Connah S Quay FC,The New Saints,1,5,A
2024-03-08,Haverfordwest County AFC,Penybont,0,1,A
2024-03-09,Newtown AFC,Cardiff MET,2,0,H
2024-03-09,Barry Town,Colwyn Bay,1,1,D
2024-03-15,Caernarfon Town,GAP Connah S Quay FC,2,1,H
2024-03-15,Haverfordwest County AFC,Aberystwyth Town,2,0,H
2024-03-16,Cardiff MET,Bala Town,0,1,A
2024-03-16,Newtown AFC,The New Saints,0,1,A
2024-03-16,Penybont,Colwyn Bay,5,0,H
2024-03-16,Pontypridd Town,Barry Town,1,1,D
2024-03-23,Caernarfon Town,Cardiff MET,1,2,A
2024-03-29,GAP Connah S Quay FC,Newtown AFC,0,0,D
2024-03-29,Barry Town,Penybont,0,0,D
2024-03-29,Pontypridd Town,Haverfordwest County AFC,0,1,A
2024-03-29,Colwyn Bay,Aberystwyth Town,1,2,A
2024-04-05,Bala Town,Newtown AFC,1,1,D
2024-04-05,The New Saints,Caernarfon Town,7,1,H
2024-04-05,Haverfordwest County AFC,Barry Town,2,1,H
2024-04-06,Cardiff MET,GAP Connah S Quay FC,0,3,A
2024-04-06,Colwyn Bay,Pontypridd Town,1,0,H
2024-04-06,Aberystwyth Town,Penybont,0,3,A
2024-04-09,The New Saints,Bala Town,4,1,H
2024-04-09,Pontypridd Town,Aberystwyth Town,0,0,D
2024-04-12,GAP Connah S Quay FC,Bala Town,0,0,D
2024-04-13,Haverfordwest County AFC,Colwyn Bay,3,1,H
2024-04-13,Cardiff MET,The New Saints,0,5,A
2024-04-13,Newtown AFC,Caernarfon Town,5,0,H
2024-04-13,Barry Town,Aberystwyth Town,2,1,H
2024-04-13,Pontypridd Town,Penybont,0,3,A
2024-04-21,Aberystwyth Town,Pontypridd Town,3,0,H
2024-04-21,Cardiff MET,Newtown AFC,1,3,A
2024-04-21,The New Saints,GAP Connah S Quay FC,2,0,H
2024-04-21,Caernarfon Town,Bala Town,2,2,D
2024-04-21,Penybont,Haverfordwest County AFC,1,0,H
2024-04-21,Colwyn Bay,Barry Town,1,0,H
2024-05-10,Caernarfon Town,Cardiff MET,2,0,H
2024-05-11,Newtown AFC,Penybont,0,5,A
2024-05-18,Caernarfon Town,Penybont,3,1,H
