fixture_id,date,home_team,away_team,home_xg,away_xg,league,season
1563083,2026-08-14,Wolves,Blackburn,2.04,0.82,Championship,2026
1563084,2026-08-15,Bolton,Preston,1.1,0.81,Championship,2026
1563085,2026-08-15,Bristol City,Millwall,0.5,3.0,Championship,2026
1563087,2026-08-15,Middlesbrough,Lincoln,2.22,0.62,Championship,2026
1563088,2026-08-15,Norwich,West Brom,2.72,1.45,Championship,2026
1563090,2026-08-15,Stoke City,Swansea,0.63,0.61,Championship,2026
1563086,2026-08-15,Charlton,Derby,1.07,1.01,Championship,2026
1563089,2026-08-15,Portsmouth,QPR,2.0,2.04,Championship,2026
1563091,2026-08-15,Sheffield Utd,Birmingham,0.36,0.65,Championship,2026
1563092,2026-08-16,Watford,Southampton,0.83,1.65,Championship,2026
1563093,2026-08-16,Burnley,West Ham,2.1,1.21,Championship,2026
1563083,2026-08-14,Wolves,Blackburn,2.04,0.82,Championship,2026
1563084,2026-08-15,Bolton,Preston,1.1,1.12,Championship,2026
1563085,2026-08-15,Bristol City,Millwall,0.52,3.4,Championship,2026
1563087,2026-08-15,Middlesbrough,Lincoln,2.23,0.57,Championship,2026
1563088,2026-08-15,Norwich,West Brom,2.96,1.85,Championship,2026
1563090,2026-08-15,Stoke City,Swansea,0.65,0.62,Championship,2026
1563086,2026-08-15,Charlton,Derby,0.97,1.0,Championship,2026
1563089,2026-08-15,Portsmouth,QPR,2.17,2.07,Championship,2026
1563091,2026-08-15,Sheffield Utd,Birmingham,0.29,0.77,Championship,2026
1563092,2026-08-16,Watford,Southampton,0.81,1.71,Championship,2026
1563093,2026-08-16,Burnley,West Ham,2.33,1.33,Championship,2026
1563094,2026-08-17,Cardiff,Wrexham,0.9,1.43,Championship,2026
1563095,2026-08-22,Birmingham,Bristol City,1.98,1.43,Championship,2026
1563099,2026-08-22,Millwall,Norwich,2.61,1.12,Championship,2026
1563098,2026-08-22,Lincoln,Portsmouth,2.29,1.15,Championship,2026
1563102,2026-08-22,Southampton,Stoke City,2.32,0.67,Championship,2026
1563105,2026-08-22,West Ham,Charlton,2.96,0.57,Championship,2026
1563100,2026-08-22,Preston,Wolves,0.66,1.54,Championship,2026
1563096,2026-08-22,Blackburn,Middlesbrough,0.95,1.36,Championship,2026
1563097,2026-08-22,Derby,Cardiff,1.62,1.98,Championship,2026
1563101,2026-08-22,QPR,Bolton,1.94,0.13,Championship,2026
1563103,2026-08-22,Swansea,Sheffield Utd,0.64,1.75,Championship,2026
1563106,2026-08-22,Wrexham,Watford,1.58,0.49,Championship,2026
1563104,2026-08-23,West Brom,Burnley,1.64,1.15,Championship,2026
