fixture_id,date,home_team,away_team,home_xg,away_xg,league,season
1451357,2025-10-02,Jagiellonia,Hamrun Spartans,1.56,0.58,ECL,2025
1451356,2025-10-02,Lech Poznan,Rapid Vienna,2.85,0.66,ECL,2025
1451358,2025-10-02,Dynamo Kyiv,Crystal Palace,0.53,1.96,ECL,2025
1451354,2025-10-02,Zrinjski,Lincoln Red Imps FC,3.37,0.46,ECL,2025
1451361,2025-10-02,Rayo Vallecano,Shkendija,2.01,0.02,ECL,2025
1452158,2025-10-02,Lausanne,Breidablik,1.93,0.97,ECL,2025
1451359,2025-10-02,KuPS,Drita,0.64,0.9,ECL,2025
1451355,2025-10-02,Omonia Nicosia,FSV Mainz 05,0.24,1.59,ECL,2025
1451360,2025-10-02,FC Noah,HNK Rijeka,1.18,0.15,ECL,2025
1451363,2025-10-02,Aberdeen,Shakhtar Donetsk,1.97,1.32,ECL,2025
1451364,2025-10-02,Legia Warszawa,Samsunspor,1.13,0.76,ECL,2025
1451365,2025-10-02,Fiorentina,Sigma Olomouc,1.77,0.36,ECL,2025
1451367,2025-10-02,AEK Larnaca,AZ Alkmaar,2.9,0.48,ECL,2025
1451369,2025-10-02,Sparta Praha,Shamrock Rovers,3.21,0.09,ECL,2025
1452159,2025-10-02,Slovan Bratislava,Strasbourg,2.13,1.14,ECL,2025
1451366,2025-10-02,Raków Częstochowa,Universitatea Craiova,1.6,0.14,ECL,2025
1451362,2025-10-02,Shelbourne,BK Hacken,0.32,0.94,ECL,2025
1451368,2025-10-02,Celje,AEK Athens FC,2.94,1.1,ECL,2025
1451373,2025-10-23,Strasbourg,Jagiellonia,2.57,0.85,ECL,2025
1451378,2025-10-23,AZ Alkmaar,Slovan Bratislava,3.34,0.17,ECL,2025
1451370,2025-10-23,Breidablik,KuPS,1.86,1.05,ECL,2025
1451371,2025-10-23,BK Hacken,Rayo Vallecano,1.97,1.66,ECL,2025
1451376,2025-10-23,Shakhtar Donetsk,Legia Warszawa,0.49,0.97,ECL,2025
1452160,2025-10-23,AEK Athens FC,Aberdeen,5.13,0.45,ECL,2025
1451375,2025-10-23,Shkendija,Shelbourne,0.46,0.51,ECL,2025
1451374,2025-10-23,Rapid Vienna,Fiorentina,0.66,1.64,ECL,2025
1451377,2025-10-23,Drita,Omonia Nicosia,0.24,1.15,ECL,2025
1451385,2025-10-23,Crystal Palace,AEK Larnaca,1.66,0.17,ECL,2025
1451383,2025-10-23,FSV Mainz 05,Zrinjski,2.62,0.05,ECL,2025
1451381,2025-10-23,Universitatea Craiova,FC Noah,0.64,1.37,ECL,2025
1451386,2025-10-23,Shamrock Rovers,Celje,0.83,2.08,ECL,2025
1451379,2025-10-23,Lincoln Red Imps FC,Lech Poznan,1.03,2.89,ECL,2025
1451380,2025-10-23,Sigma Olomouc,Raków Częstochowa,0.28,1.19,ECL,2025
1451382,2025-10-23,Samsunspor,Dynamo Kyiv,2.5,0.73,ECL,2025
1451384,2025-10-23,Hamrun Spartans,Lausanne,1.83,1.03,ECL,2025
1451372,2025-10-24,HNK Rijeka,Sparta Praha,0.6,0.72,ECL,2025
1451394,2025-11-06,FSV Mainz 05,Fiorentina,1.97,1.76,ECL,2025
1451388,2025-11-06,Shakhtar Donetsk,Breidablik,1.21,0.45,ECL,2025
1451387,2025-11-06,AEK Athens FC,Shamrock Rovers,3.2,0.79,ECL,2025
1451392,2025-11-06,AEK Larnaca,Aberdeen,0.56,0.83,ECL,2025
1451390,2025-11-06,Sparta Praha,Raków Częstochowa,0.82,0.32,ECL,2025
