fixture_id,date,home_team,away_team,home_xg,away_xg,league,season
1380867,2025-08-08,Fortuna Sittard,GO Ahead Eagles,2.34,1.17,Eredivisie,2025
1380868,2025-08-09,NEC Nijmegen,Excelsior,2.48,1.03,Eredivisie,2025
1380869,2025-08-09,Feyenoord,NAC Breda,2.44,0.25,Eredivisie,2025
1380870,2025-08-09,Heerenveen,FC Volendam,1.52,0.79,Eredivisie,2025
1380871,2025-08-09,PSV Eindhoven,Sparta Rotterdam,1.73,1.21,Eredivisie,2025
1380872,2025-08-10,PEC Zwolle,Twente,0.88,1.17,Eredivisie,2025
1380873,2025-08-10,Ajax,Telstar,1.68,1.26,Eredivisie,2025
1380874,2025-08-10,AZ Alkmaar,Groningen,1.56,1.5,Eredivisie,2025
1380875,2025-08-10,Utrecht,Heracles,2.34,0.88,Eredivisie,2025
1380876,2025-08-15,Telstar,PEC Zwolle,0.85,2.36,Eredivisie,2025
1380878,2025-08-16,Excelsior,Feyenoord,1.07,2.52,Eredivisie,2025
1380879,2025-08-16,Heracles,NEC Nijmegen,1.33,3.05,Eredivisie,2025
1380877,2025-08-16,Groningen,Heerenveen,0.8,2.16,Eredivisie,2025
1380880,2025-08-17,GO Ahead Eagles,Ajax,0.66,1.77,Eredivisie,2025
1380882,2025-08-17,Twente,PSV Eindhoven,0.91,1.72,Eredivisie,2025
1380881,2025-08-17,Sparta Rotterdam,Utrecht,1.47,1.39,Eredivisie,2025
1380883,2025-08-17,FC Volendam,AZ Alkmaar,0.45,1.4,Eredivisie,2025
1380884,2025-08-17,NAC Breda,Fortuna Sittard,2.06,0.73,Eredivisie,2025
1380885,2025-08-23,GO Ahead Eagles,Sparta Rotterdam,2.6,1.71,Eredivisie,2025
1380886,2025-08-23,PSV Eindhoven,Groningen,2.48,1.32,Eredivisie,2025
1380887,2025-08-23,Telstar,FC Volendam,1.78,0.42,Eredivisie,2025
1380889,2025-08-24,Heerenveen,Twente,2.39,2.01,Eredivisie,2025
1380891,2025-08-24,Utrecht,Excelsior,1.78,1.31,Eredivisie,2025
1380890,2025-08-24,NEC Nijmegen,NAC Breda,4.19,0.45,Eredivisie,2025
1380892,2025-08-24,Ajax,Heracles,2.67,0.16,Eredivisie,2025
1380893,2025-08-29,Groningen,Heracles,1.8,0.46,Eredivisie,2025
1380894,2025-08-30,FC Volendam,Ajax,0.76,1.38,Eredivisie,2025
1380895,2025-08-30,Heerenveen,GO Ahead Eagles,2.73,1.18,Eredivisie,2025
1380896,2025-08-30,PSV Eindhoven,Telstar,1.72,1.48,Eredivisie,2025
1380897,2025-08-30,Excelsior,Twente,0.37,2.52,Eredivisie,2025
1380898,2025-08-31,Fortuna Sittard,NEC Nijmegen,1.33,1.9,Eredivisie,2025
1380900,2025-08-31,PEC Zwolle,Utrecht,1.01,1.14,Eredivisie,2025
1380899,2025-08-31,Sparta Rotterdam,Feyenoord,0.55,2.51,Eredivisie,2025
1380901,2025-08-31,NAC Breda,AZ Alkmaar,1.96,2.82,Eredivisie,2025
1380902,2025-09-13,Ajax,PEC Zwolle,2.59,0.53,Eredivisie,2025
1380903,2025-09-13,GO Ahead Eagles,FC Volendam,2.14,1.31,Eredivisie,2025
1380904,2025-09-13,NEC Nijmegen,PSV Eindhoven,2.0,2.23,Eredivisie,2025
1380905,2025-09-13,Feyenoord,Heerenveen,0.91,1.17,Eredivisie,2025
1380906,2025-09-13,Twente,NAC Breda,2.21,0.62,Eredivisie,2025
1380907,2025-09-14,Excelsior,Sparta Rotterdam,1.55,1.59,Eredivisie,2025
1380908,2025-09-14,Heracles,AZ Alkmaar,0.76,3.18,Eredivisie,2025
1380909,2025-09-14,Utrecht,Groningen,1.24,1.69,Eredivisie,2025
1380910,2025-09-14,Telstar,Fortuna Sittard,1.7,1.14,Eredivisie,2025
1380911,2025-09-17,Feyenoord,Fortuna Sittard,2.13,0.3,Eredivisie,2025
1380912,2025-09-19,Sparta Rotterdam,Twente,1.11,2.59,Eredivisie,2025
1380913,2025-09-20,FC Volendam,Excelsior,1.48,1.76,Eredivisie,2025
1380914,2025-09-20,Groningen,Telstar,1.8,0.84,Eredivisie,2025
1380915,2025-09-20,Fortuna Sittard,Utrecht,1.16,0.96,Eredivisie,2025
1380916,2025-09-20,NAC Breda,Heracles,2.5,1.09,Eredivisie,2025
1380917,2025-09-21,PEC Zwolle,GO Ahead Eagles,0.49,2.07,Eredivisie,2025
1380919,2025-09-21,PSV Eindhoven,Ajax,3.45,2.18,Eredivisie,2025
1380918,2025-09-21,Heerenveen,NEC Nijmegen,2.81,0.94,Eredivisie,2025
1380920,2025-09-21,AZ Alkmaar,Feyenoord,1.21,1.92,Eredivisie,2025
1380888,2025-09-24,AZ Alkmaar,PEC Zwolle,2.49,0.91,Eredivisie,2025
1380921,2025-09-26,Twente,Fortuna Sittard,2.9,0.48,Eredivisie,2025
1380923,2025-09-27,Ajax,NAC Breda,1.87,1.56,Eredivisie,2025
1380924,2025-09-27,FC Volendam,PEC Zwolle,1.96,1.03,Eredivisie,2025
1380925,2025-09-27,Excelsior,PSV Eindhoven,2.17,2.67,Eredivisie,2025
1380927,2025-09-27,Heracles,Sparta Rotterdam,1.33,1.5,Eredivisie,2025
1380926,2025-09-28,NEC Nijmegen,AZ Alkmaar,1.81,0.38,Eredivisie,2025
1380922,2025-09-28,Groningen,Feyenoord,0.98,1.17,Eredivisie,2025
1380928,2025-09-28,Utrecht,Heerenveen,2.0,1.31,Eredivisie,2025
1380929,2025-09-28,Telstar,GO Ahead Eagles,2.36,2.38,Eredivisie,2025
1380930,2025-10-03,NAC Breda,Groningen,0.72,1.46,Eredivisie,2025
1380931,2025-10-04,Sparta Rotterdam,Ajax,2.14,1.71,Eredivisie,2025
1380932,2025-10-04,Fortuna Sittard,FC Volendam,1.58,0.84,Eredivisie,2025
1380933,2025-10-04,PEC Zwolle,PSV Eindhoven,0.14,2.15,Eredivisie,2025
1380934,2025-10-04,Heerenveen,Excelsior,2.01,0.57,Eredivisie,2025
1380935,2025-10-05,Twente,Heracles,1.35,0.51,Eredivisie,2025
1380937,2025-10-05,Feyenoord,Utrecht,3.42,0.49,Eredivisie,2025
1380936,2025-10-05,AZ Alkmaar,Telstar,3.96,1.01,Eredivisie,2025
1380938,2025-10-05,GO Ahead Eagles,NEC Nijmegen,0.76,0.95,Eredivisie,2025
1380947,2025-10-18,NEC Nijmegen,Twente,0.68,1.98,Eredivisie,2025
1380940,2025-10-18,PSV Eindhoven,GO Ahead Eagles,3.48,0.42,Eredivisie,2025
1380941,2025-10-18,Utrecht,FC Volendam,2.54,0.46,Eredivisie,2025
1380942,2025-10-18,Ajax,AZ Alkmaar,1.24,2.24,Eredivisie,2025
1380943,2025-10-18,NAC Breda,PEC Zwolle,2.48,1.46,Eredivisie,2025
1380946,2025-10-19,Telstar,Heerenveen,2.58,2.69,Eredivisie,2025
1380945,2025-10-19,Excelsior,Fortuna Sittard,1.08,1.16,Eredivisie,2025
1380944,2025-10-19,Groningen,Sparta Rotterdam,1.22,0.88,Eredivisie,2025
1380939,2025-10-19,Heracles,Feyenoord,0.19,2.75,Eredivisie,2025
1380948,2025-10-24,Heerenveen,NAC Breda,2.3,1.44,Eredivisie,2025
1380949,2025-10-25,Fortuna Sittard,Groningen,1.2,1.77,Eredivisie,2025
1380951,2025-10-25,Sparta Rotterdam,Telstar,1.79,0.63,Eredivisie,2025
1380950,2025-10-25,FC Volendam,Heracles,1.54,1.16,Eredivisie,2025
1380952,2025-10-25,PEC Zwolle,NEC Nijmegen,1.87,0.77,Eredivisie,2025
1380953,2025-10-26,Twente,Ajax,2.75,0.99,Eredivisie,2025
1380954,2025-10-26,Feyenoord,PSV Eindhoven,1.14,1.16,Eredivisie,2025
1380956,2025-10-26,AZ Alkmaar,Utrecht,3.59,0.99,Eredivisie,2025
1380955,2025-10-26,GO Ahead Eagles,Excelsior,1.81,0.54,Eredivisie,2025
1380957,2025-10-31,PSV Eindhoven,Fortuna Sittard,2.2,0.73,Eredivisie,2025
1380960,2025-11-01,Ajax,Heerenveen,1.11,1.06,Eredivisie,2025
1380959,2025-11-01,NAC Breda,GO Ahead Eagles,0.63,0.4,Eredivisie,2025
1380958,2025-11-01,Feyenoord,FC Volendam,4.82,0.97,Eredivisie,2025
1380961,2025-11-01,Telstar,Excelsior,3.21,3.45,Eredivisie,2025
1380962,2025-11-02,Heracles,PEC Zwolle,4.51,1.14,Eredivisie,2025
1380963,2025-11-02,Groningen,Twente,3.33,1.44,Eredivisie,2025
1380964,2025-11-02,Sparta Rotterdam,AZ Alkmaar,0.56,2.62,Eredivisie,2025
1380965,2025-11-02,Utrecht,NEC Nijmegen,1.51,2.14,Eredivisie,2025
1380966,2025-11-07,Twente,Telstar,1.75,0.63,Eredivisie,2025
1380967,2025-11-08,Excelsior,Heracles,2.03,1.34,Eredivisie,2025
1380968,2025-11-08,FC Volendam,NAC Breda,1.91,0.59,Eredivisie,2025
1380969,2025-11-08,Fortuna Sittard,Heerenveen,1.83,1.49,Eredivisie,2025
1380970,2025-11-08,PEC Zwolle,Sparta Rotterdam,1.05,0.94,Eredivisie,2025
1380971,2025-11-09,Utrecht,Ajax,1.39,0.64,Eredivisie,2025
1380973,2025-11-09,NEC Nijmegen,Groningen,1.57,1.38,Eredivisie,2025
1380972,2025-11-09,AZ Alkmaar,PSV Eindhoven,0.28,2.39,Eredivisie,2025
1380974,2025-11-09,GO Ahead Eagles,Feyenoord,1.67,2.68,Eredivisie,2025
1380981,2025-11-22,NAC Breda,PSV Eindhoven,1.27,0.56,Eredivisie,2025
1380975,2025-11-22,Ajax,Excelsior,1.44,0.51,Eredivisie,2025
1380976,2025-11-22,FC Volendam,Twente,1.39,2.61,Eredivisie,2025
1380980,2025-11-22,Heracles,GO Ahead Eagles,2.63,0.9,Eredivisie,2025
1380982,2025-11-22,Sparta Rotterdam,Fortuna Sittard,1.84,1.17,Eredivisie,2025
1380979,2025-11-23,Heerenveen,AZ Alkmaar,3.14,1.17,Eredivisie,2025
1380977,2025-11-23,Feyenoord,NEC Nijmegen,2.82,2.26,Eredivisie,2025
1380983,2025-11-23,Telstar,Utrecht,1.31,0.87,Eredivisie,2025
1380978,2025-11-23,Groningen,PEC Zwolle,2.55,0.77,Eredivisie,2025
1380992,2025-11-28,PEC Zwolle,Heerenveen,1.61,1.92,Eredivisie,2025
1380985,2025-11-29,Excelsior,NAC Breda,0.94,1.57,Eredivisie,2025
1380989,2025-11-29,Fortuna Sittard,Heracles,1.84,0.57,Eredivisie,2025
1380987,2025-11-29,NEC Nijmegen,Sparta Rotterdam,2.78,1.7,Eredivisie,2025
1380988,2025-11-30,PSV Eindhoven,FC Volendam,1.7,0.53,Eredivisie,2025
1380986,2025-11-30,GO Ahead Eagles,Utrecht,0.89,1.8,Eredivisie,2025
1380990,2025-11-30,Telstar,Feyenoord,1.55,1.55,Eredivisie,2025
1380991,2025-11-30,Twente,AZ Alkmaar,1.04,1.31,Eredivisie,2025
1380984,2025-12-02,Ajax,Groningen,1.52,1.96,Eredivisie,2025
1380994,2025-12-05,Excelsior,Groningen,2.01,3.89,Eredivisie,2025
1380997,2025-12-06,Heerenveen,PSV Eindhoven,0.81,0.77,Eredivisie,2025
1380999,2025-12-06,Fortuna Sittard,Ajax,2.72,1.01,Eredivisie,2025
1380998,2025-12-06,Heracles,Telstar,2.21,0.75,Eredivisie,2025
1380996,2025-12-06,Feyenoord,PEC Zwolle,3.4,0.97,Eredivisie,2025
1381001,2025-12-07,Utrecht,Twente,0.82,1.54,Eredivisie,2025
1380993,2025-12-07,AZ Alkmaar,GO Ahead Eagles,2.11,1.33,Eredivisie,2025
