fixture_id,date,home_team,away_team,home_xg,away_xg,league,season
1063478,2023-08-11,SC Braga,Famalicao,1.08,0.73,PrimeiraLiga,2023
1063484,2023-08-12,GIL Vicente,Portimonense,1.59,1.01,PrimeiraLiga,2023
1063477,2023-08-12,Farense,Casa Pia,0.28,1.75,PrimeiraLiga,2023
1063481,2023-08-12,Sporting CP,Vizela,2.04,0.86,PrimeiraLiga,2023
1063476,2023-08-13,Rio Ave,Chaves,3.32,0.3,PrimeiraLiga,2023
1063482,2023-08-13,Estrela,Guimaraes,0.38,0.7,PrimeiraLiga,2023
1063483,2023-08-13,Arouca,Estoril,0.55,0.61,PrimeiraLiga,2023
1063479,2023-08-14,Moreirense,FC Porto,0.45,0.72,PrimeiraLiga,2023
1063480,2023-08-14,Boavista,Benfica,1.99,2.09,PrimeiraLiga,2023
1063493,2023-08-18,Casa Pia,Sporting CP,0.84,0.92,PrimeiraLiga,2023
1063489,2023-08-19,Guimaraes,GIL Vicente,0.94,1.17,PrimeiraLiga,2023
1063488,2023-08-19,Chaves,SC Braga,1.32,0.86,PrimeiraLiga,2023
1063490,2023-08-19,Benfica,Estrela,2.95,0.4,PrimeiraLiga,2023
1063486,2023-08-19,Portimonense,Boavista,1.34,2.26,PrimeiraLiga,2023
1063491,2023-08-20,Estoril,Rio Ave,2.01,0.8,PrimeiraLiga,2023
1063487,2023-08-20,FC Porto,Farense,1.99,0.49,PrimeiraLiga,2023
1063485,2023-08-20,Vizela,Arouca,1.77,0.89,PrimeiraLiga,2023
1063492,2023-08-21,Famalicao,Moreirense,0.29,0.79,PrimeiraLiga,2023
1063502,2023-08-25,Estrela,Estoril,1.54,1.17,PrimeiraLiga,2023
1063501,2023-08-26,Arouca,Portimonense,1.86,0.16,PrimeiraLiga,2023
1063495,2023-08-26,Farense,Chaves,2.66,1.47,PrimeiraLiga,2023
1063499,2023-08-26,GIL Vicente,Benfica,1.09,2.64,PrimeiraLiga,2023
1063500,2023-08-27,Boavista,Casa Pia,1.3,0.71,PrimeiraLiga,2023
1063498,2023-08-27,Guimaraes,Vizela,1.1,0.4,PrimeiraLiga,2023
1063497,2023-08-27,Sporting CP,Famalicao,2.19,0.38,PrimeiraLiga,2023
1063496,2023-08-28,Rio Ave,FC Porto,1.28,2.53,PrimeiraLiga,2023
1063505,2023-09-01,Vizela,GIL Vicente,1.44,0.47,PrimeiraLiga,2023
1063507,2023-09-02,Casa Pia,Rio Ave,0.45,0.46,PrimeiraLiga,2023
1063506,2023-09-02,Portimonense,Estrela,0.98,1.54,PrimeiraLiga,2023
1063508,2023-09-02,Famalicao,Farense,0.95,0.21,PrimeiraLiga,2023
1063510,2023-09-02,Benfica,Guimaraes,2.65,1.08,PrimeiraLiga,2023
1063511,2023-09-03,Chaves,Moreirense,0.79,1.02,PrimeiraLiga,2023
1063504,2023-09-03,Estoril,Boavista,0.64,0.99,PrimeiraLiga,2023
1063503,2023-09-03,FC Porto,Arouca,2.67,0.34,PrimeiraLiga,2023
