date,home_team,away_team,home_xg,away_xg,league,season
2022-08-05,Eintracht Frankfurt,Bayern Munich,0.756176,4.56023,Bundesliga,2022
2022-08-06,Union Berlin,Hertha Berlin,1.18263,0.350984,Bundesliga,2022
2022-08-06,Borussia M.Gladbach,Hoffenheim,2.07456,0.119138,Bundesliga,2022
2022-08-06,Wolfsburg,Werder Bremen,0.954909,1.04228,Bundesliga,2022
2022-08-06,Bochum,Mainz 05,0.818183,1.59439,Bundesliga,2022
2022-08-06,Augsburg,Freiburg,0.585905,1.54255,Bundesliga,2022
2022-08-06,Borussia Dortmund,Bayer Leverkusen,2.38349,1.23566,Bundesliga,2022
2022-08-07,VfB Stuttgart,RasenBallsport Leipzig,0.565488,2.13153,Bundesliga,2022
2022-08-07,FC Cologne,Schalke 04,4.42242,0.227735,Bundesliga,2022
2022-08-12,Freiburg,Borussia Dortmund,1.0831,0.781529,Bundesliga,2022
2022-08-13,Bayer Leverkusen,Augsburg,2.7843,0.749163,Bundesliga,2022
2022-08-13,RasenBallsport Leipzig,FC Cologne,1.17885,1.51583,Bundesliga,2022
2022-08-13,Werder Bremen,VfB Stuttgart,0.704357,1.31637,Bundesliga,2022
2022-08-13,Hoffenheim,Bochum,2.3761,1.47438,Bundesliga,2022
2022-08-13,Hertha Berlin,Eintracht Frankfurt,2.06497,1.20421,Bundesliga,2022
2022-08-13,Schalke 04,Borussia M.Gladbach,1.69324,1.41135,Bundesliga,2022
2022-08-14,Mainz 05,Union Berlin,0.648549,0.301432,Bundesliga,2022
2022-08-14,Bayern Munich,Wolfsburg,1.4017,0.443318,Bundesliga,2022
2022-08-19,Borussia M.Gladbach,Hertha Berlin,2.26575,0.967668,Bundesliga,2022
2022-08-20,Wolfsburg,Schalke 04,1.20648,1.03296,Bundesliga,2022
2022-08-20,Augsburg,Mainz 05,0.306368,2.04608,Bundesliga,2022
2022-08-20,VfB Stuttgart,Freiburg,0.766656,0.903953,Bundesliga,2022
2022-08-20,Borussia Dortmund,Werder Bremen,0.625547,1.20064,Bundesliga,2022
2022-08-20,Bayer Leverkusen,Hoffenheim,1.10143,1.30099,Bundesliga,2022
2022-08-20,Union Berlin,RasenBallsport Leipzig,0.642263,0.958767,Bundesliga,2022
2022-08-21,Eintracht Frankfurt,FC Cologne,0.54009,0.236472,Bundesliga,2022
2022-08-21,Bochum,Bayern Munich,0.747624,3.98121,Bundesliga,2022
2022-08-26,Freiburg,Bochum,4.40931,1.13013,Bundesliga,2022
2022-08-27,RasenBallsport Leipzig,Wolfsburg,3.79244,0.520425,Bundesliga,2022
2022-08-27,Mainz 05,Bayer Leverkusen,1.62032,1.40426,Bundesliga,2022
2022-08-27,Hoffenheim,Augsburg,2.00234,0.458737,Bundesliga,2022
2022-08-27,Hertha Berlin,Borussia Dortmund,0.353045,2.97427,Bundesliga,2022
2022-08-27,Schalke 04,Union Berlin,1.86616,1.0651,Bundesliga,2022
2022-08-27,Bayern Munich,Borussia M.Gladbach,3.17378,0.548057,Bundesliga,2022
2022-08-28,FC Cologne,VfB Stuttgart,0.385951,1.96538,Bundesliga,2022
2022-08-28,Werder Bremen,Eintracht Frankfurt,1.88918,1.87305,Bundesliga,2022
2022-09-02,Borussia Dortmund,Hoffenheim,2.521,0.360446,Bundesliga,2022
2022-09-03,Bayer Leverkusen,Freiburg,1.79727,2.35383,Bundesliga,2022
2022-09-03,Union Berlin,Bayern Munich,0.443137,1.38204,Bundesliga,2022
2022-09-03,VfB Stuttgart,Schalke 04,0.706188,2.10477,Bundesliga,2022
2022-09-03,Wolfsburg,FC Cologne,0.96728,3.08366,Bundesliga,2022
2022-09-03,Bochum,Werder Bremen,1.22972,1.9903,Bundesliga,2022
2022-09-03,Eintracht Frankfurt,RasenBallsport Leipzig,3.62625,0.220403,Bundesliga,2022
2022-09-04,Augsburg,Hertha Berlin,0.311026,2.87153,Bundesliga,2022
2022-09-04,Borussia M.Gladbach,Mainz 05,1.70822,0.630863,Bundesliga,2022
2022-09-09,Werder Bremen,Augsburg,1.83702,1.7824,Bundesliga,2022
2022-09-10,Bayern Munich,VfB Stuttgart,2.2976,1.18754,Bundesliga,2022
2022-09-10,RasenBallsport Leipzig,Borussia Dortmund,1.70495,0.334567,Bundesliga,2022
2022-09-10,Hoffenheim,Mainz 05,4.64891,1.08619,Bundesliga,2022
2022-09-10,Eintracht Frankfurt,Wolfsburg,0.453438,0.969737,Bundesliga,2022
2022-09-10,Hertha Berlin,Bayer Leverkusen,2.35137,1.76829,Bundesliga,2022
2022-09-10,Schalke 04,Bochum,1.4133,1.31293,Bundesliga,2022
2022-09-11,FC Cologne,Union Berlin,0.878517,1.51157,Bundesliga,2022
2022-09-11,Freiburg,Borussia M.Gladbach,0.991055,1.37892,Bundesliga,2022
2022-09-16,Mainz 05,Hertha Berlin,0.38983,0.437555,Bundesliga,2022
2022-09-17,Borussia Dortmund,Schalke 04,2.5349,0.0971459,Bundesliga,2022
2022-09-17,Bayer Leverkusen,Werder Bremen,1.82302,2.02218,Bundesliga,2022
2022-09-17,Augsburg,Bayern Munich,2.20918,1.82063,Bundesliga,2022
2022-09-17,VfB Stuttgart,Eintracht Frankfurt,0.773751,1.49027,Bundesliga,2022
2022-09-17,Borussia M.Gladbach,RasenBallsport Leipzig,2.97746,1.25609,Bundesliga,2022
2022-09-18,Union Berlin,Wolfsburg,1.07406,0.218049,Bundesliga,2022
2022-09-18,Bochum,FC Cologne,0.292667,1.8077,Bundesliga,2022
2022-09-18,Hoffenheim,Freiburg,0.74318,0.6761,Bundesliga,2022
2022-09-30,Bayern Munich,Bayer Leverkusen,2.13413,0.940717,Bundesliga,2022
2022-10-01,RasenBallsport Leipzig,Bochum,4.21544,0.146803,Bundesliga,2022
