date,home_team,away_team,home_xg,away_xg,league,season
2024-09-17,Juventus,PSV Eindhoven,2.92,1.04,CL,2024
2024-09-17,BSC Young Boys,Aston Villa,0.59,2.04,CL,2024
2024-09-17,Bayern München,Dinamo Zagreb,6.27,0.57,CL,2024
2024-09-17,Sporting CP,Lille,1.62,0.41,CL,2024
2024-09-17,AC Milan,Liverpool,0.61,3.09,CL,2024
2024-09-17,Real Madrid,VfB Stuttgart,2.61,1.94,CL,2024
2024-09-18,Bologna,Shakhtar Donetsk,1.17,0.87,CL,2024
2024-09-18,Sparta Praha,Red Bull Salzburg,2.35,0.6,CL,2024
2024-09-18,Manchester City,Inter,2.35,0.75,CL,2024
2024-09-18,Paris Saint Germain,Girona,2.05,0.25,CL,2024
2024-09-18,Celtic,Slovan Bratislava,3.79,0.51,CL,2024
2024-09-18,Club Brugge KV,Borussia Dortmund,1.24,2.04,CL,2024
2024-09-19,Feyenoord,Bayer Leverkusen,0.87,1.43,CL,2024
2024-09-19,FK Crvena Zvezda,Benfica,1.02,1.27,CL,2024
2024-09-19,Monaco,Barcelona,1.32,0.41,CL,2024
2024-09-19,Stade Brestois 29,Sturm Graz,2.09,0.48,CL,2024
2024-09-19,Atalanta,Arsenal,1.2,0.78,CL,2024
2024-09-19,Atletico Madrid,RB Leipzig,1.62,0.71,CL,2024
2024-10-01,VfB Stuttgart,Sparta Praha,1.71,1.0,CL,2024
2024-10-01,Red Bull Salzburg,Stade Brestois 29,1.62,2.02,CL,2024
2024-10-01,Arsenal,Paris Saint Germain,0.76,0.31,CL,2024
2024-10-01,Borussia Dortmund,Celtic,2.64,2.2,CL,2024
2024-10-01,Bayer Leverkusen,AC Milan,1.78,0.81,CL,2024
2024-10-01,PSV Eindhoven,Sporting CP,2.53,1.31,CL,2024
2024-10-01,Inter,FK Crvena Zvezda,2.79,0.52,CL,2024
2024-10-01,Barcelona,BSC Young Boys,3.65,0.3,CL,2024
2024-10-01,Slovan Bratislava,Manchester City,0.1,3.76,CL,2024
2024-10-02,Girona,Feyenoord,2.3,1.86,CL,2024
2024-10-02,Shakhtar Donetsk,Atalanta,0.29,2.6,CL,2024
2024-10-02,Liverpool,Bologna,1.21,0.59,CL,2024
2024-10-02,Aston Villa,Bayern München,0.4,1.42,CL,2024
2024-10-02,Lille,Real Madrid,1.29,2.09,CL,2024
2024-10-02,RB Leipzig,Juventus,3.37,1.2,CL,2024
2024-10-02,Benfica,Atletico Madrid,4.46,0.24,CL,2024
2024-10-02,Dinamo Zagreb,Monaco,0.99,1.97,CL,2024
2024-10-02,Sturm Graz,Club Brugge KV,0.43,0.61,CL,2024
2024-10-22,Monaco,FK Crvena Zvezda,3.33,1.01,CL,2024
2024-10-22,AC Milan,Club Brugge KV,1.22,0.57,CL,2024
2024-10-22,Arsenal,Shakhtar Donetsk,1.98,0.67,CL,2024
2024-10-22,Aston Villa,Bologna,1.18,0.86,CL,2024
2024-10-22,Paris Saint Germain,PSV Eindhoven,2.43,0.25,CL,2024
2024-10-22,Juventus,VfB Stuttgart,0.25,2.52,CL,2024
2024-10-22,Real Madrid,Borussia Dortmund,3.55,1.58,CL,2024
2024-10-22,Girona,Slovan Bratislava,1.79,0.46,CL,2024
2024-10-22,Sturm Graz,Sporting CP,0.75,1.5,CL,2024
2024-10-23,Stade Brestois 29,Bayer Leverkusen,0.46,1.03,CL,2024
2024-10-23,Atalanta,Celtic,2.38,0.26,CL,2024
2024-10-23,Manchester City,Sparta Praha,2.93,0.23,CL,2024
2024-10-23,RB Leipzig,Liverpool,0.77,2.31,CL,2024
2024-10-23,Benfica,Feyenoord,1.68,1.01,CL,2024
2024-10-23,Barcelona,Bayern München,2.23,1.04,CL,2024
2024-10-23,Atletico Madrid,Lille,2.35,1.3,CL,2024
2024-10-23,BSC Young Boys,Inter,0.92,3.27,CL,2024
2024-10-23,Red Bull Salzburg,Dinamo Zagreb,1.17,1.71,CL,2024
2024-11-05,PSV Eindhoven,Girona,2.04,0.76,CL,2024
2024-11-05,Slovan Bratislava,Dinamo Zagreb,1.74,1.61,CL,2024
2024-11-05,Liverpool,Bayer Leverkusen,3.79,0.8,CL,2024
2024-11-05,Lille,Juventus,0.77,1.46,CL,2024
2024-11-05,Borussia Dortmund,Sturm Graz,1.68,0.57,CL,2024
2024-11-05,Sporting CP,Manchester City,2.86,2.21,CL,2024
2024-11-05,Celtic,RB Leipzig,1.63,1.13,CL,2024
2024-11-05,Bologna,Monaco,0.57,0.91,CL,2024
2024-11-05,Real Madrid,AC Milan,2.66,2.45,CL,2024
2024-11-06,Shakhtar Donetsk,BSC Young Boys,1.96,0.95,CL,2024
2024-11-06,Club Brugge KV,Aston Villa,1.38,0.42,CL,2024
2024-11-06,Paris Saint Germain,Atletico Madrid,2.09,0.67,CL,2024
2024-11-06,Bayern München,Benfica,1.27,0.08,CL,2024
2024-11-06,VfB Stuttgart,Atalanta,0.92,1.98,CL,2024
2024-11-06,Feyenoord,Red Bull Salzburg,0.76,1.82,CL,2024
2024-11-06,Inter,Arsenal,1.19,1.8,CL,2024
2024-11-06,FK Crvena Zvezda,Barcelona,0.31,3.55,CL,2024
2024-11-06,Sparta Praha,Stade Brestois 29,0.52,1.49,CL,2024
2024-11-26,Sparta Praha,Atletico Madrid,0.22,3.11,CL,2024
2024-11-26,Slovan Bratislava,AC Milan,1.51,1.88,CL,2024
2024-11-26,Manchester City,Feyenoord,2.21,2.16,CL,2024
2024-11-26,Bayern München,Paris Saint Germain,2.41,0.77,CL,2024
2024-11-26,Bayer Leverkusen,Red Bull Salzburg,4.56,0.33,CL,2024
2024-11-26,Sporting CP,Arsenal,1.05,3.89,CL,2024
2024-11-26,Inter,RB Leipzig,1.37,0.15,CL,2024
2024-11-26,Barcelona,Stade Brestois 29,2.86,0.07,CL,2024
2024-11-26,BSC Young Boys,Atalanta,0.81,2.54,CL,2024
2024-11-27,FK Crvena Zvezda,VfB Stuttgart,1.47,0.64,CL,2024
2024-11-27,Sturm Graz,Girona,1.23,1.79,CL,2024
2024-11-27,Liverpool,Real Madrid,2.73,1.22,CL,2024
2024-11-27,Aston Villa,Juventus,1.22,0.39,CL,2024
2024-11-27,Monaco,Benfica,1.69,3.04,CL,2024
2024-11-27,PSV Eindhoven,Shakhtar Donetsk,2.78,1.03,CL,2024
2024-11-27,Celtic,Club Brugge KV,0.71,1.1,CL,2024
2024-11-27,Bologna,Lille,1.45,2.16,CL,2024
2024-11-27,Dinamo Zagreb,Borussia Dortmund,0.13,1.75,CL,2024
2024-12-10,Girona,Liverpool,1.12,1.84,CL,2024
2024-12-10,Dinamo Zagreb,Celtic,0.53,0.43,CL,2024
2024-12-10,Stade Brestois 29,PSV Eindhoven,1.58,1.78,CL,2024
2024-12-10,Bayer Leverkusen,Inter,1.14,0.29,CL,2024
2024-12-10,RB Leipzig,Aston Villa,2.23,2.14,CL,2024
2024-12-10,Atalanta,Real Madrid,3.33,2.1,CL,2024
2024-12-10,Shakhtar Donetsk,Bayern München,1.34,3.18,CL,2024
2024-12-10,Club Brugge KV,Sporting CP,0.71,1.15,CL,2024
2024-12-10,Red Bull Salzburg,Paris Saint Germain,0.15,3.18,CL,2024
2024-12-11,Lille,Sturm Graz,2.05,1.23,CL,2024
2024-12-11,Atletico Madrid,Slovan Bratislava,1.98,0.21,CL,2024
2024-12-11,Arsenal,Monaco,1.91,0.38,CL,2024
2024-12-11,Borussia Dortmund,Barcelona,2.83,2.17,CL,2024
2024-12-11,VfB Stuttgart,BSC Young Boys,2.31,0.19,CL,2024
2024-12-11,Feyenoord,Sparta Praha,0.95,0.66,CL,2024
2024-12-11,Benfica,Bologna,1.27,0.21,CL,2024
2024-12-11,AC Milan,FK Crvena Zvezda,2.0,0.49,CL,2024
2024-12-11,Juventus,Manchester City,1.13,1.26,CL,2024
2025-01-21,Monaco,Aston Villa,1.57,0.97,CL,2024
2025-01-21,Atalanta,Sturm Graz,5.34,0.79,CL,2024
2025-01-21,Liverpool,Lille,2.46,0.49,CL,2024
2025-01-21,Benfica,Barcelona,3.34,3.63,CL,2024
2025-01-21,Bologna,Borussia Dortmund,2.02,0.99,CL,2024
2025-01-21,Atletico Madrid,Bayer Leverkusen,0.77,0.84,CL,2024
2025-01-21,Club Brugge KV,Juventus,0.75,0.44,CL,2024
2025-01-21,FK Crvena Zvezda,PSV Eindhoven,2.66,0.83,CL,2024
2025-01-21,Slovan Bratislava,VfB Stuttgart,0.63,3.46,CL,2024
2025-01-22,RB Leipzig,Sporting CP,2.32,0.92,CL,2024
2025-01-22,Shakhtar Donetsk,Stade Brestois 29,1.93,0.43,CL,2024
2025-01-22,Arsenal,Dinamo Zagreb,2.3,0.13,CL,2024
2025-01-22,Paris Saint Germain,Manchester City,2.75,1.78,CL,2024
2025-01-22,Feyenoord,Bayern München,1.77,2.42,CL,2024
2025-01-22,Celtic,BSC Young Boys,1.85,1.02,CL,2024
2025-01-22,AC Milan,Girona,1.31,0.94,CL,2024
2025-01-22,Real Madrid,Red Bull Salzburg,2.84,0.45,CL,2024
2025-01-22,Sparta Praha,Inter,0.36,0.88,CL,2024
2025-01-29,Manchester City,Club Brugge KV,1.87,1.17,CL,2024
2025-01-29,Aston Villa,Celtic,3.79,0.82,CL,2024
2025-01-29,Lille,Feyenoord,1.17,0.72,CL,2024
2025-01-29,Stade Brestois 29,Real Madrid,1.43,2.35,CL,2024
2025-01-29,Bayern München,Slovan Bratislava,4.08,1.07,CL,2024
2025-01-29,Borussia Dortmund,Shakhtar Donetsk,2.43,0.39,CL,2024
2025-01-29,Bayer Leverkusen,Sparta Praha,1.68,0.82,CL,2024
2025-01-29,VfB Stuttgart,Paris Saint Germain,0.77,2.41,CL,2024
2025-01-29,PSV Eindhoven,Liverpool,1.32,1.64,CL,2024
2025-01-29,Sporting CP,Bologna,1.38,1.14,CL,2024
2025-01-29,Juventus,Benfica,0.95,2.39,CL,2024
2025-01-29,Inter,Monaco,3.89,0.25,CL,2024
2025-01-29,Barcelona,Atalanta,2.39,1.22,CL,2024
2025-01-29,Girona,Arsenal,0.77,2.16,CL,2024
2025-01-29,BSC Young Boys,FK Crvena Zvezda,0.39,1.77,CL,2024
2025-01-29,Red Bull Salzburg,Atletico Madrid,0.62,1.96,CL,2024
2025-01-29,Dinamo Zagreb,AC Milan,1.19,1.11,CL,2024
2025-01-29,Sturm Graz,RB Leipzig,1.24,1.59,CL,2024
2025-02-11,Stade Brestois 29,Paris Saint Germain,0.96,2.72,CL,2024
2025-02-11,Manchester City,Real Madrid,1.6,3.3,CL,2024
2025-02-11,Sporting CP,Borussia Dortmund,0.73,1.87,CL,2024
2025-02-11,Juventus,PSV Eindhoven,1.27,0.81,CL,2024
2025-02-12,Club Brugge KV,Atalanta,1.53,1.05,CL,2024
2025-02-12,Monaco,Benfica,0.39,2.17,CL,2024
2025-02-12,Feyenoord,AC Milan,0.5,0.57,CL,2024
2025-02-12,Celtic,Bayern München,1.34,0.94,CL,2024
2025-02-18,AC Milan,Feyenoord,1.71,0.71,CL,2024
2025-02-18,Bayern München,Celtic,2.33,1.12,CL,2024
2025-02-18,Benfica,Monaco,1.9,1.26,CL,2024
2025-02-18,Atalanta,Club Brugge KV,3.28,1.15,CL,2024
2025-02-19,Borussia Dortmund,Sporting CP,1.86,0.34,CL,2024
2025-02-19,Paris Saint Germain,Stade Brestois 29,3.5,0.97,CL,2024
2025-02-19,PSV Eindhoven,Juventus,3.4,1.76,CL,2024
2025-02-19,Real Madrid,Manchester City,1.8,1.32,CL,2024
