date,home_team,away_team,home_xg,away_xg,league,season
2026-08-14,Wolves,Blackburn,2.04,0.82,Championship,2026
2026-08-15,Bolton,Preston,1.1,1.12,Championship,2026
2026-08-15,Bristol City,Millwall,0.52,3.4,Championship,2026
2026-08-15,Middlesbrough,Lincoln,2.23,0.57,Championship,2026
2026-08-15,Norwich,West Brom,2.96,1.85,Championship,2026
2026-08-15,Stoke City,Swansea,0.65,0.62,Championship,2026
2026-08-15,Charlton,Derby,0.97,1.0,Championship,2026
2026-08-15,Portsmouth,QPR,2.17,2.07,Championship,2026
2026-08-15,Sheffield Utd,Birmingham,0.29,0.77,Championship,2026
2026-08-16,Watford,Southampton,0.81,1.71,Championship,2026
2026-08-16,Burnley,West Ham,2.33,1.33,Championship,2026
2026-08-17,Cardiff,Wrexham,0.9,1.43,Championship,2026
2026-08-22,Birmingham,Bristol City,1.98,1.43,Championship,2026
2026-08-22,Millwall,Norwich,2.69,1.02,Championship,2026
2026-08-22,Lincoln,Portsmouth,2.32,1.21,Championship,2026
2026-08-22,Southampton,Stoke City,2.32,0.93,Championship,2026
2026-08-22,West Ham,Charlton,2.84,0.62,Championship,2026
2026-08-22,Preston,Wolves,0.66,1.54,Championship,2026
2026-08-22,Blackburn,Middlesbrough,0.91,1.43,Championship,2026
2026-08-22,Derby,Cardiff,1.62,1.98,Championship,2026
2026-08-22,QPR,Bolton,1.82,0.19,Championship,2026
2026-08-22,Swansea,Sheffield Utd,0.57,1.46,Championship,2026
2026-08-22,Wrexham,Watford,1.92,0.65,Championship,2026
2026-08-23,West Brom,Burnley,1.63,1.18,Championship,2026
2026-08-28,Wrexham,Birmingham,1.42,1.62,Championship,2026
2026-08-29,Wolves,Stoke City,2.64,0.88,Championship,2026
2026-08-29,Derby,Swansea,0.59,3.33,Championship,2026
2026-08-29,Middlesbrough,West Brom,2.46,1.4,Championship,2026
2026-08-29,Watford,West Ham,1.3,0.73,Championship,2026
2026-08-29,Southampton,Millwall,3.21,1.09,Championship,2026
2026-08-29,Cardiff,Sheffield Utd,2.27,1.53,Championship,2026
2026-08-29,Bristol City,Portsmouth,0.61,1.38,Championship,2026
2026-08-29,Blackburn,QPR,1.02,1.3,Championship,2026
2026-08-29,Bolton,Lincoln,1.54,1.05,Championship,2026
2026-08-29,Norwich,Burnley,1.92,0.95,Championship,2026
2026-08-29,Charlton,Preston,0.87,0.91,Championship,2026
