date,home_team,away_team,home_xg,away_xg,league,season
2023-09-21,Rennes,Maccabi Haifa,1.79,0.24,EL,2023
2023-09-21,Bayer Leverkusen,BK Hacken,2.73,0.51,EL,2023
2023-09-21,Qarabag,Molde,1.87,0.24,EL,2023
2023-09-21,Sheriff Tiraspol,AS Roma,0.79,0.94,EL,2023
2023-09-21,Panathinaikos,Villarreal,0.88,0.28,EL,2023
2023-09-21,Lask Linz,Liverpool,0.28,2.22,EL,2023
2023-09-21,Union St. Gilloise,Toulouse,1.27,1.41,EL,2023
2023-09-21,Servette FC,Slavia Praha,0.42,1.24,EL,2023
2023-09-21,West Ham,TSC Backa Topola,1.63,0.55,EL,2023
2023-09-21,Brighton,AEK Athens FC,2.66,1.28,EL,2023
2023-09-21,Ajax,Marseille,2.62,2.37,EL,2023
2023-09-21,Rangers,Real Betis,2.81,0.84,EL,2023
2023-09-21,Atalanta,Raków Częstochowa,3.93,0.78,EL,2023
2023-09-21,Olympiakos Piraeus,SC Freiburg,2.39,1.6,EL,2023
2023-09-21,Sparta Praha,Aris,1.66,1.04,EL,2023
2023-09-21,Sturm Graz,Sporting CP,0.63,1.8,EL,2023
2023-10-05,Marseille,Brighton,1.31,2.62,EL,2023
2023-10-05,SC Freiburg,West Ham,1.55,1.06,EL,2023
2023-10-05,Sporting CP,Atalanta,2.02,2.03,EL,2023
2023-10-05,Real Betis,Sparta Praha,1.56,1.26,EL,2023
2023-10-05,AEK Athens FC,Ajax,2.27,1.85,EL,2023
2023-10-05,TSC Backa Topola,Olympiakos Piraeus,1.19,0.74,EL,2023
2023-10-05,Aris,Rangers,1.76,0.66,EL,2023
2023-10-05,Raków Częstochowa,Sturm Graz,0.74,1.7,EL,2023
2023-10-05,Liverpool,Union St. Gilloise,2.91,1.09,EL,2023
2023-10-05,Toulouse,Lask Linz,1.4,1.68,EL,2023
2023-10-05,Molde,Bayer Leverkusen,1.27,1.45,EL,2023
2023-10-05,BK Hacken,Qarabag,0.78,0.9,EL,2023
2023-10-05,AS Roma,Servette FC,2.3,0.26,EL,2023
2023-10-05,Villarreal,Rennes,0.31,2.04,EL,2023
2023-10-05,Slavia Praha,Sheriff Tiraspol,2.47,0.38,EL,2023
2023-10-05,Maccabi Haifa,Panathinaikos,1.35,0.97,EL,2023
2023-10-26,Marseille,AEK Athens FC,3.04,0.95,EL,2023
2023-10-26,Molde,BK Hacken,1.87,1.5,EL,2023
2023-10-26,Olympiakos Piraeus,West Ham,0.92,0.98,EL,2023
2023-10-26,Sparta Praha,Rangers,1.77,0.66,EL,2023
