date,home_team,away_team,home_xg,away_xg,league,season
2019-08-09,Liverpool,Norwich,2.23456,0.842407,EPL,2019
2019-08-10,West Ham,Manchester City,1.2003,3.18377,EPL,2019
2019-08-10,Bournemouth,Sheffield United,1.34099,1.59864,EPL,2019
2019-08-10,Burnley,Southampton,0.909241,1.08752,EPL,2019
2019-08-10,Crystal Palace,Everton,0.87159,1.2246,EPL,2019
2019-08-10,Watford,Brighton,0.670022,0.855516,EPL,2019
2019-08-10,Tottenham,Aston Villa,2.57262,0.639599,EPL,2019
2019-08-11,Newcastle United,Arsenal,0.380551,1.13309,EPL,2019
2019-08-11,Leicester,Wolverhampton Wanderers,0.543759,0.812949,EPL,2019
2019-08-11,Manchester United,Chelsea,2.37442,1.09534,EPL,2019
2019-08-17,Arsenal,Burnley,1.1644,1.39172,EPL,2019
2019-08-17,Aston Villa,Bournemouth,1.65069,1.62777,EPL,2019
2019-08-17,Brighton,West Ham,2.40461,1.00856,EPL,2019
2019-08-17,Everton,Watford,0.832913,1.17279,EPL,2019
2019-08-17,Norwich,Newcastle United,2.09572,0.920429,EPL,2019
2019-08-17,Southampton,Liverpool,2.14047,1.52022,EPL,2019
2019-08-17,Manchester City,Tottenham,3.20076,0.074542,EPL,2019
2019-08-18,Sheffield United,Crystal Palace,1.84778,0.241912,EPL,2019
2019-08-18,Chelsea,Leicester,1.22629,0.947941,EPL,2019
2019-08-19,Wolverhampton Wanderers,Manchester United,0.307356,1.14332,EPL,2019
2019-08-23,Aston Villa,Everton,0.855926,1.25668,EPL,2019
2019-08-24,Norwich,Chelsea,1.07904,1.89428,EPL,2019
2019-08-24,Sheffield United,Leicester,0.654318,0.704879,EPL,2019
2019-08-24,Brighton,Southampton,0.997711,2.07795,EPL,2019
2019-08-24,Watford,West Ham,2.29348,3.45768,EPL,2019
2019-08-24,Manchester United,Crystal Palace,2.23561,0.676993,EPL,2019
2019-08-24,Liverpool,Arsenal,2.78821,0.985542,EPL,2019
2019-08-25,Bournemouth,Manchester City,1.89345,3.12856,EPL,2019
2019-08-25,Wolverhampton Wanderers,Burnley,1.32793,1.22762,EPL,2019
2019-08-25,Tottenham,Newcastle United,1.25927,0.51428,EPL,2019
2019-08-31,Southampton,Manchester United,0.769616,1.90356,EPL,2019
2019-08-31,West Ham,Norwich,2.20657,1.1674,EPL,2019
2019-08-31,Chelsea,Sheffield United,2.30579,1.04649,EPL,2019
2019-08-31,Crystal Palace,Aston Villa,1.41394,0.30354,EPL,2019
2019-08-31,Leicester,Bournemouth,2.23766,0.554726,EPL,2019
2019-08-31,Manchester City,Brighton,2.30818,0.861035,EPL,2019
2019-08-31,Newcastle United,Watford,1.04131,1.1068,EPL,2019
2019-08-31,Burnley,Liverpool,0.61739,1.20057,EPL,2019
