date,home_team,away_team,home_xg,away_xg,league,season
2026-08-07,Cambuur,Excelsior,0.7,3.35,Eredivisie,2026
2026-08-08,NEC Nijmegen,Telstar,2.15,1.66,Eredivisie,2026
2026-08-08,GO Ahead Eagles,Willem II,2.43,1.51,Eredivisie,2026
2026-08-08,PSV Eindhoven,Fortuna Sittard,2.31,1.01,Eredivisie,2026
2026-08-08,AZ Alkmaar,ADO Den Haag,2.67,0.95,Eredivisie,2026
2026-08-09,Sparta Rotterdam,Feyenoord,1.01,3.53,Eredivisie,2026
2026-08-09,PEC Zwolle,Ajax,0.59,1.54,Eredivisie,2026
2026-08-09,Groningen,Utrecht,1.55,2.27,Eredivisie,2026
2026-08-09,Heerenveen,Twente,0.39,1.78,Eredivisie,2026
2026-08-14,Telstar,Sparta Rotterdam,1.4,2.54,Eredivisie,2026
2026-08-15,Willem II,NEC Nijmegen,1.43,2.99,Eredivisie,2026
2026-08-15,Utrecht,AZ Alkmaar,0.91,2.1,Eredivisie,2026
2026-08-15,Excelsior,PSV Eindhoven,0.51,2.24,Eredivisie,2026
2026-08-15,Fortuna Sittard,Cambuur,1.91,2.51,Eredivisie,2026
2026-08-16,ADO Den Haag,Groningen,1.01,3.2,Eredivisie,2026
2026-08-16,Feyenoord,GO Ahead Eagles,2.89,1.51,Eredivisie,2026
2026-08-16,Twente,PEC Zwolle,2.08,0.68,Eredivisie,2026
2026-08-16,Ajax,Heerenveen,2.0,1.36,Eredivisie,2026
2026-08-22,Fortuna Sittard,AZ Alkmaar,0.44,4.35,Eredivisie,2026
2026-08-22,Sparta Rotterdam,Utrecht,1.73,1.92,Eredivisie,2026
2026-08-22,Heerenveen,PEC Zwolle,0.85,1.55,Eredivisie,2026
2026-08-23,GO Ahead Eagles,ADO Den Haag,0.85,0.83,Eredivisie,2026
2026-08-23,PSV Eindhoven,Groningen,4.4,1.09,Eredivisie,2026
2026-08-23,Cambuur,Feyenoord,0.96,2.62,Eredivisie,2026
2026-08-28,Groningen,Fortuna Sittard,1.6,0.88,Eredivisie,2026
2026-08-29,Excelsior,Sparta Rotterdam,1.21,0.97,Eredivisie,2026
2026-08-29,AZ Alkmaar,GO Ahead Eagles,2.39,1.82,Eredivisie,2026
2026-08-29,PEC Zwolle,NEC Nijmegen,1.98,1.98,Eredivisie,2026
2026-08-30,Utrecht,PSV Eindhoven,0.3,3.04,Eredivisie,2026
2026-08-30,Willem II,Heerenveen,1.7,1.35,Eredivisie,2026
2026-08-30,Feyenoord,ADO Den Haag,2.39,0.25,Eredivisie,2026
2026-08-30,Telstar,Ajax,1.13,2.13,Eredivisie,2026
2026-08-30,Cambuur,Twente,0.47,1.76,Eredivisie,2026
