date,home_team,away_team,home_xg,away_xg,league,season
2023-08-19,Empoli,Verona,0.844727,0.690842,SerieA,2023
2023-08-19,Frosinone,Napoli,0.871157,1.31464,SerieA,2023
2023-08-19,Inter,Monza,2.49549,0.581247,SerieA,2023
2023-08-19,Genoa,Fiorentina,0.79732,1.1197,SerieA,2023
2023-08-20,Roma,Salernitana,2.00607,0.364297,SerieA,2023
2023-08-20,Sassuolo,Atalanta,0.381264,1.50058,SerieA,2023
2023-08-20,Udinese,Juventus,1.20988,1.86438,SerieA,2023
2023-08-20,Lecce,Lazio,1.75411,2.22215,SerieA,2023
2023-08-21,Torino,Cagliari,1.03099,0.443184,SerieA,2023
2023-08-21,Bologna,AC Milan,1.17349,1.1479,SerieA,2023
2023-08-26,Frosinone,Atalanta,0.760807,1.44199,SerieA,2023
2023-08-26,Monza,Empoli,2.0469,1.13824,SerieA,2023
2023-08-26,AC Milan,Torino,3.25277,0.563184,SerieA,2023
2023-08-26,Verona,Roma,0.904461,2.00413,SerieA,2023
2023-08-27,Fiorentina,Lecce,1.51003,0.494028,SerieA,2023
2023-08-27,Juventus,Bologna,0.915803,0.687398,SerieA,2023
2023-08-27,Lazio,Genoa,0.937895,0.69511,SerieA,2023
2023-08-27,Napoli,Sassuolo,3.53489,0.145568,SerieA,2023
2023-08-28,Salernitana,Udinese,0.559371,0.548425,SerieA,2023
2023-08-28,Cagliari,Inter,0.484344,1.25423,SerieA,2023
2023-09-01,Sassuolo,Verona,2.62139,0.555465,SerieA,2023
2023-09-01,Roma,AC Milan,0.412392,1.62873,SerieA,2023
2023-09-02,Udinese,Frosinone,2.07837,2.41709,SerieA,2023
2023-09-02,Bologna,Cagliari,2.8268,0.537052,SerieA,2023
2023-09-02,Atalanta,Monza,1.96499,0.37036,SerieA,2023
2023-09-02,Napoli,Lazio,1.04344,1.04826,SerieA,2023
2023-09-03,Torino,Genoa,0.481429,0.102008,SerieA,2023
2023-09-03,Inter,Fiorentina,5.21474,0.346607,SerieA,2023
2023-09-03,Empoli,Juventus,0.304187,3.04937,SerieA,2023
2023-09-03,Lecce,Salernitana,1.83665,1.05367,SerieA,2023
2023-09-16,Juventus,Lazio,2.6734,0.704843,SerieA,2023
2023-09-16,Inter,AC Milan,2.95417,0.989611,SerieA,2023
2023-09-16,Genoa,Napoli,1.33007,0.984291,SerieA,2023
2023-09-17,Cagliari,Udinese,2.2007,0.836992,SerieA,2023
2023-09-17,Frosinone,Sassuolo,2.97022,1.93433,SerieA,2023
2023-09-17,Monza,Lecce,3.29559,0.895727,SerieA,2023
2023-09-17,Fiorentina,Atalanta,1.4533,0.632092,SerieA,2023
2023-09-17,Roma,Empoli,2.49292,0.166755,SerieA,2023
2023-09-18,Salernitana,Torino,0.694683,1.54562,SerieA,2023
2023-09-18,Verona,Bologna,0.408446,0.896605,SerieA,2023
2023-09-22,Salernitana,Frosinone,0.834621,0.98737,SerieA,2023
