date,league,home,away,home_goals,away_goals,total_goals,actual,pred,correct,actual_over,pred_over,correct_ou,actual_btts,pred_btts,correct_btts,p_home,p_draw,p_away,p_over,p_btts
2025-08-01,LeagueOne,Luton,AFC Wimbledon,1,0,1,H,H,1,0,OVER,0,0,NG,1,0.5891,0.2219,0.189,0.5094,0.507
2025-08-02,LeagueOne,Doncaster,Exeter,1,0,1,H,H,1,0,OVER,0,0,NG,1,0.5081,0.2619,0.2299,0.5714,0.507
2025-08-02,LeagueOne,Blackpool,Stevenage,2,3,5,A,H,0,1,OVER,1,1,NG,0,0.4985,0.2729,0.2286,0.5094,0.507
2025-08-02,LeagueOne,Burton,Mansfield,2,1,3,H,A,0,1,OVER,1,1,GG,1,0.3096,0.2732,0.4172,0.5714,0.5476
2025-08-02,LeagueOne,Bradford,Wycombe,2,1,3,H,A,0,1,UNDER,0,1,NG,0,0.3774,0.2247,0.3979,0.4286,0.4862
2025-08-02,LeagueOne,Plymouth,Barnsley,1,3,4,A,H,0,1,OVER,1,1,GG,1,0.4026,0.2261,0.3713,0.7143,0.5476
2025-08-02,LeagueOne,Rotherham,Port Vale,2,1,3,H,H,1,1,OVER,1,1,NG,0,0.4007,0.2297,0.3696,0.5714,0.507
2025-08-02,LeagueOne,Wigan,Northampton,3,1,4,H,H,1,1,UNDER,0,1,NG,0,0.5071,0.2604,0.2326,0.4286,0.4862
2025-08-02,LeagueOne,Lincoln,Reading,2,0,2,H,H,1,0,OVER,0,0,NG,1,0.4974,0.2744,0.2281,0.5094,0.507
2025-08-02,LeagueOne,Huddersfield,Leyton Orient,3,0,3,H,H,1,1,OVER,1,0,GG,0,0.3982,0.2703,0.3314,0.5962,0.5689
2025-08-02,LeagueOne,Cardiff,Peterboro,2,1,3,H,H,1,1,OVER,1,1,GG,1,0.5682,0.2141,0.2177,0.7143,0.5476
2025-08-03,LeagueOne,Stockport,Bolton,2,0,2,H,H,1,0,OVER,0,0,NG,1,0.5296,0.273,0.1975,0.7143,0.507
2025-08-07,LeagueOne,Port Vale,Cardiff,0,0,0,D,A,0,0,OVER,0,0,GG,0,0.3078,0.2774,0.4148,0.5714,0.5689
2025-08-08,Eredivisie,For Sittard,Go Ahead Eagles,2,2,4,D,A,0,1,UNDER,0,1,GG,1,0.3151,0.2604,0.4245,0.3962,0.5689
2025-08-08,PrimeiraLiga,Casa Pia,Sp Lisbon,0,2,2,A,A,1,0,OVER,0,0,NG,1,0.0,0.072,0.928,0.6154,0.4862
2025-08-08,Championship,Birmingham,Ipswich,1,1,2,D,H,0,0,UNDER,1,1,NG,0,0.4386,0.2915,0.27,0.4173,0.4862
2025-08-09,LeagueOne,Exeter,Blackpool,4,1,5,H,A,0,1,OVER,1,1,GG,1,0.2998,0.2962,0.404,0.5094,0.5476
2025-08-09,Eredivisie,PSV Eindhoven,Sparta Rotterdam,6,1,7,H,H,1,1,OVER,1,1,NG,0,0.774,0.1637,0.0623,0.7778,0.507
2025-08-09,PrimeiraLiga,Arouca,AVS,3,1,4,H,H,1,1,UNDER,0,1,NG,0,0.4974,0.2744,0.2281,0.463,0.4862
2025-08-09,Eredivisie,Feyenoord,NAC Breda,2,0,2,H,H,1,0,OVER,0,0,NG,1,0.7493,0.2173,0.0334,0.5714,0.507
2025-08-09,LeagueOne,Reading,Huddersfield,0,2,2,A,H,0,0,OVER,0,0,NG,1,0.3719,0.3369,0.2912,0.5094,0.507
2025-08-09,LeagueOne,Bolton,Plymouth,2,0,2,H,H,1,0,OVER,0,0,GG,0,0.5104,0.2586,0.231,0.5714,0.6071
2025-08-09,LeagueOne,Peterboro,Luton,0,2,2,A,A,1,0,OVER,0,0,GG,0,0.3068,0.2287,0.4645,0.5962,0.5689
2025-08-09,LeagueOne,Leyton Orient,Wigan,2,0,2,H,H,1,0,UNDER,1,0,NG,1,0.4105,0.3579,0.2316,0.4286,0.507
2025-08-09,LeagueOne,Mansfield,Doncaster,1,2,3,A,D,0,1,OVER,1,1,GG,1,0.344,0.3983,0.2577,0.5094,0.5476
2025-08-09,LeagueOne,Northampton,Bradford,0,0,0,D,A,0,0,OVER,0,0,NG,1,0.3214,0.3008,0.3778,0.5094,0.507
2025-08-09,LeagueOne,Stevenage,Rotherham,1,0,1,H,H,1,0,UNDER,1,0,NG,1,0.5216,0.2839,0.1945,0.4286,0.507
2025-08-09,LeagueOne,Wycombe,Stockport,1,2,3,A,D,0,1,UNDER,0,1,NG,0,0.3065,0.3548,0.3386,0.4286,0.4862
2025-08-09,Eredivisie,Heerenveen,Volendam,1,1,2,D,H,0,0,OVER,0,1,GG,1,0.5891,0.2219,0.189,0.5569,0.5689
2025-08-09,Championship,Stoke,Derby,3,1,4,H,H,1,1,UNDER,0,1,NG,0,0.3955,0.3449,0.2596,0.3867,0.4862
2025-08-09,Eredivisie,Nijmegen,Excelsior,5,0,5,H,H,1,1,OVER,1,0,GG,0,0.5256,0.2366,0.2378,0.5569,0.5689
2025-08-09,LeagueOne,AFC Wimbledon,Lincoln,2,0,2,H,A,0,0,UNDER,1,0,NG,1,0.3078,0.2774,0.4148,0.4286,0.507
2025-08-09,Championship,West Brom,Blackburn,1,0,1,H,H,1,0,UNDER,1,0,NG,1,0.5023,0.2734,0.2243,0.3867,0.507
2025-08-09,LeagueOne,Barnsley,Burton,3,2,5,H,H,1,1,OVER,1,1,GG,1,0.5211,0.2815,0.1975,0.5962,0.5476
2025-08-09,Championship,QPR,Preston,1,1,2,D,H,0,0,UNDER,1,1,NG,0,0.381,0.2686,0.3504,0.4173,0.507
2025-08-09,Championship,Oxford,Portsmouth,0,1,1,A,A,1,0,UNDER,1,0,NG,1,0.3774,0.2247,0.3979,0.4173,0.4862
2025-08-09,Championship,Charlton,Watford,1,0,1,H,H,1,0,UNDER,1,0,NG,1,0.4265,0.3719,0.2016,0.4173,0.507
2025-08-09,Championship,Sheffield United,Bristol City,1,4,5,A,H,0,1,OVER,1,1,NG,0,0.5272,0.2374,0.2355,0.529,0.507
2025-08-09,Championship,Southampton,Wrexham,2,1,3,H,H,1,1,UNDER,0,1,GG,1,0.4563,0.211,0.3327,0.4173,0.5435
2025-08-09,Championship,Coventry,Hull,0,0,0,D,H,0,0,UNDER,1,0,NG,1,0.5256,0.2366,0.2378,0.4173,0.507
2025-08-09,Championship,Norwich,Millwall,1,2,3,A,H,0,1,UNDER,0,1,NG,0,0.3982,0.2703,0.3314,0.4173,0.507
