date,home_team,away_team,tournament,city,country,neutral
2026-06-02,Croatia,Belgium,Friendly,,,False
2026-06-02,Georgia,Romania,Friendly,,,False
2026-06-02,Morocco,Madagascar,Friendly,,,False
2026-06-02,Wales,Ghana,Friendly,,,False
2026-06-02,Haiti,New Zealand,Friendly,,,False
2026-06-03,Philippines,Guam,Friendly,,,False
2026-06-03,Kyrgyzstan,Kenya,Friendly,,,False
2026-06-03,Gibraltar,British Virgin Islands,Friendly,,,False
2026-06-03,Albania,Israel,Friendly,,,False
2026-06-03,DR Congo,Denmark,Friendly,,,False
2026-06-03,Luxembourg,Italy,Friendly,,,False
2026-06-03,Netherlands,Algeria,Friendly,,,False
2026-06-03,Poland,Nigeria,Friendly,,,False
2026-06-03,Panama,Dominican Republic,Friendly,,,False
2026-06-03,South Korea,El Salvador,Friendly,,,False
2026-06-04,Cambodia,Bhutan,Friendly,,,False
2026-06-04,Lesotho,Kenya,Friendly,,,False
2026-06-04,Burundi,Equatorial Guinea,Friendly,,,False
2026-06-04,Northern Ireland,Guinea,Friendly,,,False
2026-06-04,Slovenia,Cyprus,Friendly,,,False
2026-06-04,Andorra,Liechtenstein,Friendly,,,False
2026-06-04,Sweden,Greece,Friendly,,,False
2026-06-04,Spain,Iraq,Friendly,,,False
2026-06-04,France,Ivory Coast,Friendly,,,False
2026-06-04,Czech Republic,Guatemala,Friendly,,,False
2026-06-04,Mexico,Serbia,Friendly,,,False
2026-06-05,Tanzania,Uganda,Friendly,,,False
2026-06-05,Singapore,China PR,Friendly,,,False
2026-06-05,Angola,Botswana,Friendly,,,False
2026-06-05,Hong Kong,Mongolia,Friendly,,,False
2026-06-05,Thailand,Kuwait,Friendly,,,False
2026-06-05,Indonesia,Oman,Friendly,,,False
2026-06-05,Belarus,Syria,Friendly,,,False
2026-06-05,Georgia,Bahrain,Friendly,,,False
2026-06-05,Slovakia,Montenegro,Friendly,,,False
2026-06-05,Moldova,Bulgaria,Friendly,,,False
2026-06-05,Russia,Burkina Faso,Friendly,,,False
2026-06-05,San Marino,Bangladesh,Friendly,,,False
2026-06-05,Hungary,Finland,Friendly,,,False
2026-06-05,Azerbaijan,Malta,Friendly,,,False
2026-06-05,Paraguay,Nicaragua,Friendly,,,False
2026-06-05,Puerto Rico,Saudi Arabia,Friendly,,,False
2026-06-05,Canada,Republic of Ireland,Friendly,,,False
2026-06-05,Haiti,Peru,Friendly,,,False
2026-06-06,Myanmar,Guam,Friendly,,,False
2026-06-06,Ethiopia,Malawi,Friendly,,,False
2026-06-06,Belgium,Tunisia,Friendly,,,False
2026-06-06,Armenia,Kazakhstan,Friendly,,,False
2026-06-06,Palestine,Kenya,Friendly,,,False
2026-06-06,Comoros,Rwanda,Friendly,,,False
2026-06-06,Gibraltar,Cayman Islands,Friendly,,,False
2026-06-06,Portugal,Chile,Friendly,,,False
2026-06-06,Romania,Wales,Friendly,,,False
2026-06-06,Albania,Luxembourg,Friendly,,,False
2026-06-06,United States,Germany,Friendly,,,False
2026-06-06,Australia,Switzerland,Friendly,,,False
2026-06-06,Panama,Bosnia and Herzegovina,Friendly,,,False
2026-06-06,Bolivia,Scotland,Friendly,,,False
2026-06-06,England,New Zealand,Friendly,,,False
2026-06-06,Qatar,El Salvador,Friendly,,,False
2026-06-06,Brazil,Egypt,Friendly,,,False
2026-06-06,Venezuela,Turkey,Friendly,,,False
2026-06-06,Argentina,Honduras,Friendly,,,False
2026-06-07,Kenya,Lesotho,Friendly,,,False
2026-06-07,Liechtenstein,Cyprus,Friendly,,,False
2026-06-07,Denmark,Ukraine,Friendly,,,False
2026-06-07,Kosovo,Andorra,Friendly,,,False
2026-06-07,Croatia,Slovenia,Friendly,,,False
2026-06-07,Greece,Italy,Friendly,,,False
2026-06-07,Morocco,Norway,Friendly,,,False
2026-06-07,Ecuador,Guatemala,Friendly,,,False
2026-06-07,Colombia,Jordan,Friendly,,,False
2026-06-08,Netherlands,Uzbekistan,Friendly,,,True
2026-06-08,France,Northern Ireland,Friendly,,,False
2026-06-08,Spain,Peru,Friendly,,,True
